0
""
"(False, 56, 'Cliff Richard', ""We Don't Talk Anymore - 2001 Remaster"", 257160, 'spotify:track:3Ug96zKa29P3vICEEcYajZ')"
""
""
"(True, 90, 'Eminem', 'Without Me', 290320, 'spotify:track:7lQ8MOhq6IN2w8EYcFNSUk')"
""
"(False, 59, 'George Strait', 'Give It All We Got Tonight', 251333, 'spotify:track:19PJ75UGKjpBo0muDNyxPW')"
"(False, 67, 'Britney Spears', 'I Wanna Go', 210266, 'spotify:track:5cCAZS9VhLGEDV4NCfieeg')"
"(False, 64, 'Kane Brown', 'Lose It', 178986, 'spotify:track:7epGknfpAlH1u33S71Ur1o')"
""
"(False, 13, 'Cate Brothers', 'Union Man', 287506, 'spotify:track:1AQAfTEALzQoZcpZlU9H7a')"
"(False, 73, 'Yellowcard', 'Ocean Avenue', 198266, 'spotify:track:23oxJmDc1V9uLUSmN2LIvx')"
"(False, 69, 'Gerry Rafferty', 'Baker Street', 365626, 'spotify:track:5gOd6zDC8vhlYjqbQdJVWP')"
"(False, 54, 'DJ Jazzy Jeff & The Fresh Prince', 'Boom! Shake the Room', 226200, 'spotify:track:5ZDL1Ap2Mwhk5xhmQ41Ei2')"
"(True, 67, 'Bone Thugs-N-Harmony', '1st of Tha Month', 314680, 'spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr')"
""
"(False, 42, 'Lionel Richie', 'Do It To Me', 363333, 'spotify:track:1tKxrKBYIIykuLvipSWfgy')"
"(False, 60, 'Murray Head', 'One Night in Bangkok', 236066, 'spotify:track:6erBowZaW6Ur3vNOWhS2zM')"
"(False, 79, 'One Direction', 'Perfect', 230333, 'spotify:track:3NLnwwAQbbFKcEcV8hDItk')"
"(False, 41, 'Kevon Edmonds', '24/7', 274266, 'spotify:track:4rZB2G955dQMcjlb7e3VNB')"
""
"(False, 70, 'Three Days Grace', 'Never Too Late', 209333, 'spotify:track:3HE50TVRquwXe9yv2HFoNL')"
"(True, 75, 'YoungBoy Never Broke Again', 'Make No Sense', 148629, 'spotify:track:6klLvorLoo1sxvZcjJIY8I')"
""
"(True, 50, 'Masta Ace Incorporated', 'Born To Roll - Jeep Ass Niguh Remix', 254533, 'spotify:track:2j6DORpoXYTicBm4hl5Ztx')"
"(False, 71, 'Pet Shop Boys', 'West End Girls - 2018 Remaster', 285906, 'spotify:track:2Di0qFNb7ATroCGB3q0Ka7')"
""
""
"(False, 40, 'Exposé', 'Seasons Change', 292533, 'spotify:track:4b2qn7YRQkVAsbC8pWa7yn')"
"(True, 50, 'The-Dream', 'Shawty Is A 10 - (Explicit)', 232040, 'spotify:track:4nuMA47XIxcu85zkkDkz1t')"
"(False, 59, ""The B-52's"", 'Roam', 295133, 'spotify:track:5fqcIHU6DhQtFKVO5XSdQs')"
"(False, 44, 'Rod Stewart', 'Passion', 333200, 'spotify:track:0vZCwj0Mq5uS8GwSIYo6Y7')"
"(False, 47, 'INXS', 'Disappear', 250075, 'spotify:track:02mQcDoU5cn15U6tqZmL4e')"
"(False, 0, 'Karaoke - Hootie & The Blowfish', 'Karaoke - Old Man & Me (When I Get To Heaven)', 247536, 'spotify:track:7m96CZREV9iOPEZX0mayPm')"
"(False, 57, 'Sheena Easton', 'Almost Over You', 221493, 'spotify:track:5mKqa89zAVKXMRY92haT6p')"
"(False, 45, 'Tim McGraw', ""She's My Kind Of Rain"", 255973, 'spotify:track:2gFBNU0hoprOypWeEU5D1p')"
"(False, 60, 'Bee Gees', 'Alone', 290066, 'spotify:track:7GsoUeI9DtaTSjJHenyCNP')"
"(False, 57, 'Joe Nichols', 'Sunny and 75', 206946, 'spotify:track:1rGLPyb4LMojT4wpxiZTp8')"
"(True, 53, 'Dave Hollister', 'One Woman Man', 272053, 'spotify:track:6hdsNoZWIjPSjxcOnsjIxj')"
"(False, 46, 'Chris Isaak', ""Somebody's Crying"", 168266, 'spotify:track:1AY1jww2bAZlXISojevWPA')"
"(False, 43, 'Freda Payne', 'Band Of Gold - Re-Record', 182533, 'spotify:track:0YgoNapnyIXuruBrzvoCSu')"
"(False, 64, '112', 'Dance With Me', 231800, 'spotify:track:6uRH1qMz30ZBwwUG0IYE5s')"
""
"(False, 73, 'Bobby Caldwell', ""What You Won't Do for Love"", 286493, 'spotify:track:6Dk5fHTvH897XrVzCO64Mx')"
"(False, 65, 'Velvet Revolver', 'Slither', 248306, 'spotify:track:7kF1iPJTj3VFJX9XokQ80F')"
"(True, 57, 'Trinidad James', 'All Gold Everything', 187906, 'spotify:track:0pgeVJrdNok4KhbiM58ayZ')"
"(False, 71, 'Michael Bublé', 'Everything', 212373, 'spotify:track:4T6HLdP6OcAtqC6tGnQelG')"
"(False, 82, 'Harry Styles', 'Golden', 208906, 'spotify:track:45S5WTQEGOB1VHr1Q4FuPl')"
"(False, 38, 'Alana Davis', '32 Flavors', 227306, 'spotify:track:3o5dmw1M6ugfLpva7yTyDr')"
""
"(False, 33, 'Céline Dion', 'Nothing Broken But My Heart', 355466, 'spotify:track:03xpqxQ2tCUuDAKNLThmGO')"
"(False, 51, 'Darryl Worley', 'Awful Beautiful Life', 232800, 'spotify:track:5uqbTKo8Ogq1sBQ3u940Xz')"
""
"(False, 57, 'Breathe Carolina', 'Blackout', 210200, 'spotify:track:3RLC8jJmDOZwrJ5izaISXr')"
"(False, 52, 'John Mayer', 'Bigger Than My Body', 265960, 'spotify:track:0Jh9EBGN205Yc7JN2zZ2f1')"
"(False, 60, 'Willie Nelson', 'On The Road Again - Live', 156173, 'spotify:track:0vcJzE2LuNY9aoq2hdMjHZ')"
"(False, 57, 'Alan Jackson', 'Small Town Southern Man', 280266, 'spotify:track:5ExWY6ojo1Qm3rC7iaEqx2')"
"(False, 46, 'Mystikal', ""Bouncin' Back (Bumpin' Me Against the Wall) (feat. Pharrell Williams) - Extended Version"", 259546, 'spotify:track:7LdaPYlRo4pq6CBt44To2H')"
"(False, 58, 'Zhané', 'Sending My Love', 220960, 'spotify:track:7f5dRZ6W2Si4SoPLQxNHbm')"
"(False, 32, 'Harry Connick, Jr.', '(I Could Only) Whisper Your Name', 290333, 'spotify:track:68EKUNtzGVapUS30PJDVKs')"
""
""
"(True, 83, 'XXXTENTACION', 'Moonlight', 135090, 'spotify:track:0JP9xo3adEtGSdUEISiszL')"
"(False, 56, ""Destiny's Child"", 'Bug a Boo (H-Town Screwed Mix)', 212440, 'spotify:track:3iZizHVmWHdaJbvcU65S6x')"
"(False, 51, 'Jimmy Wayne', 'Do You Believe Me Now', 204386, 'spotify:track:0HbtLdjkFkY8doAZzjRDmj')"
""
"(False, 25, 'Wayne Newton', ""Daddy Don't You Walk So Fast - Re-Recorded In Stereo"", 198666, 'spotify:track:7buqgbdJkbLhAQIKqyYbbz')"
"(False, 54, 'Sara Evans', 'Born to Fly', 336360, 'spotify:track:1zmvaeDthBdtthb4RgYr9a')"
""
"(False, 71, 'Kenny Chesney', 'American Kids', 182960, 'spotify:track:1dgWTMoHwTUnQhOQ8SR5fV')"
"(False, 58, 'Jason Aldean', 'Take A Little Ride', 187613, 'spotify:track:2o5mwv7hvas1jdUg14Nihv')"
""
"(False, 77, 'Avril Lavigne', 'Sk8er Boi', 204000, 'spotify:track:00Mb3DuaIH1kjrwOku9CGU')"
"(False, 52, 'Commodores', 'Oh No', 184306, 'spotify:track:4t374JpKYq4OGTUoJ4PVwm')"
"(False, 83, 'Meghan Trainor', 'NO', 213506, 'spotify:track:0l0CvurVUrr2w3Jj1hOVFc')"
"(False, 71, 'John Lennon', 'Woman - Remastered 2010', 212933, 'spotify:track:0GGxVTb0UwDwdaKNjBdCn3')"
"(False, 58, 'Blondie', 'Rapture', 299373, 'spotify:track:6F2vo4sxRNQ58VYe3pdiaL')"
"(False, 44, 'The Jets', 'Crush On You', 272493, 'spotify:track:2sYLlZU3FuCF8SKNeIvdKA')"
"(False, 67, 'Little River Band', 'Reminiscing - Remastered 2022', 257868, 'spotify:track:7i3xpu7SFWvzhGa9AZyySR')"
""
"(False, 70, 'Skid Row', '18 and Life', 229960, 'spotify:track:0qgrrDnUUhyxpxbBznUnzg')"
""
"(False, 75, 'Daryl Hall & John Oates', 'Rich Girl', 142786, 'spotify:track:0qRR9d89hIS0MHRkQ0ejxX')"
"(False, 23, 'Tiffany', 'Could’ve Been', 217560, 'spotify:track:5HNstg5iwAVAa0xT83pWTN')"
"(True, 49, 'Trapt', 'Still Frame', 271093, 'spotify:track:114bGIxUrj6vnZwWEfEdMP')"
"(False, 81, 'Kate Bush', 'Running Up That Hill (A Deal With God) - 2018 Remaster', 300840, 'spotify:track:29d0nY7TzCoi22XBqDQkiP')"
"(False, 50, 'Rosanne Cash', 'Seven Year Ache', 194853, 'spotify:track:2bYp7DYfjXULM24FUh9Z3Q')"
"(False, 67, 'Simple Minds', 'Alive And Kicking', 289453, 'spotify:track:2x5IXUFOcvvBUtEpnCBNlp')"
"(False, 71, ""Destiny's Child"", 'Survivor', 254026, 'spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi')"
"(False, 56, 'Kelly Clarkson', 'A Moment Like This', 228280, 'spotify:track:4kvdX9zzsix7jYHsRVkVUH')"
""
"(False, 42, 'Toby Keith', 'She Never Cried in Front of Me', 239506, 'spotify:track:4CA1ZvDNhoaCJcozvGP8WH')"
"(False, 46, 'Andy Griggs', ""She's More"", 199733, 'spotify:track:0bF8vEqQyvTfAMWkbP7MnY')"
"(False, 29, 'Shalamar', 'Dead Giveaway', 303680, 'spotify:track:0iR5u87eNaxH9VQXQLQ7Db')"
"(False, 67, 'Whitney Houston', 'Run to You', 264333, 'spotify:track:6M1M6cRtVkm5d0qTzkSEuK')"
""
"(False, 57, 'Chris Young', 'The Man I Want to Be', 207213, 'spotify:track:5zMRkxgFscsPItPsMy4ItS')"
"(False, 59, 'Hilary Duff', 'So Yesterday', 215333, 'spotify:track:0J1Wfjo9H3R62yaCuuNDZX')"
"(False, 35, 'Kimberley Locke', '8th World Wonder', 240733, 'spotify:track:7oGIRgJMViLFRzGHyhF9bI')"
