0,1,2,3,4,5
False,30.0,Robin Ward,Wonderful Summer,148926.0,spotify:track:7nSyzFpoLZUds8P6387E3Y
False,56.0,Metallica,The Day That Never Comes,476266.0,spotify:track:2gqzkEF88vMclfRZEIOnQO
False,35.0,Peter Schilling,The Different Story (World of Lust and Crime) - Single Version,232773.0,spotify:track:1jP0CImX4WDx8jGfzrMTkV
False,39.0,The Lettermen,When I Fall In Love,148360.0,spotify:track:1gMMY095TNREZ8ZZYsfM5L
False,32.0,Jerry Lee Lewis,"Drinking Wine, Spo-Dee-O-Dee",219000.0,spotify:track:7cco1V5JIDJbZE3EvHwMWK
,,,,,
False,34.0,The Alan Parsons Project,You Don't Believe,266893.0,spotify:track:5vhDFOTm51TGtGaPTtcTKY
False,54.0,Midnight Oil,The Dead Heart - 2007 Remastered,311026.0,spotify:track:7nfGP5B3Pc508kEb6zL6r9
,,,,,
False,0.0,Ernie Fields Orchestra,The Charleston,136413.0,spotify:track:41aUPKySPy8rxBAk6qDCM0
,,,,,
False,2.0,The Pastel Six,The Cinnamon Cinder (It's a Very Nice Dance),119440.0,spotify:track:3hZKRlcmuLZe0SFLGouPGM
False,1.0,Tab Hunter,Jealous Heart,139049.0,spotify:track:05R5LQzLRmPUC6igBaRm78
,,,,,
,,,,,
,,,,,
,,,,,
False,76.0,Calvin Harris,My Way,219159.0,spotify:track:1vvNmPOiUuyCbgWmtc6yfm
False,3.0,The Rebel Pebbles,Dream Lover,237293.0,spotify:track:5XpfMyKakK5h6W2lAAQBqK
False,38.0,Mass Production,Firecracker,378240.0,spotify:track:6nJh9dyel0o2jmlZzYGh3h
False,15.0,Brownsville Station,Lady (Put the Light on Me),204458.0,spotify:track:5DvdQO5AzBjQ1qV3ul3Eos
False,36.0,Mandrill,Fencewalk,332400.0,spotify:track:1SGTEdUECjytlDGrB6W5nm
True,59.0,Demi Lovato,I Love Me,203672.0,spotify:track:2IHLaN6wwYKQ3S24NsQqpA
False,36.0,Wings,Getting Closer - Remastered 1993,201933.0,spotify:track:76sm9bJYSXVFyPWycv6TwV
False,41.0,John D. Loudermilk,Language of Love,107333.0,spotify:track:02DoAJpOC8XrHFrYobz48F
False,69.0,Normani,Motivation,193837.0,spotify:track:0rIAC4PXANcKmitJfoqmVm
False,11.0,Bill Black's Combo,Josephine,129639.0,spotify:track:7koZFBqxHXUqudMHxNTrb2
False,50.0,Cheap Trick,Dream Police,233133.0,spotify:track:1YiAY1oCmkFjUabQL9gos4
,,,,,
False,25.0,Baby Washington,Leave Me Alone,138733.0,spotify:track:0V0taT8CDOCW5sbjdiDc6r
False,52.0,David Gates,Never Let Her Go,188813.0,spotify:track:2jHa1UWWuouaoFqE8I7W77
False,28.0,The Temptations,Happy People,216466.0,spotify:track:6dokyiv4HEy6WWxQCQcOkA
False,4.0,James Ray,Itty Bitty Pieces,146253.0,spotify:track:3P3A56NggLDXLqyhyweB0n
False,41.0,Al Green,I Can't Get Next to You,228813.0,spotify:track:2UclV6Lu93Ssh1spktn0Fp
,,,,,
False,83.0,AC/DC,Highway to Hell,208400.0,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
False,42.0,Frank Sinatra,Let Me Try Again (Laisse Moi le Temps),211066.0,spotify:track:3unwkk28BubxXKFNzVGHMY
False,30.0,The South Side Movement,I' Been Watching You,183100.0,spotify:track:6IEXYXXfNWeVaH90KY9zqz
False,57.0,Chris Janson,Drunk Girl,207266.0,spotify:track:1kFBLqkTuNKlspkJ1EOGjN
False,41.0,Paul McCartney,My Brave Face - Remastered 2017,200693.0,spotify:track:5ZI6c6IMIZ5jIQY08dggXi
,,,,,
False,10.0,Don Gibson,Look Who's Blue,142200.0,spotify:track:71S4k4BBKsR5FtlQit8r0D
False,7.0,David Lasley,If I Had My Wish Tonight,213240.0,spotify:track:3ZT5jBMOxzs1bS0kxmKVp2
False,59.0,Molly Hatchet,Flirtin' with Disaster,299200.0,spotify:track:61BywQA7q8KjpGjp3rHuRv
False,57.0,Darius Rucker,For The First Time,197053.0,spotify:track:0LG2cFomCi8Fb664Lvr3Nu
False,8.0,Denise LaSalle,Love Me Right,228733.0,spotify:track:33Bd5VF5zvaekFyTxut3Q6
False,58.0,Jimmie Allen,Make Me Want To,172280.0,spotify:track:0AYbVoeF03NYhM0fvKjAuU
False,11.0,John Eddie,Jungle Boy,205760.0,spotify:track:2P5Mokc9Yb50hChyw0bjOs
False,22.0,Al Wilson,La La Peace Song,202826.0,spotify:track:09wsoxgIjNhZUOgPhMHg0W
False,10.0,The Revels,Midnight Stroll,156120.0,spotify:track:2mdJdN1G972yamFx1SQgCP
,,,,,
,,,,,
False,30.0,Carly Simon,Legend In Your Own Time,224826.0,spotify:track:4JBDflJI1pOKyT4f3f7Aiv
False,52.0,Candi Staton,He Called Me Baby,213026.0,spotify:track:3zIiZrCROmhS9ERPdEHXYa
False,18.0,Jackie Wilson,No Pity (In The Naked City),212546.0,spotify:track:6Iju1VFr1qJy7WSao7T28I
,,,,,
False,39.0,Penny McLean,Lady Bump,226640.0,spotify:track:31UBcyZkwJRy2ZV5XpMlxh
False,34.0,Sugarland,Everyday America,232133.0,spotify:track:4mBpC5e5UFUu1cV4hX6j8a
False,16.0,Rod Lauren,If I Had a Girl,130946.0,spotify:track:6izmQUGcOH6W8A7Z30qygh
False,35.0,Bee Gees,Living Eyes,260733.0,spotify:track:4PHld19cwLHcLCKMmBsSB1
,,,,,
,,,,,
False,2.0,The Bermudas,Donnie,133640.0,spotify:track:3lEMnQG90phvMl4ZLoQnUH
False,14.0,Dinah Washington,Love Walked In,131506.0,spotify:track:2HVkxxDjTDslP60B5Ak2pE
,,,,,
False,14.0,Wilson Pickett,It's Too Late,188506.0,spotify:track:1ueDEIC7FyoCf7MPRLSCoX
,,,,,
,,,,,
,,,,,
False,21.0,The Beach Boys,It's O.K. - Remastered 2012,132106.0,spotify:track:6ChwVihLdousRshyZdF277
False,43.0,The Trammps,Hold Back the Night,224653.0,spotify:track:2Jok6fkKmcP7Lp7XLzQ1wj
False,13.0,The Outsiders,Help Me Girl,167040.0,spotify:track:213sXSifN2KluzqglSDQTm
False,2.0,The Paris Sisters,He Knows I Love Him Too Much,153680.0,spotify:track:6DKDdXv5X0T3ctpKKtUGXd
False,22.0,The Youngbloods,Grizzly Bear,144546.0,spotify:track:6GrU8CtcbnSluWp2yI4Mt0
False,14.0,War,L.A. Sunshine,241733.0,spotify:track:5bWOqGYhFvw1BjSozWRi4L
False,12.0,Jerry Butler,Find Another Girl,172640.0,spotify:track:6Amd6FpVPI5nJYop05KHq2
False,11.0,Dickie Goodman,Mr. Jaws - ipod edit,123960.0,spotify:track:4f5khGfquhi5YDNd4bRusS
,,,,,
False,65.0,Black Sabbath,Iron Man - 2012 - Remaster,355303.0,spotify:track:3IOQZRcEkplCXg6LofKqE9
False,14.0,Damita Jo,If You Go Away,238613.0,spotify:track:1CfeKBehU6z7lZ9zO0kf5g
,,,,,
False,55.0,Heart,Dreamboat Annie,121706.0,spotify:track:7IyuwRPPNq6gYI1vzqKsrU
False,20.0,Bimbo Jet,El Bimbo - Remasterisé en 2019,142681.0,spotify:track:12FJWnvLNIts6LtRuoklvQ
False,61.0,James Gang,Funk #49,246293.0,spotify:track:5h6SovHOYpIMlAkafxcbq3
False,24.0,The Persuaders,Love Gonna Pack Up (And Walk Out),200173.0,spotify:track:3q9e1qjPQAqZOQLR2BBqVK
,,,,,
False,6.0,Freddy King,Hide Away,157707.0,spotify:track:3jkHKjSamNIw78f68dqA93
False,15.0,The Temptations,Glasshouse,234693.0,spotify:track:0Nyq54pf1IrkPomVk4BUTE
False,40.0,Herbie Mann,Memphis Underground,429000.0,spotify:track:0lJ3iwfMWh8xDXWuGhbMv7
False,42.0,Elvis Presley,Fame and Fortune - Remastered,150480.0,spotify:track:3KIlJMknWs4rgVztAoWUbY
False,32.0,Bert Kaempfert,Moon Over Naples (Spanish Eyes),156400.0,spotify:track:7hgKUouo8hen9W1R25MXwU
False,35.0,The Meters,Look-Ka Py Py,198133.0,spotify:track:5x9239aGsatbpoPHSbDXBv
False,39.0,Elvis Presley,Follow That Dream,98827.0,spotify:track:0EkwlBGDj4h1UkVuWpSLK2
