0,1,2,3,4,5
False,58.0,Mary J. Blige,No More Drama,326240.0,spotify:track:7nWsh14AHpnTzq1Xejz90U
False,57.0,Jagged Edge,He Can't Love U,244053.0,spotify:track:3VEZvzr84WVnoorZ4tlBSw
,,,,,
,,,,,
False,68.0,Christina Aguilera,Fighter,245960.0,spotify:track:7nXq1vaZiz7PdbfojpPjW5
False,47.0,Jewel,Intuition,228893.0,spotify:track:1DQEvkPTtRJ4E0Lmk6sfIc
False,39.0,Tim McGraw,Grown Men Don't Cry,235760.0,spotify:track:4RtDZMumlKxsN7IL3AJPUx
False,33.0,Gloria Estefan,Everlasting Love,241533.0,spotify:track:43bqcQaFWdJHLJrj1Y2aCl
,,,,,
,,,,,
False,56.0,Keith Urban,Making Memories Of Us,236000.0,spotify:track:0Sg5kWoILCs2zBoIHIsDAa
False,62.0,Zac Brown Band,Keep Me in Mind,214106.0,spotify:track:7B2ETOSXeXPfWQl4gLjcat
False,54.0,Eric Church,Give Me Back My Hometown,252493.0,spotify:track:3MykNWa65IP2VN1Qa6B9yK
False,60.0,Luke Bryan,Down To One,221633.0,spotify:track:6QpZSfLid1YZ6c01BvB5jH
False,49.0,Brad Paisley,Letter to Me,280826.0,spotify:track:7wqMZWYeBxJt0obQPnF5NX
,,,,,
,,,,,
,,,,,
False,80.0,Britney Spears,Gimme More,251240.0,spotify:track:6ic8OlLUNEATToEFU3xmaH
False,34.0,Rick Astley,Hopelessly,215093.0,spotify:track:1tr8Szbujtk2lQ5wAxWT6C
False,62.0,Jason Aldean,Fly Over States,218200.0,spotify:track:17X2tSzibD9n9QRjdExcWT
False,59.0,Joe Nichols,Gimmie That Girl,185453.0,spotify:track:7xoBJ4hih949Jeu5ZfzBai
,,,,,
False,54.0,Hanson,I Will Come To You,251293.0,spotify:track:6ZIuoDs3i1KjKurJf9miSs
True,49.0,Lil Wayne,It's Good,241466.0,spotify:track:0FEZedp3QtZK11jcphYQ4y
False,69.0,The Cure,Friday I'm in Love,214400.0,spotify:track:263aNAQCeFSWipk896byo6
,,,,,
False,62.0,Jerrod Niemann,"Lover, Lover",193733.0,spotify:track:5UzU0qw21okODBNUnxptVo
False,45.0,Rascal Flatts,I Melt,234253.0,spotify:track:02UnamzTn2rySwzcMkq5qx
False,58.0,Jazmine Sullivan,Need U Bad,257426.0,spotify:track:0Ri0LzOMJmqi9HGZE5cRYV
,,,,,
False,78.0,Linkin Park,Faint,162600.0,spotify:track:4Yf5bqU3NK4kNOypcrLYwU
False,27.0,The Movement,Jump!,235360.0,spotify:track:0tWafhSMBKXG1xcz6OPDNx
False,36.0,K7,Move It Like This - Alternative Mix,325000.0,spotify:track:1INQHODdz8xth4KOH04RWI
False,46.0,Trace Adkins,Just Fishin',210333.0,spotify:track:1ZxNwqYsJA41CKf2YEhmIK
False,59.0,Phil Vassar,Just Another Day In Paradise,233880.0,spotify:track:4LlNoNZflek4hZyZigCxpW
,,,,,
False,56.0,Jodeci,Forever My Lady,320360.0,spotify:track:2pY99npaZKTVAyw2DhV9Bo
,,,,,
True,72.0,Drake,Energy,181933.0,spotify:track:79XrkTOfV1AqySNjVlygpW
False,52.0,Faith Hill,Mississippi Girl,232706.0,spotify:track:79YeQbd1p7MsuT7wHQLRYY
,,,,,
False,49.0,Sara Evans,I Could Not Ask for More,287733.0,spotify:track:3TcoHf7nvC8RaDVdfIFjFR
False,60.0,Rihanna,If It's Lovin' That You Want,208106.0,spotify:track:4x2rgtSFOI4hRvEvDj02KP
False,52.0,Barry Manilow,I Write the Songs,235800.0,spotify:track:12FZTFRyd4RBzvKf8RB0zO
False,68.0,Faith Evans,Love Like This,275706.0,spotify:track:7MQywXGHEev7JmwwIzMcao
,,,,,
False,55.0,Toby Keith,God Love Her,216626.0,spotify:track:2VwBhM5L7wGE4lLavyJy0L
,,,,,
False,53.0,Justin Moore,Lettin' The Night Roll,203120.0,spotify:track:33LSgUa20mKNgeut1XwP2E
False,39.0,Rod Stewart,If We Fall in Love Tonight,340506.0,spotify:track:3yhHZaToQ3ZxN1A4GzByZR
False,34.0,Collage,I’ll Be Loving You,228040.0,spotify:track:0HznAaWAq5FRLnLyKNf9Tv
True,81.0,The Notorious B.I.G.,Hypnotize - 2014 Remaster,229826.0,spotify:track:7KwZNVEaqikRSBSpyhXK2j
,,,,,
,,,,,
False,42.0,Olivia Newton-John,If You Love Me (Let Me Know),196266.0,spotify:track:2sU0wR5zAs6tsen499fTcl
False,30.0,R. Kelly,Gotham City - Remix,285680.0,spotify:track:1OCFE38LYUf22diBKJ8Z4W
False,52.0,Natalie,Goin' Crazy,294093.0,spotify:track:48JAAdtKgOQ4u4QRER6bJX
,,,,,
,,,,,
False,58.0,The Goo Goo Dolls,Here Is Gone,238173.0,spotify:track:4KqTGPPmXowMPEoShSVOta
False,55.0,John Michael Montgomery,Letters from Home,267533.0,spotify:track:15cGdiAHmezm0P04jVAjMo
,,,,,
False,57.0,Lady A,Downtown,195866.0,spotify:track:4kY7rYtE4OQkJNq22OIYRI
False,65.0,Chris Lane,I Don't Know About You,207933.0,spotify:track:3yOs8FffuG6hPbzQG9lIqV
False,71.0,Billy Currington,Good Directions,215853.0,spotify:track:7GQjJEwqlp6m5HNWVQd6OR
False,61.0,Cole Swindell,Middle of a Memory,226306.0,spotify:track:38gZVjeaeR3gcnCzziAxBm
