0,1,2,3,4,5
False,33.0,The Jaynetts,Sally Go Round The Roses,195400.0,spotify:track:31s2mbxcx4LX1EtZg1fUvA
False,26.0,Annette Funicello,O Dio Mio,171426.0,spotify:track:6kFmfcqpy1ok5wfls2yCtZ
,,,,,
False,36.0,Jimmy Clanton,A Letter to an Angel,174413.0,spotify:track:3gsR6howXi3YynMxLEZU63
False,49.0,Giorgio Moroder,Chase,506160.0,spotify:track:3CgonfeyRh23O9F4aKiIbW
False,21.0,The Cookies,Chains,152764.0,spotify:track:4hYvZey9P3efhI5LdC8qZw
False,10.0,Tony Orlando,Bless You,132200.0,spotify:track:3SsVBEj4XR3mGqli8oKgih
,,,,,
,,,,,
,,,,,
,,,,,
False,19.0,Joe Simon,Step by Step,204729.0,spotify:track:2I3Y4HeyWb0iuOphyDVYHl
False,42.0,The Osmonds,Crazy Horses,153173.0,spotify:track:6LqbJXriVJyqJCd9jYoPqP
False,38.0,The Doobie Brothers,Dependin' on You,225840.0,spotify:track:6krVi01rvFSEHad9HgJRbv
False,66.0,The Dave Brubeck Quartet,Take Five,324133.0,spotify:track:1YQWosTIljIvxAgHWTp7KP
False,37.0,Yes,Rhythm of Love,292173.0,spotify:track:7Jgz1CgFVfBmtYJ1lc0UXa
False,43.0,Zhané,Request Line,236000.0,spotify:track:622CBxM7omTyOroULSndfc
,,,,,
,,,,,
False,6.0,Queen,"Queen Opener : We Will Rock You, Fat Bottomed Girls, Bicycle Race",201306.0,spotify:track:7xpI90XpKfL8EyiVwsFJAv
True,56.0,Project Pat,Chickenhead (feat. Three 6 Mafia & La Chat),253360.0,spotify:track:2rOiZGbR0wwI0ip0wSAK26
False,62.0,Keith Anderson,Pickin' Wildflowers,185920.0,spotify:track:2GgIDaPLsowybB3WgxLWUj
True,60.0,Papa Roach,She Loves Me Not,209572.0,spotify:track:1eRgyfyizDWISeS99kwLNC
False,53.0,Tony Joe White,Polk Salad Annie,223533.0,spotify:track:0jtz7Ia3HahOqXWnKad0rn
False,30.0,Elvis Presley,Don't Ask Me Why,126573.0,spotify:track:0nKb6gYFt0jgs6c2nmqvSm
False,40.0,The Kinks,(Wish I Could Fly Like) Superman,216968.0,spotify:track:5IPEy9jMguqxZzAiZVNSiV
False,24.0,Neneh Cherry,Buddy X,169000.0,spotify:track:23Lr7C7wMMeIOJK3ZVYMe5
,,,,,
False,41.0,Skyy,Real Love,314546.0,spotify:track:5Z3zDee9HvKhDYVWBHTQog
False,48.0,Night Ranger,(You Can Still) Rock In America,255160.0,spotify:track:1anccAjNKZNKlTbHGheeCA
False,41.0,David Soul,Silver Lady,224426.0,spotify:track:0aOkjSqYLGDljwtUNvAnoS
,,,,,
False,23.0,Utopia,Set Me Free,189040.0,spotify:track:6KzkrcfvAUWOrgn2oxVQMf
,,,,,
False,50.0,Spandau Ballet,Only When You Leave - 2010 Remaster,311466.0,spotify:track:4J9RF6DuQ1wX0EspW3staI
False,35.0,The J. Geils Band,Come Back,312600.0,spotify:track:4SnovfTMzsmOnAfITyPFTP
False,44.0,Dionne Warwick,Do You Know the Way to San Jose,177653.0,spotify:track:3ADQ9jGCJ6MfSbIZqtbVj2
,,,,,
False,37.0,City Boy,5.7.0.5,193400.0,spotify:track:3XHwEwbZszoNuScJtfrecd
False,54.0,Kenny Loggins,"Playing with the Boys - From ""Top Gun"" Original Soundtrack",239266.0,spotify:track:5mQYBoGU3BOAqiFq54b51i
False,30.0,Dr. Hook,Baby Makes Her Blue Jeans Talk,230560.0,spotify:track:57JHLH8ksEJGCQtsPkFGef
,,,,,
False,53.0,Aerosmith,Come Together,224583.0,spotify:track:6FfE10CNarokEyIGxWhz2g
False,9.0,Raspberries,Overnight Sensation (Hit Record) - Remastered,336120.0,spotify:track:11oiaq0U6wu68vb1lGcXD0
,,,,,
False,14.0,Ray Parker Jr.,Bad Boy,252240.0,spotify:track:7wp8G05aq7DsPrRZ5R2VZO
False,8.0,Cathy Jean,Please Love Me Forever,175733.0,spotify:track:4FsCwhDpGkBOKRtC4jLA0B
False,51.0,Poison,Ride The Wind,231400.0,spotify:track:5gpJr7OLgZWVYAyKWj0GuH
,,,,,
False,45.0,"Johnny ""Guitar"" Watson",A Real Mother For Ya,304533.0,spotify:track:27QTVCKEfq41PjPKQVa7vW
False,37.0,Swing Out Sister,Am I The Same Girl?,248000.0,spotify:track:2qHzerDfprIGTpgqyaNC1x
,,,,,
,,,,,
False,65.0,Cher,Strong Enough,224000.0,spotify:track:144JMbvbR5txNzoZ112wo4
,,,,,
True,54.0,Boyz N Da Hood,Dem Boyz,256800.0,spotify:track:59xyRqG06dGbTmmJFVFbyQ
False,13.0,Chubby Checker,Twenty Miles,131053.0,spotify:track:65X6ApzxPvmXdk6XOdwSMy
False,37.0,Eurythmics,Right By Your Side - Remastered Version,244946.0,spotify:track:486W7TsJOJl2C6NktjOd9O
,,,,,
False,21.0,Susanna Hoffs,All I Want,198373.0,spotify:track:53m1rGnPJVtI0zUryVyL9N
False,22.0,Luther Vandross,She Won't Talk To Me,276226.0,spotify:track:7h8hDsFT5GQ2Sa9tdewyJt
False,43.0,Boston,A Man I'll Never Be,396173.0,spotify:track:0bjKbwEvZfU5epyZ3aZm1y
,,,,,
False,13.0,Tom Johnston,Savannah Nights,244160.0,spotify:track:7Guvd0oJuLKQQp4lXx5Ike
False,16.0,Poco,Nothin' To Hide,313266.0,spotify:track:6wVq5XSLtGxpsZhbFGaVVr
False,55.0,INXS,Beautiful Girl,207546.0,spotify:track:6N81xlWzMaEYhjHry55OSI
False,20.0,Joe Cocker,Put Out The Light,249760.0,spotify:track:7iwHpSGNA5JqR0Hq6oGmQx
False,75.0,Keane,Somewhere Only We Know,236160.0,spotify:track:0ll8uFnc0nANY35E0Lfxvg
False,28.0,Joey Lawrence,Stay Forever,258866.0,spotify:track:4eO9okL2dyDCtlpXN6LkAl
,,,,,
,,,,,
True,70.0,Mobb Deep,Survival of the Fittest,224533.0,spotify:track:7N1Vjtzr1lmmCW9iasQ8YO
False,45.0,Damn Yankees,Coming of Age,259839.0,spotify:track:1VMqkvlOqaH0HP0nsj1bx5
False,40.0,Patti LaBelle,"Oh, People",319226.0,spotify:track:79BE7EVavDVsVCTlRbQ66i
False,43.0,Supertramp,Cannonball,458083.0,spotify:track:7AW4T7G3e8VsZ8D7jV1hMr
,,,,,
,,,,,
False,63.0,Procol Harum,A Whiter Shade of Pale - Original Single Version,248946.0,spotify:track:1cmjxqobVTrgAiJ0btAleN
False,44.0,Donny Osmond,Puppy Love,184973.0,spotify:track:7HWH4kGaHR3ZwKNFPT4dSW
,,,,,
False,56.0,Tracy Lawrence,Alibis,182960.0,spotify:track:1Mew3ipJFmRpSj83LRyxod
,,,,,
False,47.0,The Babys,Back on My Feet Again,198733.0,spotify:track:2Qy1PMD1NksqykcMqcJS0O
False,33.0,Naked Eyes,(What) In the Name of Love,267066.0,spotify:track:4K5vvAu9tMdXfpv2TUp7l5
False,48.0,Al B. Sure!,Off on Your Own (Girl),249000.0,spotify:track:2GRMJEIAvKlqJd9UHZTjRD
True,31.0,R.E.M.,Bittersweet Me,245760.0,spotify:track:7aYzsNdBnwgHtB5QftgYRW
False,58.0,Hole,Doll Parts,211960.0,spotify:track:49t1GWE6ZiEoBgN92oMDdM
False,44.0,George Strait,One Night At A Time,230933.0,spotify:track:0MPKiPO83oR1XoLWLMb7bD
False,20.0,The Kinleys,Please - Single Version,214826.0,spotify:track:3rbzfdva1BcGF5ZZ8xGf6U
True,53.0,Beastie Boys,Ch-Check It Out,192426.0,spotify:track:56H98l4uinRifnTH8e308N
True,60.0,Megan Thee Stallion,Big Ole Freak,214850.0,spotify:track:3YEbLhXRDPTtctnb3ddg8g
False,65.0,Patsy Cline,Crazy - Single Version,164573.0,spotify:track:3zpj9dvJABiyMrmLCPw6i8
,,,,,
False,11.0,Sil Austin,Danny Boy,171760.0,spotify:track:33HQcGXbfVQi3hTOhyb3EW
,,,,,
,,,,,
,,,,,
False,27.0,Richard Chamberlain,All I Have To Do Is Dream,151733.0,spotify:track:04uW2l7VrWeo3CJ9rQ5D6M
False,32.0,John Mellencamp,Pop Singer,168000.0,spotify:track:74DprDeArqMMsyBv8hU1Sj
False,41.0,Freedy Johnston,Bad Reputation,248560.0,spotify:track:5aNAOwr2QoRbvyRG7ZVrhf
,,,,,
False,33.0,The Wiseguys,Start the Commotion,225360.0,spotify:track:0twRGRH1uG8XGH99X5R9V3
False,43.0,Journey,After the Fall,300960.0,spotify:track:0PEnPV6UkHvvydYjXDqkNM
False,14.0,Lari White,Stepping Stone,209040.0,spotify:track:4fVqsTSHG6FAuFpRCRsLP1
,,,,,
False,50.0,Rainbow,Stone Cold,317306.0,spotify:track:7HXYoe65kmrPrJR1r0DGtW
False,9.0,Jesse Winchester,Say What,190013.0,spotify:track:4uCGos0jL0jaTHIlUEZrkX
False,66.0,Elton John,Saturday Night’s Alright (For Fighting) - Remastered 2014,295466.0,spotify:track:12yHvSYFXI7PGzNecUvIDu
False,11.0,Del Shannon,Sea of Love,153826.0,spotify:track:7w51Uj0LW3JWoRXThGbpo7
False,36.0,Daryl Hall & John Oates,Possession Obsession,276773.0,spotify:track:5EqXvbkJoWMfJHbAs97jRb
False,31.0,P.M. Dawn,Paper Doll,293426.0,spotify:track:4ydGqBCBGzTKkxFX1jMyDK
False,41.0,Anne Murray,Shadows In The Moonlight,209733.0,spotify:track:15nleBypXxYBFnrbMDE2Qc
False,29.0,Kansas,People of the South Wind,218693.0,spotify:track:7cd7O1112Y5OQlvDQDz9Ws
,,,,,
False,38.0,The Romantics,One in a Million,220706.0,spotify:track:6Kzi4F77twuPRkNhxonUET
False,36.0,Dolly Parton,Save the Last Dance for Me (with The Jordanaires),232721.0,spotify:track:7se8roGyU7pinYwrhOVklr
False,21.0,Ohio Players,O-H-I-O,188933.0,spotify:track:5qF3j54Bq3DMmjfjjernjL
False,44.0,Luther Vandross,Bad Boy / Having a Party,316226.0,spotify:track:6d3ic1mkWMxf5DPIW798f0
False,43.0,Alabama,Close Enough to Perfect,212640.0,spotify:track:04u8JJN1TTwFrFkYnLlaPU
False,16.0,Diana Ross,One Love In My Lifetime,220093.0,spotify:track:1Q0upLHepnwMjcb7kUpoiv
False,49.0,KISS,Reason To Live,240266.0,spotify:track:3onHM3etsRdtbTS7cgwkNb
False,49.0,Dashboard Confessional,Stolen,199106.0,spotify:track:1fZhHANKVFNZ9W8iSh76gF
False,44.0,Rick James,Cold Blooded,359280.0,spotify:track:7LHfhusSfulgzuiMg7e3Cz
False,40.0,Elvis Presley,Separate Ways,156440.0,spotify:track:0g8CHbsID9fZ8eDstzYtHi
False,30.0,Loverboy,Queen Of The Broken Hearts,230000.0,spotify:track:1xOlMzaxfYhh6xJASBksdq
False,23.0,Debbie Gibson,Staying Together,244200.0,spotify:track:7AxqfuOFVg1IMMtXorffGm
False,25.0,The Drifters,Please Stay - Single Version,137800.0,spotify:track:6Y3ZRbwgdJzNFkd8knmtha
False,50.0,Third Eye Blind,Deep Inside of You - 2008 Remaster,250533.0,spotify:track:06iQLLK93Dlv7RcvzmZo2g
False,25.0,The Guess Who,Rain Dance,165866.0,spotify:track:4sjgxbC6421xj4hSv2ZRFZ
,,,,,
False,38.0,Fantasia,Bittersweet,236640.0,spotify:track:7lDO0HIPCt63UJj5b20Dft
