0,1,2,3,4,5
False,10.0,Barbra Streisand,Time and Love,217600.0,spotify:track:7Kwx7LqHMKWrhZ5DDjWj5a
,,,,,
False,30.0,The Doors,Tightrope Ride,260626.0,spotify:track:1or0h28Na9E1iErdm5bdxK
,,,,,
False,2.0,The Presidents,Triangle of Love (Hey Diddle Diddle),201960.0,spotify:track:3sTZxpxVDrgHCq8W1JB6UN
False,10.0,The Standells,Why Pick On Me,189333.0,spotify:track:2RJPho1Ex5yhAm4tr76DLp
False,16.0,The Staple Singers,This World,219960.0,spotify:track:2OCpC0AYnuLQ00DTwgPusM
False,12.0,Tracie Spencer,This Time Make It Funky,326400.0,spotify:track:29PVuKcHn9oSr9ziAbQmyY
False,24.0,Lee Ann Womack,Why They Call It Falling,215293.0,spotify:track:5rJRKtJzm7qacwYEjsKav6
True,70.0,Mac Miller,Donald Trump,164522.0,spotify:track:5oMkgWZqmKjaJHrsXcsZZy
,,,,,
False,26.0,Melba Moore,"You Stepped Into My Life - 7"" Mix",240746.0,spotify:track:2HIGEprrL1Ee760D2JFvUP
False,22.0,The Murmurs,You Suck,195066.0,spotify:track:5GeKAkZWvOX8pqLZyyJOoB
False,10.0,The Beau Brummels,You Tell Me Why,187106.0,spotify:track:3YhHxoJHKmKebNZUzCOOWj
False,46.0,Céline Dion,Taking Chances,242066.0,spotify:track:4bA6rtFsNvW5VMB14IJv5w
,,,,,
False,4.0,Big Sambo & The House Wreckers,The Rains Came,136826.0,spotify:track:7LaqQ8S4kwVt8nKVHT9ESD
False,41.0,Bo Diddley,Ooh Baby,229200.0,spotify:track:3Caj3EuBDu2cpjpFNNTXLL
False,51.0,Collective Soul,Run,273466.0,spotify:track:3HxX5qcaz2phmsJVPskugD
False,31.0,Otis Redding,Chained and Bound,159506.0,spotify:track:238ZGKkO8JJZU59jrfaOvx
False,29.0,The Afters,Beautiful Love,240253.0,spotify:track:1WV7GMXECr7O5Hl6GrDcSr
False,35.0,The Ponderosa Twins Plus One,You Send Me,205360.0,spotify:track:297iRZjDoYJ6Fvj2QxrF0x
False,65.0,The White Stripes,Blue Orchid,157560.0,spotify:track:4jU7NPkz4HVnM4hweqNhI1
False,2.0,Frankie Avalon,The Puppet Song,138448.0,spotify:track:6RkvtUnLfSvHNlosDShSyL
False,4.0,The Isley Brothers,The Pride - Part 1,201360.0,spotify:track:3fEHvQWFerhEmHofTz0mv0
True,78.0,Bad Bunny,Safaera,295176.0,spotify:track:2DEZmgHKAvm41k4J3R2E9Y
,,,,,
False,7.0,Donna Fargo,You Were Always There,196760.0,spotify:track:2tLEXordx6TuI7er5RSwEj
,,,,,
False,13.0,Anne Murray,Talk It Over In The Morning,150173.0,spotify:track:0GxsnkXzE6hwwd9HMNMkqh
False,0.0,The Stylistics,You’re A Big Girl Now,164186.0,spotify:track:2CfkBkfXPcyn3Xw3R2g5Yv
False,52.0,Talk Talk,Talk Talk - 1997 Remaster,203626.0,spotify:track:6Vipnok4Hf5xpH6eJaxvr0
False,27.0,Freddie & The Dreamers,You Were Made for Me,139266.0,spotify:track:2bcV8ePGpwBw7HZCGTvvwC
False,44.0,Mel Carter,You Can Count On Me,196520.0,spotify:track:0SShdjTlefnYkLOqlVzGZH
False,11.0,The Ides Of March,You Wouldn't Listen,156106.0,spotify:track:2VFlsgiY8uI7mN3nzXBBtl
,,,,,
False,24.0,The Royal Guardsmen,The Return Of The Red Baron,165240.0,spotify:track:0MmluR9xqG0a15ecfJP2qy
