0,1,2,3,4,5
False,22.0,John Waite,How Did I Get By Without You?,244666.0,spotify:track:38IDDkncsXoh1Q0weShawp
False,78.0,Alan Walker,Faded,212106.0,spotify:track:698ItKASDavgwZ3WjaWjtz
False,58.0,Thirty Seconds To Mars,From Yesterday,247373.0,spotify:track:1JBa9B1iA4yNVpJ5wVGrZH
False,2.0,Gallagher And Lyle,Heart On My Sleeve - Live,242922.0,spotify:track:6jirX0M2NycELVWWukspYY
False,30.0,The Hollies,Just One Look,147666.0,spotify:track:3bq3ZVkeiuBjvgMcUCFGgC
False,39.0,Kenny Rogers,Sweet Music Man,261306.0,spotify:track:6lLuXzXjjgm1yL6IuaWTCL
False,34.0,The Searchers,Sugar and Spice - Mono Version,136720.0,spotify:track:6WZZPoX7a0893aaXaZRkYa
False,45.0,Mary MacGregor,This Girl (Has Turned into a Woman),206759.0,spotify:track:4NupyFIHhuiSZ9t5zWYzDt
False,24.0,Jimmy Durante,"September Song (From the 1938 Musical Play ""Knickerboker Holiday"")",189800.0,spotify:track:1h5qxFrlCMsH9JXj6hiYRi
False,8.0,Joe Tex,Buying a book,213240.0,spotify:track:1V9jRNK8t5Y7k9zQ1H1Mw4
False,4.0,The Kingsmen,Little Annie Fanny,123532.0,spotify:track:5PaWiOpagb2p6X8PbFBK1G
False,41.0,Traffic,Empty Pages - Remastered 2010,274680.0,spotify:track:4UhB17vQsTP0qM9grc4ZUi
False,29.0,Nolan Porter,I Like What You Give,191946.0,spotify:track:2yGCbgGczWs1apieyZy4Zj
,,,,,
False,69.0,Taylor Swift,New Romantics,230466.0,spotify:track:6rZVy6FIG7lSJQMFXHo12z
False,34.0,Sheryl Crow,Easy,253360.0,spotify:track:2n5bpmhEqlMJ2jgvWAwD9N
False,38.0,Solomon Burke,Down in the Valley,144173.0,spotify:track:7BtvpcvTnyLLCTDAsDnSf9
False,48.0,Linda Ronstadt,Tumbling Dice,189906.0,spotify:track:5lS3COt2wRFoT1injc0QCM
False,31.0,Paul McCartney,Tug Of War - Remixed 2015,263280.0,spotify:track:5zWre4bc1WWXaKpmaZguPd
False,0.0,RBD,Un Poco De Tu Amor,206413.0,spotify:track:1gXdlaz4VF7YyUBTeoESV0
False,49.0,Genesis,Turn It on Again,229333.0,spotify:track:5KXTDunEgNVBnuSBDzsm6x
False,11.0,Neil Diamond,Don't Turn Around,229666.0,spotify:track:37hxM7lwn3bmRR2BE2oAYo
False,56.0,Van Morrison,Tupelo Honey,415040.0,spotify:track:5G4W4UzaJIpYl0ar95Cs17
False,10.0,Doris Day,Tunnel of Love,131840.0,spotify:track:5IiOyosjPGvRnTi8GYKCEC
False,18.0,Ric Ocasek,True To You,239733.0,spotify:track:66OCyXTh6qiyzhJj5DH1on
False,24.0,The Dave Clark Five,Try Too Hard - 2019 - Remaster,128573.0,spotify:track:17QOLAql5iYwYquHZS0eon
,,,,,
False,14.0,Chubby Checker,Twist It Up,228013.0,spotify:track:4V9WukPJV3VmOuTXMdYzuc
,,,,,
False,6.0,Peaches & Herb,Two Little Kids,171026.0,spotify:track:5jvFzNBMhSHxlt9P8BL2aU
False,32.0,The Cyrkle,Turn Down Day,153173.0,spotify:track:1Cw4wNWzSc9oSeE335I8fw
False,16.0,Eddy Arnold,Turn the World Around,149213.0,spotify:track:5idn7EhxgDzCJMjq5chRvF
,,,,,
False,56.0,Grateful Dead,Truckin' - 2013 Remaster,306973.0,spotify:track:1I6l01BaBgBCVkfQCpIlR6
False,18.0,Fruit De La Passion,Tic Tic Tac (Radio Mix),229933.0,spotify:track:0jsaETmkoFCusSzCjwCZMB
False,40.0,Bert Kaempfert,Three O'Clock In The Morning,153626.0,spotify:track:2Q7ee3yYMiuY3MQwmlvPhn
False,46.0,Herb Alpert & The Tijuana Brass,Tijuana Taxi,125920.0,spotify:track:2vLgPIAJj1Z7fd69QoFxqK
False,19.0,The Flamingos,Time Was,159973.0,spotify:track:6DvxDtsae2rrcFQbtPiWP7
False,5.0,The Friends Of Distinction,Time Waits For No One,205240.0,spotify:track:0CBUPfKuvFssOpwPwVgG6v
False,11.0,Peter Frampton,Tried To Love,267600.0,spotify:track:4Ot4uHTU1MpxrBGtPFDhkS
False,34.0,The Manhattan Transfer,Trickle Trickle,142400.0,spotify:track:2eDdU4OwGXIFVCMAho7bHp
False,22.0,Chris Montez,Time After Time,139960.0,spotify:track:70DZRMZUbE4vLcNnwEpbNb
False,40.0,The Kinks,Till the End of the Day - Mono Mix,138226.0,spotify:track:014NOunS25K1LbcM6DlQ5I
False,16.0,Nat King Cole,Time And The River,139573.0,spotify:track:7vu51HpremcwWKhBhVccDB
False,36.0,The Association,Time for Livin',165586.0,spotify:track:4etvAuQXqBKHEGL2UF16v1
False,7.0,The Marmalade,Rainbow - Live,260646.0,spotify:track:7H0XHs2qlbldOoqLPZmWWY
False,21.0,Billy Preston,Slaughter,165533.0,spotify:track:5UM8o0YPE4o168xZ3l5Upp
False,37.0,The Band,Rag Mama Rag,182295.0,spotify:track:1fvtT8W7lNwRuw6UxA0cBU
,,,,,
False,8.0,Aretha Franklin,Take A Look,160600.0,spotify:track:5i7qzYnqUiv1sjlr6uKtbl
False,31.0,James Brown & The Famous Flames,Think,172093.0,spotify:track:5CUpG7mTYvHYlk3xSLwl6z
False,2.0,The Shadows Of Knight,Shake - Live,204773.0,spotify:track:5LTAAKOiufZedDPzdNZTQe
False,7.0,Dionne Warwick,Odds and Ends - Alternate Version,208693.0,spotify:track:66g7RleXwZuFUlec54oXnG
False,31.0,Myron,We Can Get Down,241866.0,spotify:track:51o406VX7fJ7XezEDC8wq3
False,7.0,Brook Benton,Dearer Than Life,155933.0,spotify:track:5JsyNZivccIDRbtHgofJ8X
False,26.0,Michael Penn,This & That,211400.0,spotify:track:0hiMfefSLhzCs2tujQG28n
False,4.0,Little Junior Parker,Annie Get Your Yo-Yo - Single Version,142800.0,spotify:track:6Nd4YWtScMzkucT3QQ3a0F
False,26.0,lighthouse,Pretty Lady,243933.0,spotify:track:56ZK9hnVrYlidRbqqNRnpG
False,9.0,Johnny Crawford,Proud,138666.0,spotify:track:5sHFbFvUvcWuggOXqYGzQC
False,25.0,The Gestures,"Run, Run, Run",139200.0,spotify:track:6TO29gYhF5EHRvYPgit3EI
False,27.0,Elvis Presley,All That I Am,136586.0,spotify:track:40VEaR93TNKmQAMueQatqI
,,,,,
,,,,,
False,16.0,James Brown,"Sexy, Sexy, Sexy - From ""Slaughter's Big Rip-Off "" Soundtrack",185133.0,spotify:track:3Qkgfc1sVCbq5GsdEcn0e7
False,19.0,Graham Central Station,Can You Handle It?,310466.0,spotify:track:2d3OqQ1qTAzC2MRuxPAJlH
False,0.0,Dickie Goodman,On Campus,137626.0,spotify:track:1f3t8Wmbvlu9q8uaAdj4bf
False,12.0,The Shirelles,A Thing of the Past,159293.0,spotify:track:3Zb3CJR5ywHIWLPIVcrZr4
,,,,,
False,9.0,Smokey Robinson & The Miracles,Point It Out,155853.0,spotify:track:4gZAcHUmSixJCsLgh2N8Jf
,,,,,
,,,,,
False,30.0,Frankie Valli & The Four Seasons,Silver Star,361746.0,spotify:track:4reBMqmSjr7Oj0Apl40gyt
,,,,,
,,,,,
False,12.0,The Shirelles,Stop The Music,128266.0,spotify:track:7aMEMDMGQDfquaJDk6NqyW
False,17.0,Deodato,Rhapsody In Blue,525933.0,spotify:track:4lDNT2Ak5FmS6YBHKdVLow
False,56.0,Kip Moore,Last Shot,228480.0,spotify:track:6viHvc13l9A6Ua6xugpeX6
False,14.0,Herman's Hermits,This Door Swings Both Ways,127800.0,spotify:track:4m7w2W776tlZ7xBqJPZOyq
False,45.0,The Danleers,One Summer Night,133226.0,spotify:track:5GEsOz5Pbln0j2RcmBGLa4
False,23.0,Tommy Roe,Susie Darlin',139040.0,spotify:track:1nhJcUXlLFsjXdmxeEfv5b
False,49.0,Hugh Masekela,Riot,120413.0,spotify:track:0M433gqUejjCujkzISWinQ
False,5.0,Alvin Robinson,Something You Got,148254.0,spotify:track:1S293J9VJy8qDaZb6mpG5K
False,27.0,Average White Band,Queen of My Soul,361613.0,spotify:track:6Z4DwTHV87Go5CO6Yn0dd8
False,7.0,Tommy Roe,Come On,121640.0,spotify:track:0rRER2rlfTJ3LqFqv5Knpj
,,,,,
False,12.0,Bill Champlin,Tonight Tonight,227360.0,spotify:track:3qp8MWfjvn1AW27uvkINae
False,29.0,The Shells,"Baby, Oh Baby",148560.0,spotify:track:7ydnbSJgu700d3ab1jpDBg
,,,,,
,,,,,
False,29.0,Bad Company,This Could Be the One,317626.0,spotify:track:5xwosKJ1p4NP0Y1wKslyh2
False,19.0,Paul Anka,Remember Diana,116373.0,spotify:track:09au7Gh4yO6625e1jy1OHk
False,34.0,The Moody Blues,Steppin' In A Slide Zone,326573.0,spotify:track:5DY2MyjIlecnD2QHakgnDR
False,52.0,Bob Seger,Rock And Roll Never Forgets,232356.0,spotify:track:4cVRPrhh7mTVejhx73qA6U
False,5.0,The Vogues,Please Mr. Sun,142988.0,spotify:track:2Jymfq9aYchbP9mSTp646l
False,31.0,Kim Weston,Take Me In Your Arms (Rock Me A Little While) - Single Version,170493.0,spotify:track:1BLb9uIQ6MYsFVBU0lAQuK
False,73.0,Andy Williams,Happy Holiday / The Holiday Season,156866.0,spotify:track:3sDdyBHQ60Cs1opmIyRvhp
False,30.0,Freddy Fender,Since I Met You Baby,192266.0,spotify:track:7dWpDKSrsC4KSMZuheBUac
,,,,,
False,23.0,Steppenwolf,Ride With Me,205066.0,spotify:track:20XHBDshtwvdKIusZiuB23
False,15.0,Ray Price,Danny Boy,299733.0,spotify:track:3V9Vi3XfPmvC7mIUlr6VGG
False,18.0,"Ecstasy, Passion & Pain",Ask Me,243426.0,spotify:track:0MLeCsnGwBYVzz7cVACbZD
False,15.0,Bobby Goldsboro,The Straight Life,162957.0,spotify:track:07uKak8a1SbavJwBS2moSi
False,29.0,High School Musical Cast,What Time Is It,236373.0,spotify:track:0WEH5Ca7GXdabT4W0M7Pw8
True,71.0,Russ,What They Want,165853.0,spotify:track:3pndPhlQWjuSoXhcIIdBjv
,,,,,
False,15.0,Petula Clark,Round Every Corner,156360.0,spotify:track:5uPKoULQx82sU3NZOO9mDa
False,36.0,Spanky & Our Gang,Sunday Will Never Be The Same,180306.0,spotify:track:42ccaJliexMY66rWpnaGId
False,1.0,Paul Anka,The Story Of My Love,150333.0,spotify:track:08pxc6owNIW0rHv27QD8sa
False,29.0,Firefall,Livin' Ain't Livin',230666.0,spotify:track:0fowhnoYF7pKpalQ4z5I32
False,37.0,Roxette,How Do You Do!,189093.0,spotify:track:3BK8mbUFbBZ3mI5HE4eqCR
False,59.0,Bobby Darin,Splish Splash,131719.0,spotify:track:40fD7ct05FvQHLdQTgJelG
,,,,,
False,25.0,Mr. Mister,Hunters of the Night,310093.0,spotify:track:04ePIeMAhtRjpeq3CCwyh5
False,35.0,Poco,Indian Summer,280866.0,spotify:track:3uqBExqOkoDL6HdkiWcmgJ
,,,,,
False,64.0,Rush,The Spirit Of Radio,296466.0,spotify:track:4e9hUiLsN4mx61ARosFi7p
False,47.0,Depeche Mode,Walking in My Shoes - 2006 Remaster,326106.0,spotify:track:0VokHXtSNOpnlMWDMT9kPD
False,31.0,April Wine,Enough Is Enough - Remastered,245600.0,spotify:track:6FK4qvDHaFxbCl5zRRWX2O
False,12.0,Donovan,I Like You,321453.0,spotify:track:79ArgsenVFsMplMmIkczQG
False,28.0,Smooth,Mind Blowin',255960.0,spotify:track:4kYBrdNJUdoB7iJs9WJMvu
False,17.0,Solomon Burke,I Wish I Knew (How It Would Feel to Be Free),172386.0,spotify:track:5k3lU88VEF8WYlzYjkZ0FL
False,63.0,Marillion,Kayleigh - 2017 Remaster,243560.0,spotify:track:0r5Ju8WyodpXBHmg3f4zYf
False,59.0,Jethro Tull,Locomotive Breath,266013.0,spotify:track:0MYNeFsKpzBHwrJGfWZysV
,,,,,
False,24.0,Ronnie Hawkins,Forty Days - Single Version,136666.0,spotify:track:4v3xzTvUxIKPUmh3g5sLg0
False,30.0,Herb Alpert & The Tijuana Brass,What Now My Love,136053.0,spotify:track:1AzrEisAhzYF1AQfzLhgkO
False,21.0,Carly Simon,It Keeps You Runnin',238440.0,spotify:track:4kmIcVKU595QzqULEp1OzH
False,13.0,The Grass Roots,Walking Through The Country,233853.0,spotify:track:0bPO6CAxcjhiSwTlwrjLtQ
,,,,,
False,11.0,The Pointer Sisters,Wang Dang Doodle,447666.0,spotify:track:0RreVXhAVGCTTjppxFMFvb
False,15.0,Eddie Money,Heaven In the Back Seat,243226.0,spotify:track:0ZUAwAOJJKtNnkWkKSWcJc
,,,,,
,,,,,
True,59.0,Future,Draco,225134.0,spotify:track:4GkkxswcdEt1tkSyiRzgnC
False,24.0,James Brown & The Famous Flames,Bring It Up - Single Version,163986.0,spotify:track:4wowCtWxnXTLJw093mh1fl
,,,,,
False,30.0,The Ronettes,(The Best Part Of) Breakin' Up,184346.0,spotify:track:6HfubSk3SSjTwZq47HLh1z
False,13.0,Jimmie Rodgers,Waltzing Matilda,176000.0,spotify:track:4T1YDePBqGXRnTJMCi4nXm
False,21.0,The 5th Dimension,Puppet Man,178493.0,spotify:track:1gROgficLP6p1mFQZ8IR2i
False,22.0,Wynonna,What The World Needs,215733.0,spotify:track:3cgJ9TTQZdfh2jccUCUV1H
False,13.0,The Independents,Baby I've Been Missing You,225645.0,spotify:track:5jI53JScVgMxXSbW26pRQS
False,0.0,Gene Chandler,What Now,167013.0,spotify:track:4tZ1YkYhn6Py4rrN7u0zAg
False,32.0,Sonny & Cher,What Now My Love - Single Version,217066.0,spotify:track:2ObMuepqvx8HsJ8Ye5ItPF
,,,,,
False,51.0,Koko Taylor,Wang Dang Doodle,182826.0,spotify:track:1cXc92MX9kFjMrrDsvdf9w
True,50.0,Rihanna,What Now,243093.0,spotify:track:0aUWfpD3PlSv3FTTKcT2rN
,,,,,
False,57.0,Erma Franklin,Piece of My Heart,157266.0,spotify:track:2GbePPrWWSRxcmW6QRSPae
False,34.0,Klymaxx,The Men All Pause,435333.0,spotify:track:78VE3KQ85A5ejWZAKOVjNp
False,9.0,Little Willie John,Walk Slow,161986.0,spotify:track:2BX5CrzCWQ2K0I2q4M9DOd
False,36.0,Night Ranger,The Secret Of My Success,267200.0,spotify:track:3M2yrfGLuKQPpQGt01k3Po
False,36.0,First Choice,Smarty Pants,159066.0,spotify:track:4PkRxS9JeMczXQSXOVeBjn
,,,,,
,,,,,
False,8.0,Joe Cocker,Pardon Me Sir,201106.0,spotify:track:2n4r6bOB36BqmbbpriXCw1
False,6.0,Deniece Williams,I Can't Wait,265626.0,spotify:track:1paZtNqGti7o32DSinDmcS
False,44.0,Eagles,Outlaw Man - 2013 Remaster,213430.0,spotify:track:798K1FlIgRmuIIJeSbmmA0
,,,,,
False,61.0,Queen,I Want To Break Free - Remastered 2011,258013.0,spotify:track:7h2yhVxcZOGyQdOwD4Hu8J
,,,,,
False,58.0,Suzi Quatro,If You Can't Give Me Love - 2017 Remaster,232994.0,spotify:track:45JKOZUyOFoLhmEltJFEeW
False,13.0,Ambrosia,Magical Mystery Tour,232800.0,spotify:track:5jwQH54Qg6gcm4hqXm0uLt
False,17.0,Eddie Money,Get a Move On - Single Version,216453.0,spotify:track:2qtpf63oGny3tnw5eEcYBv
False,10.0,Barbara Lynn,Oh! Baby (We Got a Good Thing Goin'),125160.0,spotify:track:4rqZUbzWuy93LEr5h8Wj2c
False,39.0,Steely Dan,Show Biz Kids,324333.0,spotify:track:5SuggdLS4Jdh8anflh9lNe
False,58.0,Demi Lovato,La La Land,196466.0,spotify:track:0M9VqYG0wVun054JIdwFO8
False,47.0,Fastball,Fire Escape,201133.0,spotify:track:2jqua17r7DJuqRXl1uJwJM
False,33.0,Bucky Covington,It's Good To Be Us,184586.0,spotify:track:4V4WaieuSTGrSjRjXaOSZ3
False,21.0,Kool & The Gang,Rhyme-Tyme People,203733.0,spotify:track:0lELJfTnuIVXT3XptuefRY
False,12.0,Peter Frampton,Lying,253133.0,spotify:track:5kHVs02HH3lLmkM1TuXow2
False,21.0,Barbara Lynn,Second Fiddle Girl,117173.0,spotify:track:3iVr0ys1UuBPkV9whnC2ER
False,24.0,Terri Clark,Everytime I Cry,228240.0,spotify:track:6bu8QRAGqZVEDbCEHez1P3
False,43.0,Donovan,Riki Tiki Tavi,175320.0,spotify:track:1dJO1XcaKJ2qrZEsoQT3q5
,,,,,
False,30.0,Mary Wells,Dear Lover - Single Version,134066.0,spotify:track:0gKQ7oFDnlVYzlMuqwRP64
False,22.0,Sammy Johns,Early Morning Love,169066.0,spotify:track:7iT0jz0krjcn4LG1nzjPef
False,23.0,Michael Stanley Band,Falling in Love Again (Remastered),236333.0,spotify:track:1TprcToQRsTtpkxYaTT7Ln
False,44.0,Aretha Franklin,Get It Right,377093.0,spotify:track:1zaigPe4NB94tc4CRshK46
False,43.0,Conway Twitty,Linda on My Mind,155373.0,spotify:track:1QBhszc25PesXgxCOAIdI2
False,17.0,Nitty Gritty Dirt Band,Some Of Shelly's Blues,192275.0,spotify:track:4DYM3a3Oquvaokl22qX0rj
False,16.0,Nick Gilder,Here Comes The Night - Remastered,184826.0,spotify:track:5AtDEJRIito6MNbSehBGZZ
False,32.0,Santana,The Sensitive Kind,212826.0,spotify:track:3P18kKy3ynmFl4ePNtuG74
False,26.0,The Fleetwoods,Graduation's Here,118306.0,spotify:track:0jKdN6d5Jb3TgmqR90DGuY
False,47.0,Elvis Presley,"Hard Headed Woman - From the Hal Wallis Production ""King Creole"", a Paramount Picture",114240.0,spotify:track:3SU1TXJtAsf8jCKdUeYy53
False,6.0,Korona,Let Me Be,213520.0,spotify:track:7z4K4liL4dp8oMpLMdETD9
False,40.0,"""Weird Al"" Yankovic",Like a Surgeon,210626.0,spotify:track:3XhyafaTVD6ViaRFIL4bNo
False,43.0,Bob Seger,Feel Like A Number,224706.0,spotify:track:2QhqWCo5oODaEJUs2iwysz
False,17.0,Kenny Loggins,Easy Driver,213506.0,spotify:track:300dPmE0dv1urytTusm16j
False,51.0,Aerosmith,Back In the Saddle,280431.0,spotify:track:3WPYapjyqcVpShYXQuChcs
False,8.0,Atlantic Starr,Love Crazy,284760.0,spotify:track:6F1KTBRRaRn63tYdb8oxIB
,,,,,
,,,,,
,,,,,
False,22.0,Amazing Rhythm Aces,Amazing Grace (Used to Be Her Favorite Song) - Remastered,197346.0,spotify:track:64CfPPB80psgNKm37oBrDb
,,,,,
False,44.0,The Lovin' Spoonful,Darling Be Home Soon,214213.0,spotify:track:6lTQUF6os6Y400rkjWb30B
False,50.0,Miranda Lambert,Famous In a Small Town,245333.0,spotify:track:4oXOOBwZsHFnRRNBNXrr9X
,,,,,
False,47.0,Tom Petty,It's Good To Be King,310933.0,spotify:track:1c0flvMImhKMuiZIc0VzEb
,,,,,
False,16.0,The Rascals,A Ray of Hope,226213.0,spotify:track:7osQgwNLoDtLFoZJ4Rwkqq
False,18.0,Atlanta Rhythm Section,Doraville,208213.0,spotify:track:6WYY0XCuaHNSq5yPHskeVy
False,35.0,Wings,London Town - Remastered 1993,249493.0,spotify:track:2QTf3rWQocT2VbEtTRkoR5
False,32.0,Peter Allen,Fly Away,240706.0,spotify:track:1m2I5lc8wJoenFLPeOBIFI
,,,,,
False,24.0,Jerry Reed,Alabama Wild Man - (1968 Version),161986.0,spotify:track:2KBUC04CQTAfgEM0T2FBix
False,25.0,Faith Hill,Love Ain't Like That,229493.0,spotify:track:6CkHxQ5cq9XXOGY33nuE4q
,,,,,
False,1.0,"Carl Dobkins, Jr.",Exclusively Yours,139040.0,spotify:track:760EdfOJLYQA8VGCnXatQA
,,,,,
False,12.0,Boots Brown & His Blockbusters,Cerveza,126240.0,spotify:track:3eF1xOxaoeslKjwxrdQ2rD
False,23.0,The Platters,If I Didn't Care,191093.0,spotify:track:0hUrQ65aXYHm2zEAlBVI6F
False,10.0,Anne Murray,Lucky Me,190200.0,spotify:track:13l7SWKwqZQSrLBycU1MWe
False,36.0,Paul Anka,Let Me Get To Know You,202800.0,spotify:track:4mvZnMDlsR2dxSO6iQrSu9
False,34.0,Martina McBride,God's Will,349333.0,spotify:track:1gnGpGoosJEKQRs5MNoQQw
False,31.0,Jack Jones,Lollipops And Roses,246093.0,spotify:track:67JIfYdnRNXSSP1uPRmE2j
False,29.0,Player,It's For You,277666.0,spotify:track:6RjI4if1A7qu5Ca9V495gz
False,10.0,The Lettermen,Sherry Don't Go,125026.0,spotify:track:3MKhV2pyf6PR4G6K7GsIUH
,,,,,
False,18.0,Michel Legrand And His Orchestra,The Hands of Time - From Brian's Song,164913.0,spotify:track:0KCHHYA4dWN8BhN6wn38Bj
False,18.0,Sammy Hagar,Never Give Up,195733.0,spotify:track:0f0xKba8W0JdbBksmx4FZN
False,39.0,The Doobie Brothers,Eyes of Silver,179173.0,spotify:track:1XOuMDdsVbGb2vHsSaUaE5
,,,,,
False,67.0,The Romantics,What I Like About You,175266.0,spotify:track:4ebcE2SmkG7nplvzFAWRu7
,,,,,
False,15.0,Lobo,Holdin' On For Dear Love,166000.0,spotify:track:6sOnMczmrjIkUut7w8pMzO
True,62.0,50 Cent,If I Can't,196640.0,spotify:track:7JeKXMQKm6GoLGTkNy2jZ0
False,25.0,Jesse Johnson,I Want My Girl,287000.0,spotify:track:6P1FIV6hlOCEU8UXavbK5x
,,,,,
False,24.0,Tom Petty and the Heartbreakers,Make It Better (Forget About Me),263800.0,spotify:track:2iBDvB4tH77SER1ppzZ2NL
,,,,,
,,,,,
False,10.0,En Vogue,No Fool No More,257573.0,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1
,,,,,
False,47.0,Donell Jones,In the Hood - Remix Version w/ Rap,301866.0,spotify:track:2RXjRQ4RadpQTecRfRHa13
False,32.0,Public Announcement,Mamacita,226266.0,spotify:track:4ZUuOMlV8T3bNaiEwtoR3L
,,,,,
False,57.0,Bob Dylan,Subterranean Homesick Blues,141293.0,spotify:track:6k9DUKMJpWvu6eFG3O64Lg
,,,,,
False,29.0,Martina McBride,How Far,235266.0,spotify:track:01jlZ4UvMwJ0hPOZLsD1VO
True,79.0,Juice WRLD,Lean Wit Me,175755.0,spotify:track:3oDkdAySo1VQQG0ptV7uwa
False,33.0,Eight Seconds,Kiss You (When It's Dangerous),247693.0,spotify:track:7kr2ERTiInbHXCOHDhl2P9
,,,,,
,,,,,
,,,,,
True,58.0,Migos,Handsome And Wealthy,210556.0,spotify:track:2ZBnK2CGFK6jcagWrpyPzA
,,,,,
False,18.0,Rod Stewart,Oh! No Not My Baby,218640.0,spotify:track:2YOCpP28G308DPIZyq1mIo
False,27.0,Johnny Cash,What Is Truth,157666.0,spotify:track:0snyjt8NMg7Dc7E3xnDH9b
False,12.0,Latoya Jackson,Heart Don't Lie,277466.0,spotify:track:6HnqIYsGMS4ijZl8277Gqo
False,33.0,Fern Kinney,Groove Me,533226.0,spotify:track:4gaUIgp5tUocVJII03LKRh
,,,,,
False,15.0,Marvin Gaye,One More Heartache,160293.0,spotify:track:2UcQMMM1fJl2iAsJZzn5VD
False,23.0,Andy Gibb,Me (Without You),224480.0,spotify:track:5qAW3vvD08l29qcSV6lDIu
False,24.0,Neil Sedaka,I Go Ape,154040.0,spotify:track:0NNpyBTU0Ks2eHanv6xKDb
False,7.0,Clyde McPhatter,Lovey Dovey,153186.0,spotify:track:3mhi1HKYhPRJRtOt56VIBP
False,33.0,Dean Martin,Somewhere There's a Someone,134253.0,spotify:track:6o6SjSnjl1uFjvAMDhmZ3H
False,5.0,Clyde McPhatter,Let's Try Again,148866.0,spotify:track:3vnpzlWkgqMoeFN4SOfugJ
False,17.0,Fats Domino,Red Sails in the Sunset,110053.0,spotify:track:2dCZIytqWZEKdup6XPDmn4
False,33.0,The Meters,Sophisticated Cissy,176693.0,spotify:track:02ZYIF6aoXo6Zz7EUBpoIc
,,,,,
False,53.0,Jason Derulo,If It Ain't Love,203105.0,spotify:track:5YHR8wBR5jXfGtP766NiAT
False,33.0,Gene Simmons,Radioactive,231040.0,spotify:track:7vuY5BAa62myydewdpOBaG
,,,,,
False,44.0,Cheryl Lynn,Encore,319760.0,spotify:track:48ifRcXHbUjc1moUjJcwhx
,,,,,
