0,1,2,3,4,5
False,45.0,Glee Cast,Raise Your Glass (feat. Darren Criss),198466.0,spotify:track:26K3adqoohq5BQh1K3qhNY
True,61.0,Migos,Straightenin,255532.0,spotify:track:3X2r2CnHOJeV5YekPTgBnK
True,55.0,Eminem,Normal,222477.0,spotify:track:0evt4UZbdhnHtcAnxkm6A1
False,38.0,Glee Cast,Stop! In The Name Of Love / Free Your Mind,209786.0,spotify:track:3s3GGkQwwQZq1HOsAjLkK1
,,,,,
,,,,,
,,,,,
False,30.0,Glee Cast,As If We Never Said Goodbye,294106.0,spotify:track:7BmY7k9iiOp7tILNYKBv6A
False,43.0,Glee Cast,Bad Romance (Glee Cast Version),294226.0,spotify:track:0LpE5tfNe15QLvQL4YDi7T
False,15.0,Lindsey Pavao,Say Aah - The Voice Performance,177866.0,spotify:track:73BKZUW5uVre707yYyWtba
True,81.0,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026.0,spotify:track:5enxwA8aAbwZbf5qCHORXi
,,,,,
False,6.0,Reel Tight,(Do You) Wanna Ride,213213.0,spotify:track:7mtYwHLYETUEgA8Sc2Uuxr
True,58.0,Lil Uzi Vert,Celebration Station,195058.0,spotify:track:25B5fGr9K0VdZJiRFsnMO4
,,,,,
,,,,,
True,54.0,Lil Baby,Belly (Lil Baby & Gunna),191724.0,spotify:track:1yQvL8SzbF5JCroRKk9F07
False,74.0,Joji,Sanctuary,180018.0,spotify:track:5F1ZmucV0uJY14y2dYKePa
True,59.0,Lil Tecca,Out Of Luck,163266.0,spotify:track:1ipyiYqvds0wcaFDTW6N4X
True,55.0,Summer Walker,Over It,131106.0,spotify:track:0csmcZqM3uTKfjxehw0Lw2
,,,,,
True,51.0,YoungBoy Never Broke Again,RIP Lil Phat,146802.0,spotify:track:5YEAvnL3klXUE7etBXvMlp
,,,,,
,,,,,
True,56.0,Kid Cudi,Dive,148706.0,spotify:track:7Hc3YL8oDiAzbiAW32KXrw
False,26.0,Chuck Berry,Beautiful Delilah - Alternate Takes 15/16,152200.0,spotify:track:4RdZsxHKdBVjRj1PgcCe4h
False,8.0,Bobby Vee,Since I Met You Baby,141840.0,spotify:track:7BjfhLDrFRE6omVIMzY8Fq
True,55.0,Lil Uzi Vert,Chrome Heart Tags,212821.0,spotify:track:46mT9NR7N9Zf5MolcrBgE3
,,,,,
False,35.0,Glee Cast,Take A Bow - Cover of Rihanna,216666.0,spotify:track:6lClacWMUAWHO0VGgGywym
False,72.0,Dean Martin,"Baby, It's Cold Outside",143733.0,spotify:track:4MrfQL4TYQXJBlZYpAHTuE
False,80.0,Taylor Swift,Paper Rings,222400.0,spotify:track:4y5bvROuBDPr5fuwXbIBZR
,,,,,
False,39.0,Glee Cast,Silly Love Songs,230160.0,spotify:track:3aahH1sW41ubo1PZeQCviE
False,52.0,Michael Jackson,Slave to the Rhythm,255986.0,spotify:track:4h5KB1btt2aZBq9EJHmWF4
False,60.0,Glee Cast,"Baby, It's Cold Outside (feat. Darren Criss)",166546.0,spotify:track:7irY7Ldcf6BFpycGl62vum
False,48.0,Justin Bieber,Roller Coaster,201613.0,spotify:track:18ws4dUbhpoGB7Uv7U89yp
True,56.0,Eminem,Phenomenal,282546.0,spotify:track:4e5lEqydMatcEio6ef9Dpf
,,,,,
True,53.0,J. Cole,Once an Addict - Interlude,197821.0,spotify:track:0Px86mRlxdB3YqpK6KXWlr
True,71.0,Travis Scott,SKELETONS,145588.0,spotify:track:6NMtzpDQBTOfJwMzgMX0zl
True,51.0,Lil Wayne,Open Letter,269286.0,spotify:track:2DnH4XlEkghUdE8ymdVom5
True,52.0,DaBaby,OFF THE RIP,115609.0,spotify:track:3e39X4Q74yJzsYUEeyf4ws
True,58.0,YoungBoy Never Broke Again,Red Eye,156076.0,spotify:track:3qHgGyJY4GpXNOK4WL4NSo
True,58.0,Ariana Grande,shut up,157710.0,spotify:track:3ko9jEHNt4O5fjKN65ULJp
,,,,,
,,,,,
False,77.0,The Jackson 5,Santa Claus Is Coming To Town,144013.0,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k
,,,,,
False,44.0,Glee Cast,Born This Way,246946.0,spotify:track:4iTGIE1P09KoG0ODB8KoGt
False,31.0,Glee Cast,One Love (People Get Ready),154306.0,spotify:track:1M5Mb38gVMh39zcAPSAC7A
False,50.0,Justin Bieber,Recovery,182373.0,spotify:track:6pFqCPdvm6C9IHbJrEu8aG
False,62.0,Glee Cast,Somewhere Only We Know (feat. Darren Criss),184653.0,spotify:track:7qekEQyGFRim7qNhxzkaLo
False,51.0,Glee Cast,"River Deep, Mountain High",212626.0,spotify:track:6w8tGzTSdZKkKG4IWh1n6h
False,42.0,Glee Cast,Pretending,237520.0,spotify:track:2uq0ZXtL4mF5pvZ8LeVIDo
False,36.0,Cassadee Pope,Stupid Boy - The Voice Performance,219040.0,spotify:track:5H5APugL36GmvXjZiRwYWU
False,33.0,Glee Cast,Over The Rainbow,151920.0,spotify:track:4ScByt6H4vaiTlXS8dNQOc
,,,,,
,,,,,
False,60.0,Ariana Grande,Be Alright,179293.0,spotify:track:1MkFj1ThZZxjYMNkczx9mk
False,33.0,Lauren Duski,Deja Vu - The Voice Performance,187823.0,spotify:track:4xTNksNuXORn62bGXsGZXd
False,29.0,Charice,Note to God,238026.0,spotify:track:7MlEmf2a7vrvXJ1v0AHFoe
,,,,,
True,56.0,Eminem,Stepping Stone,309637.0,spotify:track:60Z57Wdrn0pEVpHI7d7GAX
,,,,,
False,62.0,Why Don't We,Fallin’ (Adrenaline),216504.0,spotify:track:6nfqlFOMiWthaOEa53uU0v
False,41.0,Glee Cast,Listen,219253.0,spotify:track:2CtYpnf7UBAyjtqyHIn3qf
,,,,,
False,39.0,Glee Cast,I Want To Hold Your Hand,156346.0,spotify:track:5FeMd5rQHvn9oQQoD8j0Z9
True,61.0,Kanye West,No Mistakes,123040.0,spotify:track:35KV2Nuib6jPMVN00O8iba
,,,,,
False,72.0,Kanye West,Follow God,104591.0,spotify:track:2QpGZOhTCHHiKmpSO9FW4h
False,71.0,Bing Crosby,Mele Kalikimaka (Merry Christmas),175333.0,spotify:track:04vLj9QUXoKdRlsp3gkURo
False,40.0,Glee Cast,Faithfully (Glee Cast Version),273866.0,spotify:track:7Fn84f1WeWabP3aFXW5TA8
False,40.0,Glee Cast,Just The Way You Are,216093.0,spotify:track:3LRcDiWeIFSXmBZtyv7sJ4
False,57.0,Panic! At The Disco,Hallelujah,180626.0,spotify:track:6TzJLISIitIzn1WtjDY0Op
False,56.0,David Bowie,Lazarus,382386.0,spotify:track:3Vn9oCZbdI1EMO7jxdz2Rc
True,69.0,Taylor Swift,gold rush,185320.0,spotify:track:5BK0uqwY9DNfZ630STAEaq
True,63.0,Travis Scott,NC-17,156885.0,spotify:track:6BJbOXDlgVAXSaq6wYFYT2
,,,,,
True,70.0,The Weeknd,Escape From LA,355960.0,spotify:track:1sOW4PuG5X3Ie3EXUhAopJ
True,57.0,Drake,Landed,152195.0,spotify:track:3KixNgUEaDtrKJVzdqjU5q
False,29.0,Jordan Smith,Great Is Thy Faithfulness - The Voice Performance,214146.0,spotify:track:0wIXZ4dPhQn1GYQBSC1Pkh
False,42.0,Glee Cast,"Hey, Soul Sister (feat. Darren Criss)",220546.0,spotify:track:4kRROniJRDFFhgzGv2pnD1
,,,,,
,,,,,
False,52.0,Justin Bieber,Hold Tight,254213.0,spotify:track:71g1UlX2OtS9axwBIBa5Zm
,,,,,
,,,,,
False,15.0,Craig Wayne Boyd,My Baby’s Got A Smile On Her Face,197213.0,spotify:track:6CkqeHWNY9gEjqQqcEnFF0
False,41.0,Glee Cast,Light Up The World,223653.0,spotify:track:1Et2wMhDPqbu5y4sGRt6Ue
,,,,,
False,4.0,Brooke White,Hold Up My Heart,229226.0,spotify:track:0HZGw30pIUh5drpM20skC2
,,,,,
True,59.0,KIDS SEE GHOSTS,Feel The Love,165053.0,spotify:track:3aUFrxO1B8EW63QchEl3wX
True,66.0,Juice WRLD,I Want It,173113.0,spotify:track:2SVx3uds6jTWALFxevIWMA
True,65.0,Taylor Swift,mad woman,237258.0,spotify:track:2QDyYdZyhlP2fp79KZX8Bi
False,76.0,The Beach Boys,Little Saint Nick - 1991 Remix,118840.0,spotify:track:5xlS0QkVrSH7ssEbBgBzbM
,,,,,
False,34.0,Glee Cast,"Hello, Goodbye (Glee Cast Version)",209386.0,spotify:track:66MibHybwVbdo65IOZIj97
,,,,,
False,39.0,Glee Cast,Jar Of Hearts,246146.0,spotify:track:3GHjSHDeB2Qy5BwGuNAIgD
,,,,,
False,36.0,Glee Cast,Happy Days Are Here Again / Get Happy,135746.0,spotify:track:00HWHVerv16snyQSRrfVWT
,,,,,
True,64.0,XXXTENTACION,Guardian angel,108034.0,spotify:track:7uqcLJFlSYjVPLUz1vPxkY
,,,,,
,,,,,
,,,,,
False,79.0,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),155933.0,spotify:track:2pXpURmn6zC5ZYDMms6fwa
False,39.0,Glee Cast,Go Your Own Way,221066.0,spotify:track:6FRutNNsVM2xVV3FAhVZLP
,,,,,
,,,,,
True,53.0,Lil Uzi Vert,Lotus,193861.0,spotify:track:4SnlSaLJJ7reJMCHM5YUuX
True,69.0,The Weeknd,Faith,283226.0,spotify:track:3orEOtd8CPL8GFlpRpKuoE
True,61.0,Drake,From Florida With Love,234782.0,spotify:track:0YkUwXxnTkeJBvt5upeEtP
False,71.0,Taylor Swift,illicit affairs,190898.0,spotify:track:2NmsngXHeC1GQ9wWrzhOMf
,,,,,
False,47.0,Lady Gaga,Hair,307893.0,spotify:track:2uk0YH2ahN0UE5jaCMa5jn
,,,,,
False,1.0,Jerry Butler,Where Are You Going,188600.0,spotify:track:6FPbUSIzGAdl3CkQgcUpcU
False,64.0,Faith Hill,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",247040.0,spotify:track:1msuiw6pnXYfxZ7Edyit9U
False,8.0,Dick & Dee Dee,Where Did the Good Times Go (aka Where Did All the Good Times Go),163400.0,spotify:track:3MxovyedGworiVtM7rrE7w
False,20.0,Elvis Presley,Where Do You Come From,127133.0,spotify:track:4IPAMIpLNAO7npC1LAc7xV
,,,,,
False,65.0,One Direction,Where Do Broken Hearts Go,229040.0,spotify:track:6HFywc5eQYRRYHYTatCb5Y
False,68.0,BTS,Telepathy,202313.0,spotify:track:6Fnvi5QnVkTskSzeRvvQds
False,31.0,Jackie DeShannon,When You Walk In The Room,186600.0,spotify:track:2CFsLFKNVcvTFekFeSUVtF
False,42.0,Glee Cast,Telephone,222960.0,spotify:track:1oqIgJpPpW9wwXcitli8EF
True,54.0,+44,When Your Heart Stops Beating,192786.0,spotify:track:1VpTwecl7EbQiGyVsvwFQE
False,48.0,3 Doors Down,When You're Young,256013.0,spotify:track:6uMPJ3NmW8FfqqNwqjUHrB
,,,,,
False,46.0,Glee Cast,Lucky,187560.0,spotify:track:4BaEOfLHGeP9gw5ToeiY7a
False,54.0,Taylor Swift,Innocent,302253.0,spotify:track:5GPwN5iZ9ZMSXAkppj4Uvv
False,46.0,5 Seconds of Summer,Kiss Me Kiss Me,204620.0,spotify:track:4Ulq0gMDyMQuwKbM2ocx9x
True,59.0,Kanye West,I Thought About Killing You,274186.0,spotify:track:0yhxBvedRdGxsPZHJNI4VA
False,44.0,5 Seconds of Summer,Everything I Didn't Say,180421.0,spotify:track:6s74UWM63X9K3koAfU9KUl
False,33.0,Jordan Smith,Mary Did You Know - The Voice Performance,199760.0,spotify:track:0Mfbc7b4veAMEiWOffph5q
True,69.0,The Weeknd,Hardest To Love,211400.0,spotify:track:6kWxIqQDsKFYCJGbU4AjCX
,,,,,
False,14.0,Dia Frampton,Inventing Shadows - The Voice Performance,213040.0,spotify:track:2oc1Oh7ONhVDBTvwQy8xBx
,,,,,
,,,,,
True,47.0,Eminem,Untouchable,370133.0,spotify:track:6IvespQWGW4USXwexlVKDm
True,55.0,Kendrick Lamar,untitled 07 | levitate,146466.0,spotify:track:6QvxTX9zvo4u7XhP9vOP3n
True,64.0,Kendrick Lamar,untitled 02 | 06.23.2014.,258826.0,spotify:track:3I0FBDc1c1BLNtXWKVjmFg
False,49.0,Hannah Montana,True Friend,189173.0,spotify:track:3mgawAnZJZNZTFaZPofjNC
False,36.0,Glee Cast,True Colors (Glee Cast Version) - Cover of Cyndi Lauper,214000.0,spotify:track:2R4oh1VhdAD5AY4Bn2BhVE
,,,,,
False,5.0,Z.Z. Hill,You Were Wrong,199466.0,spotify:track:7ae7k5vJV8BGAe4xVp7dng
False,51.0,Fall Out Boy,The Carpal Tunnel Of Love,203840.0,spotify:track:6FAUi2Xm6RCF0wpwG8oXGZ
False,10.0,Richard Chamberlain,True Love,139840.0,spotify:track:7s6xTs93vEOLYFhVpYpVdN
False,0.0,Clarence Ashe,Troubles I've Had,220586.0,spotify:track:1uCqMjz7ABl7dPwhzPEzIe
False,63.0,Khalid,Up All Night,157220.0,spotify:track:1mpD5Q8IM32I4bF6eCpU74
,,,,,
False,61.0,Ozuna,Unica,218386.0,spotify:track:33b2wX9d0kxqxhi7lcsC1A
True,48.0,Mike Jones,Mr. Jones,238946.0,spotify:track:3LU66Soe9kT5saRxI4wTj6
False,47.0,MIKA,Love Today,235173.0,spotify:track:6ZBJFWDYJSTQg54eDsqnkJ
False,36.0,Hannah Montana,Make Some Noise,287626.0,spotify:track:7hiM6KgXyAts8YXxNu9G9y
True,65.0,The Weeknd,Until I Bleed Out,190173.0,spotify:track:2BcnxwxBuar5wjCaLqm5N3
False,2.0,Dee Dee Sharp,"Willyam, Willyam",128199.0,spotify:track:2S5vzLXND2ZQXhGQQjChVf
True,78.0,Drake,Trust Issues,281518.0,spotify:track:4Wjhj0WjkyECccfHVIgaTq
False,51.0,Justin Bieber,Trust,203613.0,spotify:track:00IH8ZjI9ZGB51WRX1Oesj
False,29.0,Aretha Franklin,Try a Little Tenderness,194613.0,spotify:track:6XA1E2WTQlHpaFEH4TwOIb
,,,,,
False,15.0,Connie Francis,Time Alone Will Tell: Non Pensare A Me,165013.0,spotify:track:1g0W5WDakVdYBD2RFlo58l
,,,,,
True,67.0,Machine Gun Kelly,drunk face,143900.0,spotify:track:3k0YJnqMKRZb8swo86vCkq
,,,,,
,,,,,
True,48.0,Lil Durk,Kanye Krazy,145964.0,spotify:track:3puhyUug02XewEB3CcogO5
False,31.0,Ray Price,Invitation to the Blues,168106.0,spotify:track:0C7M2eMM22PSLOGE1v8oTr
True,55.0,J. Cole,Window Pain - Outro,286729.0,spotify:track:5Lgqu1th1KqlG97OF2gWGe
False,34.0,Javier Colon,Time After Time - The Voice Performance,203493.0,spotify:track:03yihw8LFlfZ3EfaLk1A1A
