0,1,2,3,4,5
False,36.0,Del Shannon,Hats off to Larry,122200.0,spotify:track:0Eok7UwcfOhuNxBNnJzeHY
False,28.0,Tommy Roe,Hooray For Hazel,149546.0,spotify:track:3koPNalAOcO8orv2MBvxen
False,38.0,The Caravelles,You Don't Have To Be A Baby To Cry,121266.0,spotify:track:1X1wWToIWDxbbV5WGN23D8
,,,,,
,,,,,
,,,,,
False,32.0,The Friends Of Distinction,Love or Let Me Be Lonely,203333.0,spotify:track:1JVvzXYupK5ED9KaX4VFW9
False,28.0,1910 Fruitgum Company,Indian Giver - Remastered,162186.0,spotify:track:6AlRiYSieZSkMPCD22dlvp
False,35.0,Johnny Tillotson,Talk Back Trembling Lips,159010.0,spotify:track:0dmWHd1MlljUv04aIy4wkq
False,38.0,Seals and Crofts,Hummingbird,273346.0,spotify:track:73p4o0a14AOyK4SMQmQUgU
False,0.0,Carly Simon,The Right Thing to Do,179800.0,spotify:track:6AYoyt2FU4621LYqFtd709
False,49.0,Dionne Warwick,I Say a Little Prayer,188360.0,spotify:track:05XkMS2YVNfPNXepMScPRJ
False,5.0,Herman's Hermits,I’m into Something Good,153095.0,spotify:track:3Z0HZzzDMW7jbkYEvMeAYu
False,36.0,Ed Ames,My Cup Runneth Over,164826.0,spotify:track:40BvPdq2rwYIoioUgjKHoK
False,22.0,The Archies,"Jingle, Jangle",162480.0,spotify:track:4ckfvcIvWpMySBbpW66Uvd
False,31.0,The Independents,Leaving Me,202710.0,spotify:track:4kLeZ6mxuhTaehLBYxAE4N
False,61.0,Alice Cooper,I'm Eighteen,180760.0,spotify:track:3YU9X8ryOR20beT7wOlDIJ
False,61.0,Jennifer Rush,The Power of Love,268200.0,spotify:track:18DfMhEx4ddoreHrvZDF6Q
False,18.0,Joey Powers,Midnight Mary,143333.0,spotify:track:6XRkqwxyWLyEGIN8pnMqAi
False,34.0,The Jaggerz,The Rapper,162693.0,spotify:track:0s1PceKn7sF0Pc8bsnDN1t
False,18.0,The Cooper Brothers,The Dream Never Dies,258040.0,spotify:track:5Qs6CZcTu7nzUiKYWCxojC
False,78.0,The Temptations,My Girl,165000.0,spotify:track:745H5CctFr12Mo7cqa1BMH
False,23.0,Howard Jones,The Prisoner,279333.0,spotify:track:2U7INzRmvchXDfYui64Mr7
False,58.0,Tommy James & The Shondells,Draggin' the Line,164866.0,spotify:track:4WYFQLVqla6tpYtKsSqcgu
False,74.0,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",244026.0,spotify:track:0iOZM63lendWRTTeKhZBSC
False,55.0,Wham!,The Edge of Heaven,270800.0,spotify:track:5AhRNIjYPBleR1lfHphcrE
False,39.0,Ronny & The Daytonas,G.T.O.,149333.0,spotify:track:5GvVxxwieOVIlZaCU9bG0R
False,68.0,Sam & Dave,"Hold On, I'm Comin'",155706.0,spotify:track:6PgVDY8GTkxF3GmhVGPzoB
False,2.0,Gene & Eunice,Poco-Loco,107226.0,spotify:track:05pRf6asirSMhug1hEQmc9
False,0.0,King Curtis & The Noble Knights,Soul Twist,169160.0,spotify:track:1wkwJJz2zGDPZoXsxok4qG
False,62.0,Alvin & The Chipmunks,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,141466.0,spotify:track:02NKMA9cIkq6VuBNu9q9Wf
False,64.0,The Young Rascals,Groovin',151289.0,spotify:track:3c2kMiSB86tVq1J4oULmvL
False,63.0,The Byrds,Mr. Tambourine Man,149466.0,spotify:track:2HCaIYjkvWSZzaSKUoOh3d
False,49.0,Gladys Knight & The Pips,Every Beat Of My Heart,114666.0,spotify:track:75hgmQO2o2IUx0vgl0l54e
False,49.0,Zager & Evans,In the Year 2525 (Exordium & Terminus),199653.0,spotify:track:5UVsbUV0Kh033cqsZ5sLQi
False,37.0,The Impressions,Keep On Pushing,155626.0,spotify:track:5mDEEfMs1fHTjoEffGvnvr
False,41.0,The Hombres,Let It Out (Let It All Hang Out),123693.0,spotify:track:1SCnrq7aAvg2MIddieSQ9n
False,16.0,Lenny Welch,You Don't Know Me,167640.0,spotify:track:3ADlu2SizmXRt4xwGURdY1
False,60.0,Jim Croce,You Don't Mess Around with Jim,184640.0,spotify:track:5yrsBzgHkfu2idkl2ILQis
False,36.0,Four Tops,It's All In The Game,163960.0,spotify:track:2r3oMDiiTwssuXfIHDJ0cq
False,46.0,Elton John,You Gotta Love Someone,298026.0,spotify:track:0EpRxgIqC79gXUMI8jPMVc
False,29.0,Chase,Get It On,179146.0,spotify:track:006yvCdaWUS79qp2Ip3Hdl
False,35.0,Roy Orbison,Mean Woman Blues,143600.0,spotify:track:0xeSDTXE4yc7AyF5pleSe5
False,34.0,The T-Bones,No Matter What Shape (Your Stomach's In),136853.0,spotify:track:5DkgAX62bM7gwYpOGtOGfK
False,67.0,Mungo Jerry,In the Summertime,215800.0,spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd
False,50.0,Jeannie C. Riley,Harper Valley P.T.A.,194400.0,spotify:track:2sZIclzhHlH8tzf7wry9hK
False,31.0,Cliff Richard,It's All in the Game,192893.0,spotify:track:0vntIQmeOMe5ybYfwghVxV
False,24.0,Mary J. Blige,You Don't Have To Worry - Remix Main With Rap,278573.0,spotify:track:5SpezzhEoGUpUgaRc7vMOm
False,81.0,Tiësto,The Business,164000.0,spotify:track:6f3Slt0GbA2bPZlz0aIFXN
,,,,,
False,50.0,Jason Aldean,A Little More Summertime,219546.0,spotify:track:3esPcn43N0CytAtcY9V30C
False,11.0,Topic,Breaking Me,166793.0,spotify:track:4MynHjUNjoiY8I06ENLxdB
False,69.0,Elvis Presley,If I Can Dream,191840.0,spotify:track:3C6pSIVeBKIbSpCFtaw1r8
False,52.0,George Baker Selection,Little Green Bag,195333.0,spotify:track:4DR5MStkWtDYf17jBUOo0V
False,58.0,The Gap Band,You Dropped A Bomb On Me,312906.0,spotify:track:1VKPiQJnV15flF5B3zeocD
,,,,,
False,16.0,The Rocky Fellers,Killer Joe,141986.0,spotify:track:0YB9sCbOvqs5R5EI3aqycC
False,65.0,Lesley Gore,You Don't Own Me,150000.0,spotify:track:7ngRS53kqxLcEt9Pythc5d
,,,,,
False,60.0,Maren Morris,80s Mercedes,211767.0,spotify:track:58spuRyMUsjKHQHEGwLC99
,,,,,
False,65.0,Chris Brown,Questions,129477.0,spotify:track:3ojTJaonfkL96iIWa47SU3
False,70.0,Morgan Wallen,Somebody’s Problem,161773.0,spotify:track:42lqBjPYlmL1EXpMDXvhSN
