0,1,2,3,4,5
False,13.0,Tammi Terrell,I Can't Believe You Love Me,154906.0,spotify:track:7DdWyBaZwwKr3z9eZyFgto
False,38.0,Pretenders,Thin Line Between Love and Hate - 2007 Remaster,220946.0,spotify:track:6nuOvrkMWmuDgoXPB3wIx8
True,60.0,Hey Violet,Guys My Age,213694.0,spotify:track:0Xm8tw6qikotb8FAOZ2ks7
False,13.0,The Monkees,Good Clean Fun,135800.0,spotify:track:1t4I9xuq9Mgdq4SR5hV8p5
,,,,,
False,28.0,O-Town,These Are The Days - Radio Edit & Album Version,263933.0,spotify:track:4Mem5PZWPaqQ7X1bGysNxl
False,13.0,Barbra Streisand,Hands Off the Man (Flim Flam Man),150773.0,spotify:track:6nTlec1eMRmkeXjZ7X9TBT
False,5.0,Duane Eddy,"Lonely Boy, Lonely Guitar",138706.0,spotify:track:1TUgwU1KIVdyCt6V75Rjc8
False,19.0,Jan & Dean,Gee,133026.0,spotify:track:2TqZC7BpPlwEHbMGWnjXf8
False,29.0,Andrea Martin,Let Me Return The Favor,254333.0,spotify:track:4zygTlD6BMAZ3oGauPSod5
False,39.0,Lindisfarne,Lady Eleanor - Remastered,255426.0,spotify:track:7Aw5qOxD2UV27vqgyg89C4
False,36.0,Sergio Mendes & Brasil '66,Night And Day,186026.0,spotify:track:6IZ8m8pkmRUiKlxyTq10fQ
False,2.0,The Paragons,If,155240.0,spotify:track:3TX4LYL1VNKAfASr9rUP02
False,9.0,Troop,Whatever It Takes (To Make You Stay),319533.0,spotify:track:7ypmnQBUevzJdnlUSmdndC
,,,,,
,,,,,
True,77.0,Bad Bunny,La Difícil,163084.0,spotify:track:6NfrH0ANGmgBXyxgV2PeXt
,,,,,
,,,,,
False,6.0,Joe Perkins,Little Eeefin Annie,129222.0,spotify:track:4YsVIMxU1n4ZKl6u1nC6cg
,,,,,
False,16.0,Night Ranger,I Did It For Love,287266.0,spotify:track:1IL99pXfCyRH8oeNAcVhyw
,,,,,
,,,,,
False,7.0,Waterfront,Nature Of Love,294640.0,spotify:track:5ASBmhimeMuVY5T3CJrddg
False,35.0,Frank Sinatra,This Town,182053.0,spotify:track:71QDMjqxSXYBiCQeZtJkPf
,,,,,
False,75.0,Marc Anthony,Vivir Mi Vida,252346.0,spotify:track:3QHMxEOAGD51PDlbFPHLyJ
,,,,,
,,,,,
