0,1,2,3,4,5
False,29.0,Connie Francis,If I Didn't Care,158373.0,spotify:track:5PtRkZoNShkcE1yfy6q444
False,70.0,Pentatonix,Hallelujah,268960.0,spotify:track:0HZk0QsXPhMNAWNDR3rYE8
False,29.0,The New Birth,Dream Merchant,265466.0,spotify:track:5i0h6XtjL1LNRuFUl0STkC
True,55.0,Snoop Dogg,Let's Get Blown,280680.0,spotify:track:0NdxbFFknA7kQ4E2zvJfey
False,35.0,Maxi Priest,Just A Little Bit Longer - Radio Edit,217440.0,spotify:track:0CKl6n1fwj8PxoSDwkr7ke
False,47.0,Tori Kelly,Hollow,210606.0,spotify:track:160hN2OsDXnmgExwtG7cvD
False,58.0,Joe Diffie,John Deere Green,272066.0,spotify:track:2evFJQfQVcDEXyOiyEV6OW
False,12.0,The O'Jays,"Girl, Don't Let It Get You Down",251546.0,spotify:track:0Jp09OKyRNJvhm3AcQ1G2G
,,,,,
False,28.0,Kelly Clarkson,Low,208640.0,spotify:track:7HtE5z6XsuogcQJmnTNAIH
False,7.0,Five Star,If I Say Yes,243400.0,spotify:track:7MLeTfXJNhzmLHt13UzvX8
False,48.0,Major Lance,"Um, Um, Um, Um, Um, Um",139173.0,spotify:track:27FhNKYP8B0F3teHdcD5ob
False,19.0,Cher,Train Of Thought,155853.0,spotify:track:2wMptIPlutnTFs3Ote1PlW
False,57.0,Inner City,Good Life,244773.0,spotify:track:5sJiLlgQKBL81QCTOkoLB5
,,,,,
True,41.0,Rocko,Umma Do Me,230546.0,spotify:track:3YrVdQ19x8VDexsX7ytwJ2
True,47.0,Obie Trice,Got Some Teeth,227026.0,spotify:track:7tszeVkfxO5ISkjZWpIG88
False,39.0,"Bobby ""Blue"" Bland",Turn On Your Love Light,158306.0,spotify:track:0BhtcoMmv2ifcPQJv0edSy
True,54.0,KRS-One,MC's Act Like They Don't Know,295933.0,spotify:track:0snDRsjNRMJhm7SVja8l6J
False,18.0,Balance,Falling In Love,197013.0,spotify:track:4GSiGak8HPbJy1kRlyWx1L
False,10.0,David Hudson,Honey Honey,245213.0,spotify:track:6OWvzS02XNHvbhqWMt125m
False,21.0,Jody Watley,Most Of All,268640.0,spotify:track:26jC8SFZobz3bsUc32bxV8
True,48.0,Derez De’Shon,Hardaway,236032.0,spotify:track:25qhnRgAcImQWfaswqRkwN
False,40.0,Dazz Band,Joystick,323626.0,spotify:track:61MfGE3iEbkzPEaIDVRrTP
