0,1,2,3,4,5
False,64.0,Ace,How Long,204226.0,spotify:track:4AjKVyNUMdUveKK5OH1OJD
,,,,,
False,59.0,Gladys Knight & The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),264266.0,spotify:track:3QgSJ9CqgLPk9B4xLdwLrS
,,,,,
False,34.0,"Evelyn ""Champagne"" King",I Don't Know If It's Right,257838.0,spotify:track:2ulgdUGBFt9UYG8LVdgkRR
False,52.0,Tom T. Hall,I Love,126666.0,spotify:track:5fTwUw09NNgCIOkEKu3bGB
,,,,,
,,,,,
False,32.0,Gallery,I Believe in Music,175560.0,spotify:track:386HqCyTreE3TofRL3hLpw
False,35.0,Bobby Rydell,Wild One,143346.0,spotify:track:3ZAC5Rs6R7w1NyZ4vMIDXe
,,,,,
,,,,,
False,48.0,Diana Ross & The Supremes,Love Child,181573.0,spotify:track:69EILuL34ggLWQsa626bes
False,50.0,The Friends Of Distinction,Grazing In the Grass,174080.0,spotify:track:755QPhAgO1YSmbs8a9M9b9
False,1.0,John Fred and The Playboys,Judy in Disguise (with Glasses),181173.0,spotify:track:2aLQuwrWROxyXcquLUtLRo
False,3.0,Les Cooper and The Soul Rockers,Wiggle Wobble,125373.0,spotify:track:23mgC51wSWICSQq21Cq8l7
,,,,,
False,39.0,The Band Perry,Don’t Let Me Be Lonely,251226.0,spotify:track:1vjx9wZEyhhM1VRmIoDiRk
,,,,,
False,67.0,Billy Paul,Me and Mrs. Jones,284906.0,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi
False,37.0,War,The World Is A Ghetto,244360.0,spotify:track:0IJPyHBTbGSMPDZHIMYDOF
False,45.0,Bobby Rydell,Forget Him - Bonus Track,128280.0,spotify:track:2cBcDL88A6c5IoFWceo7C7
,,,,,
False,73.0,James Taylor,Fire and Rain - 2019 Remaster,203613.0,spotify:track:1oht5GevPN9t1T3kG1m1GO
,,,,,
False,33.0,The Pointer Sisters,Yes We Can Can,362733.0,spotify:track:7FpGAivMuzzBcnOlHZnouD
False,56.0,The Troggs,Love Is All Around,177666.0,spotify:track:5psbwXbjlWCqmLVzIqif7Q
False,69.0,Steppenwolf,Magic Carpet Ride,271573.0,spotify:track:4c4jJJoaiY21t2TyRZgdWS
False,48.0,B.W. Stevenson,My Maria,152000.0,spotify:track:6EA8NmWd3l9C6ycQfbEOnS
,,,,,
False,47.0,The Stylistics,"Stop, Look, Listen (To Your Heart)",172946.0,spotify:track:0zZQ9lSF4d4lT9FRS85Yw3
False,0.0,Hank Ballard & The Midnighters,The Twist,158000.0,spotify:track:6KqVpjqW905b4xxfSUS6kx
,,,,,
False,70.0,The Monkees,Daydream Believer,179613.0,spotify:track:7uEcCGtM1FBBGIhPozhJjv
