0
""
"(False, 73, 'Little Mix', 'Shout Out to My Ex', 246240, 'spotify:track:0ErK6K0kYr0Ow2RkPMhmMs')"
"(True, 43, 'Staind', 'Believe', 257306, 'spotify:track:098lPAWl2OmsCx64TXH5OQ')"
"(False, 17, 'Bobby Womack', 'Check It Out - Single Edit', 171040, 'spotify:track:2lbONRwi3VOUCLqD97yhzJ')"
""
"(True, 71, 'Bazzi', 'Paradise', 169038, 'spotify:track:0Rx0DJI556Ix5gBny6EWmn')"
"(False, 6, 'Oliver', 'Angelica', 283666, 'spotify:track:1sEImexIhca9b7pUcpObsC')"
""
"(False, 57, 'Jennifer Lopez', 'Papi', 223493, 'spotify:track:1nAGuIZXz6vb8XW0xiMqic')"
""
"(False, 43, 'Godsmack', 'Speak', 235933, 'spotify:track:6RfDLynqmspMOKA57mXyQI')"
""
"(False, 0, 'Wisin & Yandel', 'Sexy Movimiento', 211920, 'spotify:track:4K4lg6U4WAQVP9U5Af7H0T')"
"(False, 32, 'Roy Clark', 'Thank God and Greyhound', 155760, 'spotify:track:17d5xOklXOZ0dCGsqbr6Z7')"
"(False, 10, ""Bill Black's Combo"", 'Tequila', 122480, 'spotify:track:4RQ0USH2LiBZc15WUnPl2Z')"
""
"(False, 6, 'John Barry', 'Goldfinger', 154426, 'spotify:track:1NSPlQT30uDuBDRAJdg92K')"
"(False, 10, 'The Angels', 'Thank You And Goodnight', 153733, 'spotify:track:293W5tGqQJC73Q1SEBwDo7')"
""
"(False, 15, 'Sam & Dave', 'Everybody Got to Believe in Somebody - Mono', 194835, 'spotify:track:79v8qeBXuC8IDs7FKAxKo1')"
"(False, 12, 'Chicago', 'Gone Long Gone - 2003 Remaster', 240360, 'spotify:track:0h2HPjykz5ePBbWfLLt1vN')"
"(False, 61, 'ZAYN', 'LIKE I WOULD', 192133, 'spotify:track:1zWMf9bVyhY5W3ZORbjNWt')"
"(False, 5, 'Frankie Valli & The Four Seasons', ""That's the Only Way"", 160000, 'spotify:track:15B1limEYsrV2tKWeUjAnS')"
""
"(False, 0, 'Joe Simon', ""That's the Way I Want Our Love"", 153014, 'spotify:track:0pt5xGqcv8ygKLzE3iqU0t')"
"(False, 72, 'Fifth Harmony', ""That's My Girl"", 204013, 'spotify:track:2ACOWPLUe4A4KuQ5ioD2od')"
"(False, 11, 'Jackie Wilson', 'For Once In My Life', 187347, 'spotify:track:72cSQVBT0Uln5RitecXHLr')"
"(False, 6, 'Joe Tex', ""That's the way"", 230373, 'spotify:track:60N1VHlOm2nR24bN1DVGU2')"
"(False, 13, 'ABC', 'That Was Then But This Is Now', 214266, 'spotify:track:2KhiMFCK1mofCz239BLxpj')"
"(False, 39, 'Chuck Berry', 'Merry Christmas Baby', 193106, 'spotify:track:3mBqSjoj9R22gct558sIgG')"
"(False, 1, 'George Maharis', ""That's How It Goes"", 137866, 'spotify:track:3aZxXWFsmIuGU2pS7RxYCq')"
"(False, 29, 'Transvision Vamp', 'Tell That Girl To Shut Up', 185200, 'spotify:track:1ah2bSMILKdJf16rBKKibI')"
"(True, 70, 'The Weeknd', 'Tell Your Friends', 334333, 'spotify:track:1mhVXWduD8ReDwusfaHNwU')"
"(False, 33, 'The Delfonics', 'Tell Me This Is a Dream', 213413, 'spotify:track:5iJ3TFsnziFusTvu8hM9pL')"
"(False, 0, 'Larry Verne', 'Mister Livingston', 233506, 'spotify:track:0DgdBjcAGfwbI4OiARr2kE')"
"(False, 34, ""The O'Jays"", 'Let Me Make Love To You', 216600, 'spotify:track:5XTdQEuQhO3sUCcm2K1YnR')"
"(False, 0, 'Tim Moore', 'In the Middle', 192480, 'spotify:track:71ctwO45Yzk7TIjlO27ZW1')"
"(False, 1, 'The Jaggerz', 'I Call My Baby Candy', 177960, 'spotify:track:7oQBG3L9oEEmHOehtTNVNs')"
"(False, 2, 'The Innocence', 'Mairzy Doats', 100493, 'spotify:track:3mabymD8ortwKJfJQ6nVR2')"
""
""
""
"(False, 24, 'April Stevens', 'Teach Me Tiger', 143200, 'spotify:track:6agMRKrQ92cVTuV8keXhD7')"
"(False, 14, 'R. Dean Taylor', 'Taos New Mexico', 190346, 'spotify:track:6Qoa1kEcbOAxw4vQYDPijk')"
"(False, 2, 'Johnny Mathis', 'The Taste of Tears', 166800, 'spotify:track:4jR1ubOUrzx7GOmHpRCxRa')"
"(True, 76, 'Trippie Redd', 'Taking A Walk', 121680, 'spotify:track:4mHgYpuGHu99Mw69E83CP2')"
