0,1,2,3,4,5
False,0.0,Trini Lopez,Sally Was a Good Old Girl,163066.0,spotify:track:1ic1T70xdjF2aNlBSUjZTh
False,4.0,Dorothy Morrison,Spirit In the Sky,194853.0,spotify:track:31Nq0jzIq0PTgzamySP07Y
,,,,,
,,,,,
False,9.0,Brook Benton,She Knows What to Do for Me,223173.0,spotify:track:1tQS8KPqODTp6ILbIWBgwZ
False,30.0,Gordon Lightfoot,Summer Side of Life,243933.0,spotify:track:4c7jDzrbO38GPT8x9wLkOr
False,52.0,Patsy Cline,Strange - Single Version,135506.0,spotify:track:7jGrvXXwpmNgJVnz7QS7df
False,22.0,Frankie Ford,Alimony,142706.0,spotify:track:4GrFU6vSw8ildV5dQIgnI7
,,,,,
,,,,,
False,5.0,Bobby McClure,Peak Of Love,175573.0,spotify:track:3HfXCqcFDH5Oz4O89O9Mtu
,,,,,
,,,,,
,,,,,
False,3.0,Eloise Laws,Number One,186333.0,spotify:track:5DVbPAtfcKe5otacOU1KWd
False,8.0,The Uniques,All These Things,239489.0,spotify:track:6Qbeoi2TE7HX8DlQ5yfKoc
False,25.0,Brian Poole & The Tremeloes,"Someone, Someone",176960.0,spotify:track:6FXLVvGylQoxxpcA8mWGRD
False,13.0,Kings Of The Sun,Black Leather,235240.0,spotify:track:47T4ZY4D3V8ZlMn4k8ZeC0
False,6.0,Anne Murray,Sunday Sunrise,196400.0,spotify:track:2BHyz0VKLfxpTAqKjNBGSN
False,0.0,Rick Springfield,American Girls,158333.0,spotify:track:5a4u8ogkiTrYZQ7eC5zhCj
,,,,,
False,0.0,The Brooklyn Bridge,Day Is Done,241493.0,spotify:track:2AEI8hzlmMhpfppO0qedRI
False,2.0,Vanity Fare,(I Remember) Summer Morning,178418.0,spotify:track:5iDkKAJZxGaqIo4Z32ZbjD
False,10.0,The Monkees,Oh My My,181466.0,spotify:track:1U1Ds55WL3PBtzWWNKnF45
False,19.0,The Left Banke,Desiree,161720.0,spotify:track:07nrBcdjj2F7oETUaHZgEN
False,14.0,Johnny Mathis,"On a Clear Day (You Can See Forever) - From the B'way Musical, ""On a Clear Day (You Can See Forever)""",165000.0,spotify:track:4ONolb1bmCd7CkGkCVImmZ
