duration_ms,explicit,name,Performer,genre,popularity,uri,weeks_on_chart,release_year
199080,FALSE,Shut Up and Dance,WALK THE MOON,Pop,84,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,53,2014
259440,TRUE,Too Close,Next,R & B ,68,spotify:track:5IFCyWplye09HytIP80RCF,53,1998
259933,FALSE,Drops of Jupiter (Tell Me),Train,Pop,79,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,53,2001
208373,FALSE,Don't Let Me Down,The Chainsmokers Featuring Daya,Pop,81,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,52,2016
312820,TRUE,SICKO MODE,Travis Scott,Hip Hop,83,spotify:track:2xLMifQCjDGFmkHkpNLD9h,52,2018
176960,TRUE,Go Crazy,Chris Brown & Young Thug,R & B ,79,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,52,2020
267253,FALSE,Donâ€™t Start Now (Kaytranada Remix),Dua Lipa,Pop,39,spotify:track:7cYNQkJoyHVhP8Drb2n6d5,52,2019
214289,FALSE,Happier,Marshmello & Bastille,Pop,84,spotify:track:2dpaYNEQHiRxtZbfNsse99,52,2018
201660,TRUE,Without Me,Halsey,Pop,83,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,52,2018
211466,FALSE,Say You Won't Let Go,James Arthur,Pop,87,spotify:track:5uCax9HTNlzGybIStD3vDh,52,2016
244960,FALSE,Closer,The Chainsmokers Featuring Halsey,Pop,86,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,52,2016
231266,TRUE,Better Now,Post Malone,Pop,82,spotify:track:7dt6x5M1jzdTEt8oCbisTK,52,2018
237546,FALSE,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Pop,74,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,52,2016
202333,FALSE,Stressed Out,twenty one pilots,Alternative,86,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,52,2015
277266,FALSE,Truly Madly Deeply,Savage Garden,Pop,75,spotify:track:013AWvizllIUEC2FOBzOnh,52,1997
215229,TRUE,Girls Like You,Maroon 5 Featuring Cardi B,Pop,66,spotify:track:6OEHjJJvdkk1Ln0p0AZdyz,52,2018
215106,FALSE,Before You Go,Lewis Capaldi,Pop,85,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,52,2019
206880,FALSE,Stitches,Shawn Mendes,Pop,78,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,52,2015
222093,TRUE,Trap Queen,Fetty Wap,Hip Hop,75,spotify:track:2d8JP84HNLKhmd6IYOoupQ,52,2014
229525,FALSE,See You Again (feat. Charlie Puth),Wiz Khalifa Featuring Charlie Puth,Hip Hop,83,spotify:track:2JzZzZUQj3Qff7wapcbKjc,52,2015
253413,FALSE,How's It Going to Be,Third Eye Blind,Alternative,66,spotify:track:3Uvx1TO0Kg5HgGPk58lHXv,52,1997
211666,FALSE,Cheap Thrills,Sia Featuring Sean Paul,Pop,72,spotify:track:3S4px9f4lceWdKf0gWciFu,52,2015
197293,FALSE,The Bones,Maren Morris,Pop,75,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,52,2019
190946,FALSE,High Hopes,Panic! At The Disco,Pop,83,spotify:track:1rqqCSm0Qe4I9rUvWncaom,52,2018
238733,FALSE,Here Without You,3 Doors Down,Alternative,77,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,51,2003
201707,FALSE,Love Lies (with Normani),Khalid & Normani,R & B ,76,spotify:track:45Egmo7icyopuzJN0oMEdk,51,2018
