Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,55.0,Heart,Never,246.611,spotify:track:4yEMyaB6PGBpQvac2yD9wZ,http://www.billboard.com/charts/hot-100/1985-09-14,1985-09-14,70,NeverHeart,1,,70,1,1985
False,47.0,Klymaxx,I Miss You,333.266,spotify:track:3d6UefBBvhqHxJLZdm8scF,http://www.billboard.com/charts/hot-100/1985-09-14,1985-09-14,86,I Miss YouKlymaxx,1,,86,1,1985
False,20.0,Five Star,All Fall Down,212.306,spotify:track:7k2mzloCQUPcUA0sYsDF6X,http://www.billboard.com/charts/hot-100/1985-09-14,1985-09-14,83,All Fall DownFive Star,1,,83,1,1985
False,28.0,Cheech & Chong,Born In East L.A.,292.826,spotify:track:4bsKq1IYsd4lt3UsegYigL,http://www.billboard.com/charts/hot-100/1985-09-21,1985-09-21,73,Born In East L.A.Cheech & Chong,1,,73,1,1985
False,24.0,Commodores,Janet,222.666,spotify:track:2kIkPan3nWivUUST82oQ23,http://www.billboard.com/charts/hot-100/1985-09-21,1985-09-21,89,JanetCommodores,1,,89,1,1985
False,5.0,Jennifer Holliday,Hard Times For Lovers,308.2,spotify:track:3pOQ0UppQmWwK286LzSty7,http://www.billboard.com/charts/hot-100/1985-09-21,1985-09-21,83,Hard Times For LoversJennifer Holliday,1,,83,1,1985
False,14.0,Diana Ross,Eaten Alive,232.826,spotify:track:3E77yNurqaaRwvwMnLtzq3,http://www.billboard.com/charts/hot-100/1985-09-21,1985-09-21,88,Eaten AliveDiana Ross,1,,88,1,1985
False,71.0,Mr. Mister,Broken Wings,343.933,spotify:track:78FHUZRbFDCG6VkRAQdFLm,http://www.billboard.com/charts/hot-100/1985-09-21,1985-09-21,84,Broken WingsMr. Mister,1,,84,1,1985
False,45.0,Jane Wiedlin,Blue Kiss,208.066,spotify:track:1vkqIBgI8WDMrZrDLFUiLY,http://www.billboard.com/charts/hot-100/1985-09-28,1985-09-28,90,Blue KissJane Wiedlin,1,,90,1,1985
False,48.0,Howard Jones,Like To Get To Know You Well,240.186,spotify:track:4U5Te3C8adcnclsVqppxKy,http://www.billboard.com/charts/hot-100/1985-09-28,1985-09-28,81,Like To Get To Know You WellHoward Jones,1,,81,1,1985
