0,1,2,3,4
Vanessa Williams/Brian McKnight,22.0,Vanessa Williams And Brian McKnight,spotify:artist:3N57Gx6Q8V0qxpK4n8aAFt,['contemporary r&b']
Jamie Foxx,70.0,Jamie Foxx,spotify:artist:7LnaAXbDVIL75IVPnndf7w,"['hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
Mazzy Star,67.0,Mazzy Star,spotify:artist:37w38cCSGgKLdayTRjna4W,"['alternative rock', 'art pop', 'dream pop', 'melancholia', 'rock', 'shoegaze', 'slowcore']"
Andru Donalds,40.0,Andru Donalds,spotify:artist:4wuHLh6AEK7selBuj38cRz,['reggae fusion']
,,,,
Roula,17.0,Sébastien Rouland,spotify:artist:6zKeEdWm1g6gVQgq5r5hx7,[]
Tony Thompson,25.0,Tony Thompson,spotify:artist:4dC1SJh5elSp45qeyfgInn,"['contemporary r&b', 'new jack swing']"
Kool G Rap,50.0,Kool G Rap,spotify:artist:099tLNCZZvtjC7myKD0mFp,"['alternative hip hop', 'boom bap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap', 'turntablism']"
Devone,8.0,Devon'e,spotify:artist:27GCYUBocZz3YGVpQQyNr7,[]
,,,,
Los Del Mar,41.0,Los Marineros del Norte,spotify:artist:2meziLJDOGbviBEKWRHXwt,['deep norteno']
Gyrl,31.0,School Gyrls,spotify:artist:4zfTcqK4VudzZgd0T8g1Fi,"['electropop', 'post-teen pop']"
Michael Peterson,42.0,Michael Peterson,spotify:artist:5SOL8Hz0JUmgBWHggBQ5Kz,"['country', 'country road', 'country rock']"
Ultra Nate,55.0,Ultra Naté,spotify:artist:1cK2Abwkni7m51wJCSGllN,"['deep house', 'disco house', 'diva house', 'garage house', 'vocal house']"
,,,,
Sammy Kershaw,55.0,Sammy Kershaw,spotify:artist:3tkZthBATD0S45hm1DmB2O,"['country', 'country road', 'country rock']"
Mono,62.0,Monolink,spotify:artist:2I4hRNCYkPKJQlkoEZKjYx,['livetronica']
