0
""
""
""
""
"('The Crickets', 55, 'The Crickets', 'spotify:artist:4r7JUeiYy24L7BuzCq9EjR', ['merseybeat', 'rock-and-roll', 'rockabilly'])"
"('Jim Reeves', 58, 'Jim Reeves', 'spotify:artist:2Ev0e8GUIX4u7d9etNLTXg', ['adult standards', 'nashville sound'])"
"('Barry McGuire', 44, 'Barry McGuire', 'spotify:artist:6xdkfNRMtBzeu7t4wyum2X', ['bubblegum pop', 'folk rock'])"
""
"(""Go-Go's"", 81, 'Gorillaz', 'spotify:artist:3AA28KZvwAUcZuOKwyblJQ', ['alternative hip hop'])"
"('The Cure', 76, 'The Cure', 'spotify:artist:7bu3H8JO7d0UbMoVzbo70s', ['new wave', 'permanent wave', 'rock', 'uk post-punk'])"
"('Candlebox', 55, 'Candlebox', 'spotify:artist:3R6c2tWDBeYB1GncjLMn9n', ['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock'])"
"('Nu Flavor', 34, 'Nu Flavor', 'spotify:artist:2gdX1GbQ8sljsTVwDaIpkc', ['boy band', 'contemporary r&b'])"
""
""
""
""
""
""
""
""
""
""
""
""
"('Loverboy', 56, 'Loverboy', 'spotify:artist:2CLVPk9FcywjClBcTvWPkT', ['album rock', 'classic canadian rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock'])"
"('Jan Hammer', 50, 'Jan Hammer', 'spotify:artist:50zRydJXfkLzGIOj9mITfy', ['jazz fusion'])"
""
""
""
""
""
""
"('Leonard Cohen', 67, 'Leonard Cohen', 'spotify:artist:5l8VQNuIg0turYE1VtM9zV', ['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter'])"
""
""
"('The Flamingos', 50, 'The Flamingos', 'spotify:artist:6iygtKnPG7TRvDaTYcLOd6', ['doo-wop', 'rhythm and blues'])"
"('Shirley & Lee', 31, 'Shirley & Lee', 'spotify:artist:7kowgNVIlvDxx9Uhvcft5Y', ['doo-wop', 'rhythm and blues'])"
""
"('Tone-Loc', 48, 'Tone-Loc', 'spotify:artist:5Y8EphH8Vdqu5SLj6K5vjj', ['hip hop', 'hip house', 'rap'])"
"('Lost Boyz', 46, 'Lost Boyz', 'spotify:artist:0OtigLoCgLYvXnMxbE5qH5', ['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'queens hip hop'])"
""
""
""
""
""
""
"('Kacey Musgraves', 71, 'Kacey Musgraves', 'spotify:artist:70kkdajctXSbqSMJbQO424', ['country dawn', 'pop', 'texas country'])"
""
"('Chance The Rapper', 76, 'Chance the Rapper', 'spotify:artist:1anyVhU62p31KFi8MEzkbf', ['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap'])"
"('The Ray Charles Singers', 41, 'The Ray Charles Singers', 'spotify:artist:2FbG2PIAVFvzszwgz2QuOL', ['easy listening'])"
"('Little Anthony And The Imperials', 45, 'Little Anthony & The Imperials', 'spotify:artist:3PF1KBeHYb14yKgsiE693V', ['classic soul', 'doo-wop', 'rhythm and blues', 'rock-and-roll'])"
