0,1,2,3,4
Chris Andrews,38.0,Chris Andrews,spotify:artist:49czbwrhT97D0tODGwDyLs,"['british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'nederpop', 'nl folk']"
The Overlanders,9.0,The Overlanders,spotify:artist:0IZ3d0v1c9OaPfVfmkSknV,"['british invasion', 'merseybeat']"
,,,,
Nolan Thomas,7.0,Nolan Thomas,spotify:artist:1jmwcgsQ4AJOfqTyjBtKba,[]
,,,,
The Ivy Three,0.0,The Ivy Three,spotify:artist:6Uk6YP0Dt3lq1SIXF3l8Bh,['novelty']
Reality,51.0,Nightcore Reality,spotify:artist:50YUlSM9xB8BSdZC0EKk9Z,['nightcore']
,,,,
,,,,
,,,,
Undisputed Truth,41.0,The Undisputed Truth,spotify:artist:2tkwWmcZOQPNbbIdknfBsw,"['classic soul', 'funk', 'motown', 'psychedelic soul', 'quiet storm', 'soul', 'southern soul']"
,,,,
Figures On A Beach,16.0,Figures On A Beach,spotify:artist:6viLLEXE8t1R5wBFpCuDu2,['synthpop']
,,,,
,,,,
,,,,
Deja,36.0,DEJARAE,spotify:artist:3FZwsTckM9VstbdkchQkWR,[]
Liner,29.0,Side Liner,spotify:artist:7sF8RuNYCpGngojCFcHAv4,"['ambient psychill', 'psychill']"
Rockie Robbins,15.0,Rockie Robbins,spotify:artist:2FHuzNTPcnTjS3HAieBHSZ,['minneapolis sound']
,,,,
,,,,
Ray LaMontagne,65.0,Ray LaMontagne,spotify:artist:6DoH7ywD5BcQvjloe9OcIj,"['acoustic pop', 'indie folk', 'neo mellow', 'new americana', 'stomp and holler']"
Chris Cuevas,33.0,Christian Cuevas,spotify:artist:70ULbeueddgCENNE5iGBAw,"['australian talent show', 'deep talent show']"
Sugar Bears,1.0,The Sugar Bears,spotify:artist:4h31m7Vo5ZvxVlq9rHLvpm,[]
Derek Martin,36.0,Derek Martin,spotify:artist:4wmdEPqPmm4Lj4FdZtQv6S,[]
Tate McRae,82.0,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,['pop']
Walker Hayes,67.0,Walker Hayes,spotify:artist:7sKxqpSqbIzphAKAhrqvlf,"['contemporary country', 'country', 'country road', 'modern country rock']"
,,,,
Limmie & Family Cookin',25.0,Limmie & Family Cookin',spotify:artist:0Kf6WxtCT2iZAnmNR8TD2w,[]
,,,,
,,,,
Aaron Lines,19.0,Aaron Lines,spotify:artist:3YmywXnB2RxQ9IvUzZqvo9,"['alberta country', 'canadian country', 'country road']"
,,,,
,,,,
Cast Of Hairspray,56.0,Motion Picture Cast of Hairspray,spotify:artist:1TWItH0fGVAaHbNiIyFjcP,[]
Madleen Kane,25.0,Madleen Kane,spotify:artist:2nCH7NlCpkfhzJMS4opstC,['deep disco']
,,,,
The Shields,12.0,The Shields,spotify:artist:45OBxXLz8nWOcdHZG6jpG3,[]
The Slades,23.0,The Slades,spotify:artist:0j0Z5OJJ0kKHcmy1zIujYA,[]
Silver Condor,11.0,Silver Condor,spotify:artist:29depPcBWPGMjwZeqJHbQi,[]
,,,,
,,,,
The Triplets,18.0,The Haden Triplets,spotify:artist:1TC6x7p5Ey9cyuCxhUxMTN,['western americana']
The Four Sonics,0.0,The Four Sonics,spotify:artist:7bNws2Etrx2uvLdW9xWyFt,[]
,,,,
Scarlett & Black,20.0,Scarlett & Black,spotify:artist:5WedTUDKS8Ui8MnQEfyiPk,[]
Dawn Penn,49.0,Dawn Penn,spotify:artist:6mLXvSt7Xxy2r9uBba1O6Z,"['lovers rock', 'reggae', 'rocksteady']"
,,,,
New Radicals,59.0,New Radicals,spotify:artist:0Grjlu7ncIuCaSYvCs9fcd,['pop rock']
,,,,
The Jones Girls,48.0,The Jones Girls,spotify:artist:7aHa6IZwZ13FoC5AXFkCSh,"['classic soul', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
VEDO,65.0,Vedo,spotify:artist:3wVXTWabe3viT0jF7DfjOL,"['pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
Cold Blood,24.0,Cold Blood,spotify:artist:0q8LQM9bH2uGZ9QvA3NeZO,['rare groove']
,,,,
Professor Morrison's Lollipop,0.0,Professor Morrison's Lollipop,spotify:artist:05s4DM3bn3mTihwxTm5eZK,[]
Gloria Taylor,33.0,Gloria Ann Taylor,spotify:artist:1xpBuU9oUPQIYw2bP0XOu8,['rare groove']
Perfect Stranger,24.0,Perfect Stranger,spotify:artist:5u9Gwvcam6HULB4DuEGLnf,[]
Gene & Jerry,0.0,"Jerry Blondel, Gene Vandenostende & Avo Singers",spotify:artist:2HUPpdoSqzwHsG0QZZVa1J,[]
Chris Cornell,62.0,Chris Cornell,spotify:artist:0XHiH53dHrvbwfjYM7en7I,"['alternative metal', 'alternative rock', 'grunge', 'rock']"
,,,,
,,,,
