0,1,2,3,4
Romeo Santos,83.0,Romeo Santos,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,['bachata']
DNCE,71.0,DNCE,spotify:artist:6T5tfhQCknKG4UnH90qGnz,"['dance pop', 'edm', 'pop', 'post-teen pop']"
YBN Nahmir,66.0,YBN Nahmir,spotify:artist:3gGUMEwIX6XodWsYEvKSal,"['alabama rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
Lil Peep,85.0,Lil Peep,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'lgbtq+ hip hop']"
,,,,
,,,,
,,,,
,,,,
Gogi Grant,25.0,Gogi Grant,spotify:artist:2Ak3GNswCQfRKDs3P8uWaQ,['deep adult standards']
Tony Dallara,44.0,Tony Dallara,spotify:artist:4kLoGBk9rZUs8lJmda0IHe,"['classic italian pop', 'italian lounge']"
Ronnie Height,0.0,RONNIE HEIGHT,spotify:artist:3msQ0BGuNeYH87pUyCa424,[]
The Johnny Otis Show,17.0,The Johnny Otis Show,spotify:artist:4pdM1TI8b1tZW3Jprzn5II,[]
The String-A-Longs,28.0,The String-A-Longs,spotify:artist:7CG3fjmCcZHXOnxYrpgE6W,['surf music']
Paris Sisters,32.0,The Paris Sisters,spotify:artist:0SDMI2Gkjubw3ol5p5fKtX,"['brill building pop', 'classic girl group']"
Timi Yuro,42.0,Timi Yuro,spotify:artist:2JyxVsEiD9HVRM7CtFaLCK,['adult standards']
Mr. Acker Bilk,0.0,Mr Acker Bilk's Paramount Jazz Band,spotify:artist:1fpzS0e13WQknw39SMO804,[]
Ketty Lester,34.0,Ketty Lester,spotify:artist:36pJnWrcvAsoWm6fUqGaHi,[]
The Cascades,51.0,The Cascades,spotify:artist:6qF0CJP412Gd50Rn1sFg2o,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll']"
The Crystals,54.0,The Crystals,spotify:artist:7rewR1TVjhisjI6gauUamf,"['bubblegum pop', 'classic girl group', 'rock-and-roll']"
The Murmaids,19.0,The Murmaids,spotify:artist:0ZVvRLbxQEcphvO7G8x3c8,['classic girl group']
Kim Weston,47.0,Kim Weston,spotify:artist:71pUA2TXf3JHUPUgsjLtuL,"['motown', 'northern soul']"
Brian Wilson,47.0,Brian Courtney Wilson,spotify:artist:5K2BdUwQNqXy70BX2L8BQx,"['contemporary gospel', 'gospel']"
John Roberts,44.0,John Roberts,spotify:artist:5HGXZdpWmmXoDqbCCsBlYt,[]
Jay And The Techniques,30.0,Jay & The Techniques,spotify:artist:36eDX6PQlJkjxXUhIINO5w,"['bubblegum pop', 'philly soul']"
The Tams,42.0,The Tams,spotify:artist:4FSD5qtm70EBsOiLMN2eEe,"['beach music', 'northern soul']"
,,,,
Classics IV Featuring Dennis Yost,1.0,The Classics IV featuring Dennis Yost,spotify:artist:0BQw4TZhnJEQqSPE9eOYqa,[]
The Winstons,27.0,The Winstons,spotify:artist:1VePrTOSgCLcaBecBs7i2q,[]
,,,,
Pretty Ricky,57.0,Pretty Ricky,spotify:artist:6XwcepfAsPhrvwziGxhwju,"['contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
,,,,
,,,,
,,,,
,,,,
V V Brown,40.0,V V Brown,spotify:artist:39ZHUueufhIdbW4yu9uODG,"['british soul', 'metropopolis']"
Josh Turner,66.0,Josh Turner,spotify:artist:7vCtweS8UVAXTyau2j0rDT,"['contemporary country', 'country', 'country road']"
Rej3ctz,29.0,Rej3ctz,spotify:artist:67oiK9STe75g3hNiUFyaRo,['pop rap']
,,,,
Don Omar,82.0,Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'urbano latino']"
,,,,
Melanie Fiona,50.0,Melanie Fiona,spotify:artist:4O2YL4ygn6eTBC0w1hyWUM,"['canadian pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']"
Driicky Graham,27.0,Driicky Graham,spotify:artist:7h5oEr0hzlM0GFQMrgEwSo,['north carolina hip hop']
,,,,
Amanda Brown,22.0,Amanda Brown,spotify:artist:11VRTR3lSXmFs5YZfmNOl7,['deep talent show']
,,,,
Samantha Barks,46.0,Samantha Barks,spotify:artist:4gOl5m9dY7IGAipqpul7GZ,['show tunes']
,,,,
,,,,
,,,,
,,,,
