0,1,2,3,4
King Curtis & The Kingpins,0.0,King Curtis And The Kingpins,spotify:artist:0a294VTsmPTnHVlQP2EX6v,[]
The Formations,20.0,The Formations,spotify:artist:4VSXRIlvdkUtEFAXDS4TfQ,[]
Merrilee Rush,28.0,Merrilee Rush & The Turnabouts,spotify:artist:5TnMVQgTIbp6z3AydwnHW6,['bubblegum pop']
John Sebastian,37.0,John Sebastian,spotify:artist:3FPF6tyBTP79pCCAJDcPft,"['country rock', 'folk rock', 'singer-songwriter', 'yacht rock']"
Moms Mabley,1.0,Moms Mabley,spotify:artist:6HZ1CtBcg9FroAS7taeCIp,['harlem renaissance']
Delaney & Bonnie & Friends,34.0,Delaney & Bonnie,spotify:artist:6dTCMsjfH2odCFlNb36SCG,"['blues rock', 'country rock', 'swamp rock']"
The Statler Brothers,51.0,The Statler Brothers,spotify:artist:5PSWc8Y94zFsAtZlTe7ipI,"['country', 'country rock']"
Tyrannosaurus Rex,0.0,Tyrannosaurus Rexistential,spotify:artist:0zH0FK7dK8nGuDApy7ztCn,[]
Jimi Hendrix,72.0,Jimi Hendrix,spotify:artist:776Uo845nYHJpNaStv1Ds4,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']"
The Independents,19.0,The Independents,spotify:artist:6thqlvViYWovJxyBbNkpcO,['classic soul']
Southcote,0.0,Dave Southcote,spotify:artist:68OylmVFzIbtPTdfUaRpOm,[]
Cozy Powell,25.0,Cozy Powell,spotify:artist:6jJkOaQBQsEBBqvavgdHQT,['rock drums']
Rick Cunha,4.0,Rick Cunha,spotify:artist:3EttlHwImIiozmPZb1VJox,[]
Fox,72.0,Toby Fox,spotify:artist:57DlMWmbVIf2ssJ8QBpBau,"['indie game soundtrack', 'pixel']"
Biddu Orchestra,27.0,Biddu Orchestra,spotify:artist:0lUimvAVToyIQxJ4nLQmGc,[]
Soul Train Gang,0.0,Soul Train Gang,spotify:artist:1nu6P9drZvOXl9dfgRVM9O,[]
Black Oak Arkansas,32.0,Black Oak Arkansas,spotify:artist:07xwCifj3iE7F6fYHin4TU,"['blues rock', 'classic rock', 'country rock', 'hard rock', 'southern rock']"
Rod Hart,17.0,Rod Hart,spotify:artist:5UoRKL6kLwjYWQLl6QSHAs,['truck-driving country']
10cc,62.0,10cc,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,"['album rock', 'art rock', 'blues rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'yacht rock']"
London Symphony Orchestra,75.0,London Symphony Orchestra,spotify:artist:5yxyJsFanEAuwSM5kOuZKc,"['british orchestra', 'classical performance', 'orchestra']"
Rush,67.0,Rush,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']"
Bob Weir,41.0,Bob Weir,spotify:artist:6YB0tbDGk01Q0P6wcHPjpC,"['blues rock', 'country rock', 'jam band', 'roots rock']"
Angel,77.0,Los Ángeles Azules,spotify:artist:0ZCO8oVkMj897cKgFH7fRW,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'tropical']"
Spellbound,32.0,THE SPELLBOUND,spotify:artist:1urc1bS4D4upX4Mb9kLnMb,[]
Sad Cafe,24.0,Sad Café,spotify:artist:1v3i9HmVAnX3khVW9tPUg4,['classic uk pop']
Desmond Child And Rouge,5.0,Desmond Child & Rouge,spotify:artist:0OMeyYmmTWLBljQJOOvwKz,[]
Delegation,52.0,Delegation,spotify:artist:1zKp43H1kLHOTkJAeyTIkf,"['disco', 'funk', 'post-disco', 'quiet storm']"
Third World,46.0,Third World,spotify:artist:6qfKnsgz1CwyqA7lTdieRJ,"['dub', 'lovers rock', 'reggae', 'reggae fusion', 'roots reggae']"
Parliament,53.0,Parliament,spotify:artist:5SMVzTJyKFJ7TUb46DglcH,"['afrofuturism', 'funk', 'funk rock', 'p funk', 'soul']"
Bandit,76.0,Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
The Records,20.0,The Records,spotify:artist:3oFRpiLvaflFOVNxvsLrze,"['power pop', 'pub rock']"
Maxine Nightingale,49.0,Maxine Nightingale,spotify:artist:6jQ9UtYXqNfVnPkrH1Xxwi,['classic uk pop']
The Inmates,29.0,The Inmates,spotify:artist:5WwKEo5A3gZBAvo7pqlqpa,['pub rock']
"Ray, Goodman & Brown",30.0,"Ray, Goodman & Brown",spotify:artist:58U0OwuIViimy39WEbRbXh,[]
Warren Zevon,57.0,Warren Zevon,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,"['art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Bobby Caldwell,59.0,Bobby Caldwell,spotify:artist:4V4Z3qMCwYofWHtip6ePF6,['yacht rock']
Russ Ballard,36.0,Russ Ballard,spotify:artist:1TOvAjOdz0YBx2wVRlBvFA,['album rock']
Touch,64.0,A Touch Of Class,spotify:artist:5wTdspmxzb8V4ZjvDodpBo,"['bubblegum dance', 'eurodance', 'europop']"
Yipes!!,4.0,IFC Yipes,spotify:artist:5SmYNjMKP7jnFAhrpuludV,[]
