0,1,2,3,4
Dua Lipa,89.0,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']"
,,,,
,,,,
The Cadillacs,35.0,The Cadillacs,spotify:artist:5ye4TzZU2L7cxiQgCZoJUH,"['doo-wop', 'rhythm and blues']"
Fats Domino,57.0,Fats Domino,spotify:artist:09C0xjtosNAIXP36wTnWxd,"['adult standards', 'louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']"
,,,,
Dickey Lee,27.0,Dickey Lee,spotify:artist:34Ym7wEA9olyXIQ5eRAZjq,[]
"Peter, Paul & Mary",58.0,"Peter, Paul and Mary",spotify:artist:6yrBBtqX2gKCHCrZOYBDrB,"['american folk revival', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
The Young Rascals,52.0,The Young Rascals,spotify:artist:5X3TuTi9OIsJXMGxPwTKM2,"['bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock']"
Diana Ross & The Supremes,49.0,Diana Ross & The Supremes,spotify:artist:0rXI0q8Cahq6numvPlloaq,"['classic girl group', 'motown', 'soul']"
The Monkees,64.0,The Monkees,spotify:artist:320EPCSEezHt1rtbfwH6Ck,"['beatlesque', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'soft rock', 'sunshine pop']"
R.B. Greaves,35.0,R.B. Greaves,spotify:artist:1BdNzKPyPDOhHdFhvwytQt,[]
Johnnie Taylor,47.0,Johnnie Taylor,spotify:artist:4OGuNAnRFWZOgOA2d51taz,"['funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
Kenny Rogers,70.0,Kenny Rogers,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']"
M,92.0,Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,['rap']
Dennis DeYoung,34.0,Dennis DeYoung,spotify:artist:4TM0rDUbvVvrHioKsmzr68,['soft rock']
,,,,
Rick Astley,66.0,Rick Astley,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,"['europop', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
The Boys,75.0,The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,"['adult standards', 'baroque pop', 'classic rock', 'indie r&b', 'psychedelic rock', 'rock', 'sunshine pop']"
Matthew Sweet,42.0,Matthew Sweet,spotify:artist:2idymNTKUdnTxforkb12Mw,"['alternative country', 'alternative pop', 'alternative rock', 'jangle pop', 'laboratorio', 'pop rock', 'power pop', 'roots rock', 'underground power pop']"
Brownstone,47.0,Brownstone,spotify:artist:6dQgkiJm1fRkcqKOvPzysr,"['contemporary r&b', 'girl group', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
,,,,
Depeche Mode,75.0,Depeche Mode,spotify:artist:762310PdDnwsDxAQxzQkfX,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']"
Craig David,66.0,Craig David,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c,"['british soul', 'dance pop', 'r&b', 'urban contemporary']"
Counting Crows,69.0,Counting Crows,spotify:artist:0vEsuISMWAKNctLlUAhSZC,"['alternative rock', 'neo mellow', 'pop rock', 'rock']"
John Legend,81.0,John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
Modest Mouse,65.0,Modest Mouse,spotify:artist:1yAwtBaoHLEDWAnWR87hBT,"['alternative rock', 'double drumming', 'indie rock', 'modern rock', 'rock', 'washington indie']"
Feist,62.0,Feist,spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,"['canadian indie', 'canadian pop', 'chamber pop', 'indie pop', 'singer-songwriter']"
,,,,
Sean Paul,81.0,Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,"['dance pop', 'dancehall', 'pop rap']"
Alicia Keys,79.0,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
,,,,
Pitbull,83.0,Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
,,,,
Michael McDonald,56.0,Michael McDonald,spotify:artist:24hJWbo98sH84tb0nkeaqy,"['mellow gold', 'soft rock', 'yacht rock']"
Mya,63.0,Mýa,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Fabolous,68.0,Fabolous,spotify:artist:0YWxKQj2Go9CGHCp77UOyy,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']"
T. Rex,63.0,T. Rex,spotify:artist:3dBVyJ7JuOMt4GE9607Qin,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']"
Mac Davis,42.0,Mac Davis,spotify:artist:6HX8AbXUFaYRtlqKb4CCo0,"['bubblegum pop', 'classic country pop', 'country rock', 'soft rock']"
The Presidents,59.0,The Presidents Of The United States Of America,spotify:artist:1lZvg4fNAqHoj6I9N8naBM,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'rap rock', 'rock']"
Herman's Hermits,52.0,Herman's Hermits,spotify:artist:48YxSlb23RAaCd4RyHcV9V,"['adult standards', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Larry Hall,26.0,Larry Hall,spotify:artist:17nxEt3oZte3eUuVio6W55,"['deep adult standards', 'instrumental worship']"
Neil Sedaka,58.0,Neil Sedaka,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
Mike Posner,71.0,Mike Posner,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,"['dance pop', 'edm', 'pop', 'pop rap']"
,,,,
Maxine Brown,34.0,Maxine Brown,spotify:artist:1kCqTUSrWJEHZm2GSpRuMV,"['classic soul', 'rhythm and blues', 'southern soul']"
,,,,
The Seekers,44.0,Joe Hertler & The Rainbow Seekers,spotify:artist:2bqcjvd6ETkqubaQnx3OtS,"['deep new americana', 'michigan indie']"
Leif Garrett,38.0,Leif Garrett,spotify:artist:2MyNAoQL07EABerr6yhoT4,"['bubblegum pop', 'classic uk pop', 'disco']"
D12,67.0,D12,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Jimmy Hughes,40.0,Jimmy Hughes,spotify:artist:0Ac3Vb2xO8UGlSHlll7RFE,"['rhythm and blues', 'soul', 'southern soul']"
The Moments,37.0,The Moments,spotify:artist:6avGAzQTmqu8mfSmZrN7gT,"['classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'souldies']"
Glen Campbell,62.0,Glen Campbell,spotify:artist:59hLmB5DrdihCYtNeFeW1U,"['adult standards', 'arkansas country', 'classic country pop', 'folk rock', 'mellow gold', 'nashville sound', 'singer-songwriter', 'soft rock']"
Mark Lindsay,41.0,Mark Lindsay,spotify:artist:7kEOMdsEmZkTHgA4ibDz4h,['bubblegum pop']
Blues Brothers,57.0,The Blues Brothers,spotify:artist:1cHFz6lrt7KAsBV8j2Ny1g,"['blues', 'blues rock']"
The Pointer Sisters,64.0,The Pointer Sisters,spotify:artist:2kreKea2n96dXjcyAU9j5N,"['dance pop', 'disco', 'girl group', 'hi-nrg', 'mellow gold', 'new wave pop', 'soft rock']"
Asia,56.0,Asia,spotify:artist:1bdytLV3FPjyhfrb6BhMej,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
Madness,62.0,Madness,spotify:artist:4AYkFtEBnNnGuoo8HaHErd,"['ska', 'ska revival']"
BoDeans,40.0,Bodeans,spotify:artist:2D2qwEatKbBSKhBCfP6lyn,"['pop rock', 'roots rock']"
,,,,
,,,,
The Paradons,10.0,The Paradons,spotify:artist:3rZKnhYrwfRs3wluf9vnsO,['doo-wop']
Procol Harum,53.0,Procol Harum,spotify:artist:0GbqW5TJr7n4is453VOY4C,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'progressive rock', 'psychedelic rock', 'symphonic rock']"
