0,1,2,3,4
Berlin Philharmonic,74.0,Berliner Philharmoniker,spotify:artist:6uRJnvQ3f8whVnmeoecv5Z,"['german orchestra', 'orchestra']"
Walter Murphy,41.0,Walter Murphy,spotify:artist:73JBR5s2PVvUjGu6tIqjqx,"['disco', 'hammond organ']"
,,,,
T.P.E.,8.0,T.P.E.,spotify:artist:148xHiokcrFEaLFdwktt90,['deep freestyle']
The Casinos,28.0,The Casinos,spotify:artist:2oEalcjHCHizuXF2ao47F6,[]
Machine,81.0,Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop', 'pop rap']"
,,,,
The Outlaws,47.0,The Outlaws,spotify:artist:72JEwd3EjDEwTLypkFYJn9,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
Hi-C,63.0,Hippo Campus,spotify:artist:1btWGBz4Uu1HozTwb2Lm8A,"['indie pop', 'indie poptimism', 'indie rock', 'minneapolis indie', 'modern alternative rock', 'modern rock']"
EMF,48.0,EMF,spotify:artist:39oSLGo3HkaeYXzUEGgAGQ,"['britpop', 'dance rock', 'grebo', 'indietronica', 'madchester']"
Livin' Joy,47.0,Livin' Joy,spotify:artist:3PUzVXdNnsJGPDTIU7xvqu,"['disco house', 'diva house', 'hip house', 'vocal house']"
,,,,
Buffy,46.0,Buffy Sainte-Marie,spotify:artist:5exO2eW84QucBhrRhcK76x,"['american folk revival', 'british folk', 'canadian indigenous', 'canadian singer-songwriter', 'folk', 'folk rock', 'native american contemporary', 'singer-songwriter']"
Kenny Lattimore,47.0,Kenny Lattimore,spotify:artist:1UjTUqWfGkof4L5HO5NmzP,"['contemporary r&b', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Los Umbrellos,28.0,Los Umbrellos,spotify:artist:7dM6mAQzskLNycljNMmptA,[]
,,,,
,,,,
,,,,
Lil' Kim,66.0,Lil' Kim,spotify:artist:5tth2a3v0sWwV1C7bApBdX,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']"
,,,,
,,,,
,,,,
Natalie,69.0,Natalie Jane,spotify:artist:5bfglVyGJppmmNoC2rhBUG,['alt z']
,,,,
Keyshia Cole,68.0,Keyshia Cole,spotify:artist:1vfezMIyCr4XUdYRaKIKi3,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'rap', 'urban contemporary']"
,,,,
Cascada,67.0,Cascada,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'german techno', 'melbourne bounce international', 'pop rap']"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
