0,1,2,3,4
Republica,43.0,Republica,spotify:artist:06YQ6XwCdPUn8rAXV70gge,"['candy pop', 'new wave pop']"
Katalina,12.0,Katalina,spotify:artist:5hqDbwb0MVaFExE6mhTfek,[]
Patty Loveless,54.0,Patty Loveless,spotify:artist:6SFUC6ORDCIBqPssCBpeHT,"['country', 'country dawn', 'country rock', 'kentucky roots']"
Terry Dexter,26.0,Terry Dexter,spotify:artist:0tcTyQkSJfYkSk8cZPEZxj,[]
,,,,
Aaron Carter,49.0,Aaron Carter,spotify:artist:5338fdSzGNOFD4cxAxDTeq,"['dance pop', 'post-teen pop']"
,,,,
,,,,
,,,,
,,,,
,,,,
Sharissa,20.0,Sharissa Dawes,spotify:artist:7EWyzA8UvK1mtovU6OzODR,[]
Cee-Lo,25.0,Super Lover Cee,spotify:artist:3R7SOiZVE3VA35iLEk3QH5,[]
,,,,
,,,,
,,,,
,,,,
Benzino,25.0,Benzino,spotify:artist:4kL2OPLMiNMXhojqQSNkUQ,['hip pop']
,,,,
,,,,
,,,,
,,,,
,,,,
Bobby Pinson,19.0,Bobby Pinson,spotify:artist:25naJrFZN5yogpY4K3bV0f,"['country road', 'modern country rock', 'oklahoma country']"
Jamie O'Neal,45.0,Jamie O'Neal,spotify:artist:6sQVeggRv1AhrMzuCjhCZe,"['contemporary country', 'country', 'country dawn', 'country road']"
YoungBloodZ,50.0,Youngbloodz,spotify:artist:2OqENqJFXPORP4BUGnu2Qq,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']"
Juelz Santana,65.0,Juelz Santana,spotify:artist:6Uh8uJyN9g7oFjDK16nJgb,"['gangster rap', 'harlem hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
D4L,49.0,D4L,spotify:artist:4AllEJE7mVkhhyUV6DjqPz,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']"
Lyfe Jennings,49.0,Lyfe Jennings,spotify:artist:33C3ByGk9NCrjTIXr6npqf,"['contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Brown Boy,38.0,Brown Boy,spotify:artist:0Ug6OsFk2B0mLvXrpmpRs6,"['chicano rap', 'latin hip hop']"
,,,,
,,,,
F.L.Y. (Fast Life Yungstaz),42.0,F.L.Y. (Fast Life Yungstaz),spotify:artist:0zOuQuYGGcrtDYYy3YFDMr,"['atl hip hop', 'futuristic swag']"
The Veronicas,57.0,The Veronicas,spotify:artist:1dIdBZaaHRW2bDTkHNfWln,"['australian pop', 'australian talent show', 'candy pop', 'dance pop', 'electropop', 'girl group', 'pop', 'post-teen pop']"
,,,,
Alice In Chains,72.0,Alice In Chains,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
,,,,
,,,,
Ronnie Dunn,52.0,Ronnie Dunn,spotify:artist:1iLuTmIgxCEiEllDSWkeIy,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'oklahoma country']"
Willow,75.0,WILLOW,spotify:artist:3rWZHrfrsPBxVy692yAIxF,"['afrofuturism', 'pop', 'post-teen pop']"
Thirty Seconds To Mars,68.0,Thirty Seconds To Mars,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD,"['modern rock', 'post-grunge', 'rock']"
Xenia,33.0,Xenia Rubinos,spotify:artist:17UUkxLWmRP5P47W5kwVVb,"['brooklyn indie', 'lo star', 'spectra']"
Edens Edge,27.0,Edens Edge,spotify:artist:6KAwb5D0KanI575XxOucMt,"['country dawn', 'country road', 'modern country rock']"
,,,,
Passion Pit,60.0,Passion Pit,spotify:artist:7gjAu1qr5C2grXeQFFOGeh,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'stomp and holler']"
,,,,
,,,,
,,,,
Capital Cities,68.0,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']"
Arcade Fire,67.0,Arcade Fire,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,"['baroque pop', 'canadian indie', 'indie rock', 'modern rock', 'permanent wave', 'quebec indie', 'rock']"
,,,,
Arctic Monkeys,89.0,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Hillsong UNITED,71.0,Hillsong UNITED,spotify:artist:74cb3MG0x0BOnYNW1uXYnM,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
,,,,
X Ambassadors,74.0,X Ambassadors,spotify:artist:3NPpFNZtSTHheNBaWC82rB,"['modern alternative rock', 'modern rock', 'pop', 'pop rap', 'pop rock', 'rock', 'stomp pop']"
Andrew McMahon In The Wilderness,52.0,Andrew McMahon in the Wilderness,spotify:artist:716ZwtZBmwROBXcFmCzfdM,"['hopebeat', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'piano rock', 'pop rock', 'stomp and holler']"
Brothers Osborne,64.0,Brothers Osborne,spotify:artist:39NR3AUhpbbqKM33vWn2fp,"['contemporary country', 'country', 'country road', 'modern southern rock']"
Starley,57.0,Starley,spotify:artist:02A3cEvlLLCbIMVDrK2GHV,"['aussietronica', 'dance pop', 'edm', 'pop dance', 'tropical house']"
,,,,
Plies,64.0,Plies,spotify:artist:3jksrX4oBklxR78ft8gv3j,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
,,,,
,,,,
Matt Stell,57.0,Matt Stell,spotify:artist:7EekKnlf2HwNaLLpL9Cpgy,"['arkansas country', 'contemporary country', 'country', 'country pop', 'country road']"
,,,,
,,,,
AJR,76.0,AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,['modern rock']
,,,,
Jill Corey,1.0,Jill Corey,spotify:artist:7MOFoP92awkXK5PMSa8qC2,['deep adult standards']
Polly Bergen,5.0,Polly Bergen,spotify:artist:0HI9yKqs1Wfi6cqN2kI5m7,[]
The Teddy Bears,13.0,The Teddy Bears,spotify:artist:4JFunELhYa3ZrJnSWAZl3W,[]
,,,,
,,,,
,,,,
Clyde Stacy,4.0,Clyde Stacy,spotify:artist:3Pzt3Ns9MKrapVAtxIJlsV,"['oklahoma country', 'rhythm and boogie']"
The Knockouts,25.0,Franke & The Knockouts,spotify:artist:5l6cEOynnkfX7PS7zCMRU0,"['deep soft rock', 'yacht rock']"
,,,,
Art Mooney And His Orchestra,27.0,Art Mooney and His Orchestra,spotify:artist:7LHVYe5tHSQNKkUc9Nd9CC,"[""man's orchestra""]"
