0,1,2,3,4
Patty Duke,11.0,Patty Duke,spotify:artist:6VcPriC5JFrXJdtZ7OQjc4,['deep adult standards']
Teddy Pendergrass,60.0,Teddy Pendergrass,spotify:artist:68kACMx6A3D2BYiO056MeQ,"['classic soul', 'disco', 'funk', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Wilson Pickett,60.0,Wilson Pickett,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE,"['classic soul', 'funk', 'memphis soul', 'rock-and-roll', 'soul', 'southern soul']"
,,,,
Bill Medley,59.0,Bill Medley,spotify:artist:1XE70WwxhnrXNAJYQQ9ygx,['soft rock']
,,,,
Cinderella,60.0,Cinderella,spotify:artist:7HL4id2U7FSDJtfKQHMgQx,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
Norah Jones,74.0,Norah Jones,spotify:artist:2Kx7MNY7cI1ENniW7vT30N,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow']"
Mark Wills,51.0,Mark Wills,spotify:artist:0dlwjJe4kg9TgOMN184bJF,"['contemporary country', 'country', 'country road']"
Odia Coates,41.0,Odia Coates,spotify:artist:3UgUTRbDBLMcRCantpTWIe,[]
Holland-Dozier,15.0,Holland-Dozier,spotify:artist:4gXMKWbaoOBxvxAMz9Zbg4,['motown']
The Communards,53.0,The Communards,spotify:artist:17U2ImH5IyYMvjkCfPhMHT,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Thelma Houston,47.0,Thelma Houston,spotify:artist:3sgUnR8TF35euWEV07RPyO,"['disco', 'diva house', 'post-disco']"
Real McCoy,53.0,Real McCoy,spotify:artist:2vRfKzjQYJQd67X8x49MOh,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']"
,,,,
All-4-One,56.0,All-4-One,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG,"['boy band', 'contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']"
MC Lyte,48.0,MC Lyte,spotify:artist:2ZbWlThDW0qSbI3hinpl0w,"['alternative r&b', 'east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'hip house', 'hip pop', 'old school hip hop', 'rap']"
Quad City DJ's,45.0,Quad City DJ's,spotify:artist:4mar1GMMEhvGyJdWagu6KS,['miami bass']
Collective Soul,61.0,Collective Soul,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,"['alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
Sam Salter,28.0,Sam Salter,spotify:artist:2sgNhTq9930KEF9Hy6xcmR,"['contemporary r&b', 'r&b', 'urban contemporary']"
Insane Clown Posse,65.0,Insane Clown Posse,spotify:artist:4xtWjIlVuZwTCeqVAsgEXy,['viral rap']
Elton John,86.0,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock']"
B*Witched,50.0,B*Witched,spotify:artist:72eP0W3rIhkxd0NHGg4w4u,"['bubblegum dance', 'dance pop', 'europop', 'girl group']"
