0,1,2,3,4
Van Dykes,7.0,Vickie & The Van Dykes,spotify:artist:3aDPVpgc5RPqUCg1CaZwa8,[]
Paul Dino,0.0,Paul Dino,spotify:artist:27FlRqfKm4mubsDL38eKGS,[]
The Delacardos,3.0,The Delacardos,spotify:artist:5PHQJHRhBfg7fJhzv2de7r,[]
,,,,
Hank Levine And Orchestra,0.0,Hank Levine and his Orchestra,spotify:artist:0ndUsvImY0jElPDmMU5ABS,[]
,,,,
,,,,
Johnnie Morisette,3.0,Johnnie Morisette,spotify:artist:4cWccQkyh0amEhbSlfhYRt,[]
The Valentinos,25.0,The Valentinos,spotify:artist:0n8GWTNsS9bnb4ZMUKg5VH,[]
Bunker Hill,17.0,Bunker Hill,spotify:artist:3nIGepMX8QBQDhmX14yOka,['rhythm rock']
Bobby Callender,6.0,Bobby Callender,spotify:artist:1M0Xn17S5BWVwlGLb0PvPi,"['classic psychedelic rock', 'raga rock']"
,,,,
The Caravelles,28.0,The Caravelles,spotify:artist:7uZF0rHNG0DlPOd1gd7Tiv,['brill building pop']
Justine Washington,0.0,Justine Washington,spotify:artist:4g5otsWvoaZrcHg0fp3dQ0,[]
The Soul Sisters,19.0,The Soul Sisters,spotify:artist:4vHGlaYbIEkXVVnWZodTXl,[]
The Ska Kings,5.0,The Ska Kings,spotify:artist:6i72CeS33KvOLKFDt11mD3,[]
The Enchanters,36.0,Garnet Mimms & The Enchanters,spotify:artist:1ktvF9yU9iWgY0aGlKfTS4,"['classic soul', 'rhythm and blues', 'soul', 'southern soul']"
Sam & Bill,17.0,Sam & Bill,spotify:artist:24palKPwLQfeSNWeJo9euK,[]
David & Jonathan,10.0,다윗과 요나단 David and Jonathan,spotify:artist:4TJyUKlxxfAtyQ8NU9lAMS,[]
The Holidays,19.0,The Holidays,spotify:artist:5KM7Sg8WLkft2jm2ofYAnD,['australian indie']
Drafi,42.0,Drafi Deutscher,spotify:artist:3AzUhAlIf00iaylhLVwszM,"['classic schlager', 'schlager', 'volksmusik']"
,,,,
Don And The Goodtimes,4.0,Don & The Goodtimes,spotify:artist:79morm50T71u4BvK8yAe2j,[]
,,,,
Bill Wyman,40.0,Bill Wyman,spotify:artist:5TKEKLhk0wTKM5m61BtKQC,[]
Long John Baldry,30.0,Long John Baldry,spotify:artist:5x9DWz6SpEVu9NgL8aktm2,"['british blues', 'canadian blues']"
The Will-O-Bees,0.0,The Will-O-Bees,spotify:artist:6VRqUfPbHxRDEdltpurdp4,[]
The Amboy Dukes,37.0,The Amboy Dukes,spotify:artist:5cVLuEqb7aOHuzwssXHzWI,"['blues rock', 'classic garage rock', 'classic rock', 'detroit rock', 'freakbeat', 'hard rock', 'protopunk', 'psychedelic rock']"
Debbie Taylor,16.0,Debbie Taylor,spotify:artist:3AOPsb5oGscweRef0jCI1p,['traditional soul']
,,,,
Wilbert Harrison,39.0,Wilbert Harrison,spotify:artist:7rETVFaF9VOFPmmzsY3kO6,"['rhythm and blues', 'rock-and-roll']"
Owen B.,53.0,Buck Owens,spotify:artist:2FMZn5P3WATd7Il6FgPJNu,"['bakersfield sound', 'country', 'country rock', 'cowboy western']"
,,,,
Jim Ed Brown,34.0,Jim Ed Brown,spotify:artist:6XBkny92syvAWxlIX8CZAM,['arkansas country']
Sammi Smith,43.0,Sammi Smith,spotify:artist:5kZDCAD5zLelf8NYHoRSHS,"['classic country pop', 'nashville sound', 'oklahoma country', 'outlaw country']"
John Kongos,23.0,John Kongos,spotify:artist:15KbeP35gI9t2vgYzwsTjj,[]
Commander Cody & His Lost Planet Airmen,38.0,Commander Cody and His Lost Planet Airmen,spotify:artist:4KtaHyqLFlKKb7aghnWBfE,['country rock']
,,,,
Sailcat,9.0,Sailcat,spotify:artist:5fgVxnlwlHFhYE2QxuHcWe,[]
,,,,
Labelle,55.0,Patti LaBelle,spotify:artist:0ty0xha1dbprYIUAQufkFn,"['contemporary r&b', 'disco', 'funk', 'neo soul', 'philly soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Randy Edelman,49.0,Randy Edelman,spotify:artist:3shMd6Vll0mOcviQ3hrk8m,"['classic soundtrack', 'orchestral soundtrack', 'scorecore', 'soundtrack']"
Smokey,59.0,Smokey Robinson & The Miracles,spotify:artist:6TKOZZDd5uV5KnyC5G4MUt,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
,,,,
Pete Wingfield,35.0,Pete Wingfield,spotify:artist:3aXekkmx3vITr2rZSgpVDb,['classic soul']
The Road Apples,0.0,The Road Apples,spotify:artist:0su1US9LAbtAhws20JcHcn,[]
Firefly,24.0,Fireflyx,spotify:artist:2OOTNVKel4Dl6bdGfkChIx,[]
Yvonne Fair,37.0,Yvonne Fair,spotify:artist:4mGB0olhR5RpsEZWn0cqA8,['classic soul']
Impact,45.0,Impacto De Montemorelos,spotify:artist:4pldrrIcYcMofdprdL2yFm,"['grupera', 'gruperas inmortales']"
Charlene,44.0,Charlene Farrugia,spotify:artist:1pSsh71dHsWknDZ0It3ziB,[]
Tom Powers,43.0,Tom Powers,spotify:artist:5tqJLLaSDpdhDAwqWgAdXM,['piano cover']
Belle Epoque,29.0,Belle Epoque,spotify:artist:29r633A8MJhwlkoljEf1L0,"['screamo', 'skramz']"
Pendulum,61.0,Pendulum,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,"['australian dance', 'dancefloor dnb', 'drum and bass']"
,,,,
The Frank Barber Orch.,0.0,The Frank Barber Orchestra,spotify:artist:07vO97SdWR25lYk609eLYy,[]
Nancy Martinez,22.0,Nancy Martinez,spotify:artist:6KKKmiLXA3G7jxCarYjo7V,['freestyle']
Jesse Johnson,28.0,Jesse Johnson,spotify:artist:31h3nKJjsutodtNKRj6Joy,"['electro', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm']"
Big Noise,0.0,Big Noise,spotify:artist:3hmL3jOWfSTHdQ4XyLmm3w,[]
Concrete Blonde,48.0,Concrete Blonde,spotify:artist:2ICSjfBpos9PxMhGhX25N2,"['lilith', 'new wave pop']"
Caron Wheeler,51.0,Caron Wheeler,spotify:artist:2RhMHmV21ZDcSGZ872U4ZY,['british soul']
,,,,
Ephraim Lewis,21.0,Ephraim Lewis,spotify:artist:73EwFWNtYCi27o7nThnrCe,[]
Portrait,43.0,Portraits in Jazz,spotify:artist:7c7414LKkYnuDPlkrwDg9a,['background jazz']
,,,,
Sadat X,45.0,Sadat X,spotify:artist:7fDLDq2weBagiAFD2j17Al,"['alternative hip hop', 'boom bap', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'turntablism']"
Lit,78.0,Little Mix,spotify:artist:3e7awlrlDSwF3iM0WBjGMp,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
,,,,
Sunday,63.0,Taking Back Sunday,spotify:artist:24XtlMhEMNdi822vi0MhY1,"['emo', 'pop punk']"
,,,,
Coo Coo Cal,29.0,Coo Coo Cal,spotify:artist:1nK08sVhhZ5JnkFaRvNrmB,['milwaukee hip hop']
Glenn Lewis,41.0,Glenn Lewis,spotify:artist:28821fRwpAWk44HfJ96PGV,"['canadian pop', 'contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']"
,,,,
Ms. Jade,31.0,Ms. Jade,spotify:artist:0WjnlObkDedRrSBTC9N3lW,['hip pop']
,,,,
Clipse,54.0,Clipse,spotify:artist:2J257euzcjnDLipsyJH3F2,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Soluna,29.0,solunary,spotify:artist:3I9viWtT00jPEnUvc0Ecqd,['pixel']
New Found Glory,60.0,New Found Glory,spotify:artist:4ghjRm4M2vChDfTUycx0Ce,"['easycore', 'emo', 'pop punk']"
,,,,
,,,,
,,,,
,,,,
Eamon,53.0,Eamon,spotify:artist:1y20PpXw0yeuJ1avCD0Ob9,[]
,,,,
