0,1,2,3,4
Lindsay Lohan,49.0,Lindsay Lohan,spotify:artist:4vRSocKbGh7PsQrYRDVMEF,"['dance pop', 'post-teen pop']"
,,,,
Incubus,69.0,Incubus,spotify:artist:3YcBF2ttyueytpXtEzn1Za,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
Zac Efron,69.0,Zac Efron,spotify:artist:6U1dBXJhC8gXFjamvFTmHg,"['hollywood', 'pop', 'post-teen pop', 'show tunes']"
,,,,
Kris Allen,44.0,Kris Allen,spotify:artist:2zwHaEmXxX6DTv4i8ajNCM,"['acoustic pop', 'idol', 'neo mellow', 'post-teen pop']"
The Swon Brothers,33.0,The Swon Brothers,spotify:artist:1nf0nRF0W4ybnJdda00pKY,"['contemporary country', 'country pop', 'oklahoma country']"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
The Four Preps,30.0,The Four Preps,spotify:artist:5MsnoFODDc5nxWrjm99Zew,"['deep adult standards', 'doo-wop', 'vocal harmony group']"
,,,,
,,,,
Bay City Rollers,48.0,Bay City Rollers,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,"['bubblegum pop', 'classic uk pop']"
Silver Convention,43.0,Silver Convention,spotify:artist:5QHvbEwccF3WANUD5lEIuA,['disco']
Cyndi Lauper,71.0,Cyndi Lauper,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,"['new wave pop', 'permanent wave', 'soft rock']"
Troop,43.0,Troop,spotify:artist:5r7mGejWrGSxheAYEIfSwI,"['boy band', 'contemporary r&b', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Queensryche,57.0,Queensrÿche,spotify:artist:2OgUPVlWYgGBGMefZgGvCO,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive metal', 'rock', 'us power metal']"
Hi-Five,45.0,Hi-Five,spotify:artist:0EVUivUkugMtNF09L4QBMH,"['boy band', 'contemporary r&b', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Shanice,48.0,Shanice,spotify:artist:0Ttph0pOZiPNTD3y2wUUb6,"['contemporary r&b', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Jazzy Jeff & The Fresh Prince,54.0,DJ Jazzy Jeff & The Fresh Prince,spotify:artist:1mG23iQeR29Ojhq89D5gbh,"['gangster rap', 'golden age hip hop', 'hip hop', 'old school hip hop', 'philly rap', 'rap']"
Magic Lanterns,7.0,Magic Lanterns,spotify:artist:3KdjLRiBHU1Rq2NWaTH0fe,[]
,,,,
Cream,71.0,creamy,spotify:artist:2uSVRVjYZ0PlJPdFHnBETu,"['lo-fi chill', 'sad lo-fi', 'sad rap']"
Martha Reeves & The Vandellas,58.0,Martha Reeves & The Vandellas,spotify:artist:1Pe5hlKMCTULjosqZ6KanP,"['classic girl group', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
Jerry Naylor,0.0,Jerry Naylor,spotify:artist:4imGUItg3QaBnZoRAV1QRb,[]
Curtis Mayfield,60.0,Curtis Mayfield,spotify:artist:2AV6XDIs32ofIJhkkDevjm,"['chicago soul', 'classic soul', 'funk', 'soul']"
R. Dean Taylor,35.0,R. Dean Taylor,spotify:artist:4Yg38CnYMoN09sMLf6KDdW,"['classic uk pop', 'motown', 'northern soul']"
Ocean,85.0,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
The Newcomers,20.0,The Newcomers,spotify:artist:2wjWgyrpWbWmd077lMg04d,"['classic soul', 'memphis soul', 'southern soul']"
Coven,54.0,"Orchestra of the Royal Opera House, Covent Garden",spotify:artist:2t5BHUdyeL3NBKqpOpaA4V,['orchestra']
Les Crane,16.0,Les Crane,spotify:artist:0nH8Oa5lL0hHMKQpOqujVq,[]
Fanny,60.0,Fanny Lu,spotify:artist:6GRC8segVAr34gm6pjfSoQ,"['colombian pop', 'latin pop', 'latin viral pop']"
The New Seekers,46.0,The New Seekers,spotify:artist:4jrTNltJtTMUfXybDdsHDn,"['adult standards', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll', 'soft rock']"
William DeVaughn,50.0,William DeVaughn,spotify:artist:1l51Sc9HBh8fLXUDEjFhxU,"['classic soul', 'disco', 'funk', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Loggins & Messina,53.0,Loggins & Messina,spotify:artist:7emRV8AluG3d4e5T0DZiK9,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Elvin Bishop,50.0,Elvin Bishop,spotify:artist:2G1yVp387GlUf9yvLk6V11,"['blues rock', 'country rock', 'southern rock']"
The Manhattan Transfer,50.0,The Manhattan Transfer,spotify:artist:2dogRElUKV20C2khRHqjRc,"['a cappella', 'adult standards', 'lounge', 'vocal jazz']"
Starland Vocal Band,46.0,Starland Vocal Band,spotify:artist:66QeIFuFJDNCImNHlFzrY1,"['bubblegum pop', 'soft rock']"
Leon & Mary Russell,10.0,Leon & Mary Russell,spotify:artist:62a9KhMxJXITvzjLR3nSw1,[]
Pratt & McClain,38.0,Pratt & McClain,spotify:artist:3vNHR4OsgOsktxndG612B7,[]
Michael Franks,49.0,Michael Franks,spotify:artist:0AVE7rDx4X9w0pW1XlN1om,"['smooth jazz', 'yacht rock']"
