	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
8478	Nate Ruess	65.0	Nate Ruess	spotify:artist:1qUjOF5fzrpoNycD36b2jZ		False	45.0	Nothing Without Love	236.773	spotify:track:0oPDrdHQwkjaT0aytZavUO	http://www.billboard.com/charts/hot-100/2015-05-09	2015-05-09	77	Nothing Without LoveNate Ruess	1		77	1	2015
8479	Russell Dickerson	68.0	Russell Dickerson	spotify:artist:1E2AEtxaFaJtH0lO7kgNKw	contemporary country	False	66.0	Yours	216.96	spotify:track:3I4WFddKpe2PGZWFh7f10J	https://www.billboard.com/charts/hot-100/2017-11-04	2017-11-04	84	YoursRussell Dickerson	1		84	1	2017
8482	Oliver	83.0	Oliver Tree	spotify:artist:6TLwD7HPWuiOzvXEa3oCNe	alternative hip hop	False	44.0	Good Morning Starshine	221.133	spotify:track:0XoTz3HTFkhyji6BHGkjNF	http://www.billboard.com/charts/hot-100/1969-05-24	1969-05-24	83	Good Morning StarshineOliver	1		83	1	1969
8484	David Geddes	14.0	David Geddes	spotify:artist:3a6bWolNuTENDrRz3SgaO5		False	30.0	Run Joey Run	175.76	spotify:track:1g2nJvSNGFj145mRiT6usx	http://www.billboard.com/charts/hot-100/1975-08-02	1975-08-02	78	Run Joey RunDavid Geddes	1		78	1	1975
8485	Lita Ford	48.0	Lita Ford	spotify:artist:77tBvvyd6SD4Y9Um1xcbxP	album rock	False	56.0	Kiss Me Deadly	241.8	spotify:track:0kFM6t9htbB53Dg8frGDGh	http://www.billboard.com/charts/hot-100/1988-04-02	1988-04-02	90	Kiss Me DeadlyLita Ford	1		90	1	1988
8487	2nd II None	39.0	2nd II None	spotify:artist:1rlHVdoyfG6pQkzcMWI4dr	gangster rap	True	38.0	If You Want It	226.666	spotify:track:5MGSSlI7LQxTJ2IJsyRDlq	http://www.billboard.com/charts/hot-100/1992-04-04	1992-04-04	98	If You Want It2nd II None	1		98	1	1992
8488	Big Mountain	56.0	Big Mountain	spotify:artist:0Jeckitay8SbvKwqAzWuYH	reggae	False	42.0	Get Together	303.133	spotify:track:2gJEYvp4QkpOgpOGj8y5ZD	http://www.billboard.com/charts/hot-100/1995-12-16	1995-12-16	65	Get TogetherBig Mountain	1		65	1	1995
8489	Jill Scott	58.0	Jill Scott	spotify:artist:6AVLthptCPhfrxlHadOBJD	funk	False	57.0	A Long Walk	280.973	spotify:track:1CeizRCGEYPWooEeVfmyFL	http://www.billboard.com/charts/hot-100/2001-02-10	2001-02-10	78	A Long WalkJill Scott	1		78	1	2001
8490	Chevelle	65.0	Chevelle	spotify:artist:56dO9zeHKuU5Gvfc2kxHNw	alternative metal	False	71.0	The Red	238.4	spotify:track:1gyee1JuFFiP476LQpRMYU	http://www.billboard.com/charts/hot-100/2002-11-30	2002-11-30	77	The RedChevelle	1		77	1	2002
8492	Howie Day	55.0	Howie Day	spotify:artist:0ekbDNE2eOq8QiaXM34wer	acoustic pop	False	66.0	Collide	249.12	spotify:track:6dwkFmLUz6hx2CZG2EqLol	http://www.billboard.com/charts/hot-100/2005-02-12	2005-02-12	78	CollideHowie Day	1		78	1	2005
8493	Cristian Castro	72.0	Cristian Castro	spotify:artist:2AZOALDIBORfbzKTuliwdJ	latin arena pop	False	24.0	Amor Eterno	193.24	spotify:track:1vS2gWMJU5gLm9z0x8DpNG	http://www.billboard.com/charts/hot-100/2005-12-24	2005-12-24	78	Amor EternoCristian Castro	1		78	1	2005
8494	The Lumineers	78.0	The Lumineers	spotify:artist:16oZKvXb6WkQlVAjwo2Wbg	folk-pop	False	75.0	Ho Hey	163.133	spotify:track:0W4Kpfp1w2xkY3PrV714B7	http://www.billboard.com/charts/hot-100/2012-06-23	2012-06-23	90	Ho HeyThe Lumineers	1		90	1	2012
8497	Kyu Sakamoto	42.0	Kyu Sakamoto	spotify:artist:3WKkjW8B7x5UZmfC9pnDmN	anime score	False	46.0	Sukiyaki	189.52	spotify:track:6meIeOX3DHdaCnaNw67abE	http://www.billboard.com/charts/hot-100/1963-05-11	1963-05-11	79	SukiyakiKyu Sakamoto	1		79	1	1963
