	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
0	Incubus	69.0	Incubus	spotify:artist:3YcBF2ttyueytpXtEzn1Za	alternative metal	False	76.0	Drive	232.453	spotify:track:7nnWIPM5hwE3DaUBkvOIpy	http://www.billboard.com/charts/hot-100/2001-02-17	2001-02-17	75	DriveIncubus	1		75	1	2001
1	Kris Allen	44.0	Kris Allen	spotify:artist:2zwHaEmXxX6DTv4i8ajNCM	acoustic pop	False	54.0	Live Like We're Dying	212.506	spotify:track:1HfxPaJggVwFsvOtHbVzMz	http://www.billboard.com/charts/hot-100/2009-10-17	2009-10-17	89	Live Like We're DyingKris Allen	1		89	1	2009
2	The Swon Brothers	33.0	The Swon Brothers	spotify:artist:1nf0nRF0W4ybnJdda00pKY	contemporary country	False	33.0	Later On	217.16	spotify:track:7lG4154Md1Kw7BMg56Pt4s	http://www.billboard.com/charts/hot-100/2014-08-30	2014-08-30	100	Later OnThe Swon Brothers	1		100	1	2014
3	The Four Preps	30.0	The Four Preps	spotify:artist:5MsnoFODDc5nxWrjm99Zew	deep adult standards	False	35.0	Big Man	143.266	spotify:track:0KayDFomB8iDyAdOpKfKTK	http://www.billboard.com/charts/hot-100/1958-08-02	1958-08-02	67	Big ManThe Four Preps	1		67	1	1958
7	Bay City Rollers	48.0	Bay City Rollers	spotify:artist:3r9TXuXfOUxXjgYgAR0fP8	bubblegum pop	False	48.0	Saturday Night	174.4	spotify:track:78zYiMv9yNTHgmm6kaUPCm	http://www.billboard.com/charts/hot-100/1975-10-11	1975-10-11	85	Saturday NightBay City Rollers	1		85	1	1975
10	Cyndi Lauper	71.0	Cyndi Lauper	spotify:artist:2BTZIqw0ntH9MvilQ3ewNY	new wave pop	False	53.0	She Bop	229.266	spotify:track:2FAL6hxj5Qxuj0kWOkEOsF	http://www.billboard.com/charts/hot-100/1984-07-21	1984-07-21	52	She BopCyndi Lauper	1		52	1	1984
16	Troop	43.0	Troop	spotify:artist:5r7mGejWrGSxheAYEIfSwI	boy band	False	9.0	Whatever It Takes (To Make You Stay)	319.533	spotify:track:7ypmnQBUevzJdnlUSmdndC	http://www.billboard.com/charts/hot-100/1992-06-20	1992-06-20	65	Whatever It Takes (To Make You Stay)Troop	1		65	1	1992
18	Hi-Five	45.0	Hi-Five	spotify:artist:0EVUivUkugMtNF09L4QBMH	boy band	False	39.0	I Can't Wait Another Minute	301.64	spotify:track:1CeGBbkJeKPojRmlo2gIwq	http://www.billboard.com/charts/hot-100/1991-06-22	1991-06-22	77	I Can't Wait Another MinuteHi-Five	1		77	1	1991
21	Shanice	48.0	Shanice	spotify:artist:0Ttph0pOZiPNTD3y2wUUb6	contemporary r&b	False	61.0	I Love Your Smile	257.973	spotify:track:69mFxANpGyq9s69LqH3d9G	http://www.billboard.com/charts/hot-100/1991-11-23	1991-11-23	93	I Love Your SmileShanice	1		93	1	1991
24	Cream	71.0	creamy	spotify:artist:2uSVRVjYZ0PlJPdFHnBETu	lo-fi chill	False	71.0	Sunshine Of Your Love	250.4	spotify:track:2K2M0TcglCRLLpFOzKeFZA	http://www.billboard.com/charts/hot-100/1968-01-13	1968-01-13	74	Sunshine Of Your LoveCream	1		74	1	1968
28	Martha Reeves & The Vandellas	58.0	Martha Reeves & The Vandellas	spotify:artist:1Pe5hlKMCTULjosqZ6KanP	classic girl group	False	20.0	Honey Chile	177.973	spotify:track:3YGuismm9qnCaEfUkD8uQA	http://www.billboard.com/charts/hot-100/1967-11-18	1967-11-18	65	Honey ChileMartha Reeves & The Vandellas	1		65	1	1967
30	Curtis Mayfield	60.0	Curtis Mayfield	spotify:artist:2AV6XDIs32ofIJhkkDevjm	chicago soul	False	29.0	Get Down	348.333	spotify:track:7aZGReAQ235D3r9iiao5U5	http://www.billboard.com/charts/hot-100/1971-11-13	1971-11-13	98	Get DownCurtis Mayfield	1		98	1	1971
34	Ocean	85.0	Frank Ocean	spotify:artist:2h93pZq0e7k5yf4dywlkpM	hip hop	False	1.0	One More Chance	197.333	spotify:track:1G1GrHWPRWjmDV36J1BQE1	http://www.billboard.com/charts/hot-100/1972-09-23	1972-09-23	88	One More ChanceOcean	1		88	1	1972
35	The Newcomers	20.0	The Newcomers	spotify:artist:2wjWgyrpWbWmd077lMg04d	classic soul	False	2.0	Pin The Tail On The Donkey	177.32	spotify:track:4a7VTOY4F3GBkQMD11PTus	http://www.billboard.com/charts/hot-100/1971-09-11	1971-09-11	87	Pin The Tail On The DonkeyThe Newcomers	1		87	1	1971
36	Les Crane	16.0	Les Crane	spotify:artist:0nH8Oa5lL0hHMKQpOqujVq		False	30.0	Desiderata	278.96	spotify:track:5V6wfV3Mkvd30zpSoKjsOh	http://www.billboard.com/charts/hot-100/1971-10-09	1971-10-09	87	DesiderataLes Crane	1		87	1	1971
37	Fanny	60.0	Fanny Lu	spotify:artist:6GRC8segVAr34gm6pjfSoQ	colombian pop	False	16.0	Butter Boy	206.253	spotify:track:40IuvnynqaBdmmR0o0JOqm	http://www.billboard.com/charts/hot-100/1975-02-01	1975-02-01	89	Butter BoyFanny	1		89	1	1975
38	The New Seekers	46.0	The New Seekers	spotify:artist:4jrTNltJtTMUfXybDdsHDn	adult standards	False	43.0	Beg, Steal Or Borrow	167.333	spotify:track:5qyE3nSkh3KRfLzISfXYDc	http://www.billboard.com/charts/hot-100/1972-04-22	1972-04-22	88	Beg, Steal Or BorrowThe New Seekers	1		88	1	1972
40	Loggins & Messina	53.0	Loggins & Messina	spotify:artist:7emRV8AluG3d4e5T0DZiK9	album rock	False	40.0	Thinking Of You	138.773	spotify:track:6aNNkAJPuE5dY3fcCalNMz	http://www.billboard.com/charts/hot-100/1973-03-31	1973-03-31	79	Thinking Of YouLoggins & Messina	1		79	1	1973
44	Elvin Bishop	50.0	Elvin Bishop	spotify:artist:2G1yVp387GlUf9yvLk6V11	blues rock	False	32.0	Sure Feels Good	167.8	spotify:track:4dNJLLbjNCpwuveBHha2dF	http://www.billboard.com/charts/hot-100/1975-06-28	1975-06-28	87	Sure Feels GoodElvin Bishop	1		87	1	1975
47	The Manhattan Transfer	50.0	The Manhattan Transfer	spotify:artist:2dogRElUKV20C2khRHqjRc	a cappella	False	33.0	Operator	192.533	spotify:track:4kHKI0onmVMAFyfOCbYCEi	http://www.billboard.com/charts/hot-100/1975-09-20	1975-09-20	87	OperatorThe Manhattan Transfer	1		87	1	1975
51	Michael Franks	49.0	Michael Franks	spotify:artist:0AVE7rDx4X9w0pW1XlN1om	smooth jazz	False	37.0	Popsicle Toes	276.4	spotify:track:2gLzBIXTrphTRCZoSRpKZJ	http://www.billboard.com/charts/hot-100/1976-08-07	1976-08-07	87	Popsicle ToesMichael Franks	1		87	1	1976
52	Stephen Bishop	55.0	Stephen Bishop	spotify:artist:3JhRHqCi8HEzkJVWt19LtN	adult standards	False	57.0	Save It For A Rainy Day	192.973	spotify:track:5AHjRKFCVUaRClF2Oxx8Ld	http://www.billboard.com/charts/hot-100/1976-12-11	1976-12-11	87	Save It For A Rainy DayStephen Bishop	1		87	1	1976
55	T-Connection	39.0	Andrea True Connection	spotify:artist:3GHovBcEWpbnwCZDPF9GpM	disco	False	22.0	Do What You Wanna Do	436.733	spotify:track:0CXNXQZLjvHzZ9jQFsgKEM	http://www.billboard.com/charts/hot-100/1977-03-12	1977-03-12	87	Do What You Wanna DoT-Connection	1		87	1	1977
56	The Marshall Tucker Band	58.0	The Marshall Tucker Band	spotify:artist:59QxeZBL6k9L4oJBGSyukd	album rock	False	47.0	This Ol' Cowboy	219.346	spotify:track:0diAR6QUxrDiEBjRZSfweR	http://www.billboard.com/charts/hot-100/1975-04-26	1975-04-26	95	This Ol' CowboyThe Marshall Tucker Band	1		95	1	1975
57	Wet Willie	39.0	Wet Willie	spotify:artist:6fzgnTv8gVkfFhA6V8Qdsh	blues rock	False	54.0	Keep On Smilin'	237.333	spotify:track:6sHrxsewgTMPs2Di4x636C	http://www.billboard.com/charts/hot-100/1974-05-25	1974-05-25	93	Keep On Smilin'Wet Willie	1		93	1	1974
63	George Duke	49.0	George Duke	spotify:artist:3EB0uKE2lGw6BB1UFJrONl	funk	False	36.0	Shine On	312.68	spotify:track:7BOAXgaGfRDWwYbUqE5tuQ	http://www.billboard.com/charts/hot-100/1982-02-20	1982-02-20	85	Shine OnGeorge Duke	1		85	1	1982
64	Sylvester	51.0	Sylvester	spotify:artist:5TGTpu4g8siFOIctZuQO7y	disco	False	41.0	Dance (Disco Heat)	355.263	spotify:track:0z7k9lTYzdTjuT7KmtOr2q	http://www.billboard.com/charts/hot-100/1978-08-19	1978-08-19	87	Dance (Disco Heat)Sylvester	1		87	1	1978
67	Melissa Manchester	44.0	Melissa Manchester	spotify:artist:78udmCDNaDu5jqfVnBqwia	adult standards	False	48.0	Midnight Blue	235.0	spotify:track:0N3qcAXZM06zaTKm7JCtIh	http://www.billboard.com/charts/hot-100/1975-05-10	1975-05-10	90	Midnight BlueMelissa Manchester	1		90	1	1975
77	A Taste Of Honey	45.0	A Taste Of Honey	spotify:artist:1ii6e2pv8VIRwnTER71rMl	boogie	False	14.0	Do It Good	342.826	spotify:track:0w3IWqkcPG7HXxYqWoItv3	http://www.billboard.com/charts/hot-100/1979-08-11	1979-08-11	87	Do It GoodA Taste Of Honey	1		87	1	1979
78	Sammy Hagar	55.0	Sammy Hagar	spotify:artist:1hXjTjJzZTXDZ75AclOo6N	album rock	False	14.0	You Make Me Crazy	167.333	spotify:track:2pWTIqdCumc0dAuEcXx9U7	http://www.billboard.com/charts/hot-100/1977-12-10	1977-12-10	84	You Make Me CrazySammy Hagar	1		84	1	1977
88	Rainbow	71.0	Rainbow Kitten Surprise	spotify:artist:4hz8tIajF2INpgM0qzPJz2	modern rock	False	66.0	Since You Been Gone	197.16	spotify:track:6xq5DxZWGgdStAxGAil0yw	http://www.billboard.com/charts/hot-100/1979-11-17	1979-11-17	87	Since You Been GoneRainbow	1		87	1	1979
91	The Babys	44.0	The Babys	spotify:artist:6z7wrwE2QW7Keb9ozoF0rg	album rock	False	11.0	Silver Dreams	181.933	spotify:track:4XVBOKULKMW0aYJ1WhXXhY	http://www.billboard.com/charts/hot-100/1978-02-04	1978-02-04	85	Silver DreamsThe Babys	1		85	1	1978
93	Pure Prairie League	50.0	Pure Prairie League	spotify:artist:1MXwwmS2JpmsHZhdMeOL2s	album rock	False	35.0	Two Lane Highway	247.426	spotify:track:0XuKXtpJ2CNTYauVX448vj	http://www.billboard.com/charts/hot-100/1975-06-28	1975-06-28	97	Two Lane HighwayPure Prairie League	1		97	1	1975
96	Jesse Winchester	35.0	Jesse Winchester	spotify:artist:0LQrsY8CFvCyUAqAtiiVxw	country rock	False	9.0	Say What	190.013	spotify:track:4uCGos0jL0jaTHIlUEZrkX	http://www.billboard.com/charts/hot-100/1981-04-25	1981-04-25	87	Say WhatJesse Winchester	1		87	1	1981
97	Dave Edmunds	45.0	Dave Edmunds	spotify:artist:65Gh3BfK84aTIugiRCgLBA	british blues	False	41.0	I Hear You Knocking	167.026	spotify:track:6SGIfyXBjvwCvVumbuI44k	http://www.billboard.com/charts/hot-100/1970-12-26	1970-12-26	90	I Hear You KnockingDave Edmunds	1		90	1	1970
101	April Wine	53.0	April Wine	spotify:artist:1JHzh1ETQTMoFb2CgncnTL	album rock	False	55.0	Roller	217.026	spotify:track:0bT9zH62RHMtpQm38XNwPJ	http://www.billboard.com/charts/hot-100/1979-03-03	1979-03-03	84	RollerApril Wine	1		84	1	1979
104	Bernadette Peters	40.0	Bernadette Peters	spotify:artist:1lIG8lqWxus7LqThGUXMa1	broadway	False	10.0	Gee Whiz	156.933	spotify:track:4kUKCTfQMQ4moExucmhg02	http://www.billboard.com/charts/hot-100/1980-03-29	1980-03-29	88	Gee WhizBernadette Peters	1		88	1	1980
105	Larry Carlton	44.0	Larry Carlton	spotify:artist:7aRi9OzdA2ciputfuguaPK	jazz fusion	False	41.0	Sleepwalk	275.226	spotify:track:7mNV6DQo3Pkvw305WQs9XV	http://www.billboard.com/charts/hot-100/1982-02-27	1982-02-27	87	SleepwalkLarry Carlton	1		87	1	1982
106	The Reddings	19.0	The Reddings	spotify:artist:25J2zw5Yzn51UowSvGjUyJ	funk	False	25.0	Remote Control	307.946	spotify:track:7jOeDXQvqfu2ZLp7lYwOy8	http://www.billboard.com/charts/hot-100/1980-11-15	1980-11-15	94	Remote ControlThe Reddings	1		94	1	1980
108	Scritti Politti	37.0	Scritti Politti	spotify:artist:59luKpdal8UwxcuLJNoKwS	art rock	False	41.0	Perfect Way	284.12	spotify:track:6B8o3jaaROfqsvj50xhkfz	http://www.billboard.com/charts/hot-100/1985-09-07	1985-09-07	87	Perfect WayScritti Politti	1		87	1	1985
109	Huncho Jack	60.0	Huncho Jack	spotify:artist:6extd4B6hl8VTmnlhpl2bY	hip hop	True	57.0	Modern Slavery	148.559	spotify:track:7J6bnDDitOwfelaJNixHhL	https://www.billboard.com/charts/hot-100/2018-01-06	2018-01-06	68	Modern SlaveryHuncho Jack	1		68	1	2018
114	Lil Durk	85.0	Lil Durk	spotify:artist:3hcs9uc56yIGFCSy9leWe7	chicago drill	True	50.0	Viral Moment	192.0	spotify:track:3q3ene9MGUbx02i0QP3iIG	https://www.billboard.com/charts/hot-100/2020-05-23	2020-05-23	91	Viral MomentLil Durk	1		91	1	2020
120	Ray Price	46.0	Ray Price	spotify:artist:5sAg1HZePcFfhrs0G8A8OP	honky tonk	False	33.0	City Lights	179.6	spotify:track:62RfCZpT2zfBHRXD8yp2WV	http://www.billboard.com/charts/hot-100/1958-08-23	1958-08-23	72	City LightsRay Price	1		72	1	1958
123	Little Richard	59.0	Little Richard	spotify:artist:4xls23Ye9WR9yy3yYMpAMm	rock-and-roll	False	26.0	Baby Face	135.133	spotify:track:5Ttwn2VJRE5cqj7SlyhieC	http://www.billboard.com/charts/hot-100/1958-09-13	1958-09-13	72	Baby FaceLittle Richard	1		72	1	1958
126	Carl Mann	33.0	Carl Mann	spotify:artist:2VMEvDcrKKZg96T4QWXIkT	rock-and-roll	False	43.0	Mona Lisa	146.728	spotify:track:6bhTvzvIPjOLtsGAhyaHfH	http://www.billboard.com/charts/hot-100/1959-05-30	1959-05-30	82	Mona LisaCarl Mann	1		82	1	1959
128	Deep Purple	68.0	Deep Purple	spotify:artist:568ZhdwyaiCyOGJRtNYhWf	album rock	False	50.0	Hush	264.973	spotify:track:4aU82r5G2KTUh3HmPHCbM1	http://www.billboard.com/charts/hot-100/1968-08-17	1968-08-17	83	HushDeep Purple	1		83	1	1968
132	Johnny Adams	34.0	Johnny Adams	spotify:artist:24qtJegdRiX2TPRvPN6rzk	louisiana blues	False	32.0	Reconsider Me	235.431	spotify:track:6VB5qvDSykpoc8vON065d8	http://www.billboard.com/charts/hot-100/1969-06-28	1969-06-28	72	Reconsider MeJohnny Adams	1		72	1	1969
133	John Travolta	68.0	John Travolta	spotify:artist:4hKkEHkaqCsyxNxXEsszVH	hollywood	False	62.0	Greased Lightnin'	194.466	spotify:track:0hq5mE9kYU4Sy2PpdZwGol	http://www.billboard.com/charts/hot-100/1978-09-30	1978-09-30	73	Greased Lightnin'John Travolta	1		73	1	1978
134	Europe	66.0	Europe	spotify:artist:7Js6Lde8thlIHXggv2SCBz	album rock	False	78.0	The Final Countdown	310.333	spotify:track:3MrRksHupTVEQ7YbA0FsZK	http://www.billboard.com/charts/hot-100/1987-01-24	1987-01-24	83	The Final CountdownEurope	1		83	1	1987
138	Peter Cetera	62.0	Peter Cetera	spotify:artist:5xWPOujQqd4wXyB08slZ9Z	adult standards	False	48.0	One Good Woman	277.973	spotify:track:7ttAAvkXzs3IC1Qm3H1N3k	http://www.billboard.com/charts/hot-100/1988-07-23	1988-07-23	72	One Good WomanPeter Cetera	1		72	1	1988
139	The Conscious Daughters	34.0	The Conscious Daughters	spotify:artist:120cCFsKuYyGeIQaOMs0DV	alternative r&b	True	40.0	Somethin' To Ride To (Fonky Expedition)	300.506	spotify:track:2amTrpEAfs0ZeI5JjrpkWO	http://www.billboard.com/charts/hot-100/1994-03-19	1994-03-19	72	Somethin' To Ride To (Fonky Expedition)The Conscious Daughters	1		72	1	1994
140	Rome	83.0	Romeo Santos	spotify:artist:5lwmRuXgjX8xIwlnauTZIP	bachata	False	51.0	I Belong To You (Every Time I See Your Face)	273.266	spotify:track:1nP6feYWJVpbO41aezFtm2	http://www.billboard.com/charts/hot-100/1997-03-15	1997-03-15	79	I Belong To You (Every Time I See Your Face)Rome	1		79	1	1997
141	The Offspring	77.0	The Offspring	spotify:artist:5LfGQac0EIXyAN8aUwmNAQ	alternative metal	False	75.0	Pretty Fly (For A White Guy)	188.666	spotify:track:3SFXsFpeGmBTtQvKiwYMDA	http://www.billboard.com/charts/hot-100/1998-12-05	1998-12-05	72	Pretty Fly (For A White Guy)The Offspring	1		72	1	1998
145	Lonestar	60.0	Lonestar	spotify:artist:3qbnxnvUqR14MJ9g8QwZJK	contemporary country	False	22.0	You Walked In	270.453	spotify:track:0DWAnPgkLR2X4ys9OJCaZT	http://www.billboard.com/charts/hot-100/1997-11-22	1997-11-22	93	You Walked InLonestar	1		93	1	1997
154	Creed	79.0	Creedence Clearwater Revival	spotify:artist:3IYUhFvPQItj6xySrBmZkd	album rock	False	71.0	Higher	316.733	spotify:track:1ZozJfi8u9cO2Ob8KwiwNT	http://www.billboard.com/charts/hot-100/1999-09-11	1999-09-11	81	HigherCreed	1		81	1	1999
159	Limp Bizkit	75.0	Limp Bizkit	spotify:artist:165ZgPlLkK7bf5bDoFc6Sb	alternative metal	True	68.0	Nookie	289.56	spotify:track:1TEZWG1FdjzDdercCguTwj	http://www.billboard.com/charts/hot-100/1999-07-31	1999-07-31	80	NookieLimp Bizkit	1		80	1	1999
162	Keri Hilson	69.0	Keri Hilson	spotify:artist:63wjoROpeh5f11Qm93UiJ1	dance pop	False	46.0	Energy	209.84	spotify:track:0VI3YNoksmAn0LMnTVhBkq	http://www.billboard.com/charts/hot-100/2008-08-23	2008-08-23	90	EnergyKeri Hilson	1		90	1	2008
174	Playboi Carti	84.0	Playboi Carti	spotify:artist:699OTQXzgjhIYAHMy9RyPD	atl hip hop	True	64.0	New N3on	116.36	spotify:track:7ejepEh5DJ79YI6owGRfkk	https://www.billboard.com/charts/hot-100/2021-01-09	2021-01-09	92	New N3onPlayboi Carti	1		92	1	2021
177	Tommy Edwards	44.0	Tommy Edwards	spotify:artist:1ObAu0tz0NlOI6FNHTXchD	adult standards	False	57.0	It's All In The Game	159.04	spotify:track:2lmPUdIdzlFH64PWJrw6Zb	http://www.billboard.com/charts/hot-100/1958-08-16	1958-08-16	96	It's All In The GameTommy Edwards	1		96	1	1958
187	Sil Austin	28.0	Sil Austin	spotify:artist:4ZER6Et93aVvfwzaiwjjbI		False	11.0	Danny Boy	171.76	spotify:track:33HQcGXbfVQi3hTOhyb3EW	http://www.billboard.com/charts/hot-100/1959-05-30	1959-05-30	73	Danny BoySil Austin	1		73	1	1959
188	Mitchell Torok	4.0	Mitchell Torok	spotify:artist:6IXaAxq9mkktxZnqlWYbxf	deep adult standards	False	10.0	Caribbean	152.693	spotify:track:51OPErNxOFv7Qv0LQKeQZ5	http://www.billboard.com/charts/hot-100/1959-08-01	1959-08-01	73	CaribbeanMitchell Torok	1		73	1	1959
190	The Limeliters	30.0	The Limeliters	spotify:artist:08Zx5pufnilNAjm28CauiH	american folk revival	False	2.0	A Dollar Down	158.093	spotify:track:4MYwuoHZRF7zcWH9zXUhDQ	http://www.billboard.com/charts/hot-100/1961-04-22	1961-04-22	73	A Dollar DownThe Limeliters	1		73	1	1961
191	Burl Ives	72.0	Burl Ives	spotify:artist:0MHgLfmQdutffmvWe5XBTN	adult standards	False	15.0	Call Me Mr. In-Between	163.933	spotify:track:6SAEYDbuFUseduXQoxUahI	http://www.billboard.com/charts/hot-100/1962-07-21	1962-07-21	93	Call Me Mr. In-BetweenBurl Ives	1		93	1	1962
194	The Lettermen	46.0	The Lettermen	spotify:artist:3lzlUccNrekC1oFPCjNIOX	adult standards	False	43.0	The Way You Look Tonight	141.506	spotify:track:3XLSi3aWD9qDCuHvSi5qfY	http://www.billboard.com/charts/hot-100/1961-09-02	1961-09-02	93	The Way You Look TonightThe Lettermen	1		93	1	1961
203	Tommy Roe	42.0	Tommy Roe	spotify:artist:7t4XHvWfj0XtEB8SNFeALw	adult standards	False	47.0	Sheila	127.066	spotify:track:5Mzu8smN6fRBCaUaTytD1W	http://www.billboard.com/charts/hot-100/1962-07-28	1962-07-28	73	SheilaTommy Roe	1		73	1	1962
217	Millie Small	40.0	Millie Small	spotify:artist:0h3n6BqxvmRhWwNcdw4CWT	jamaican ska	False	55.0	My Boy Lollipop	120.466	spotify:track:5IM6psLoDLytszopZz9ZOm	http://www.billboard.com/charts/hot-100/1964-05-23	1964-05-23	90	My Boy LollipopMillie Small	1		90	1	1964
219	Billy Stewart	46.0	Billy Stewart	spotify:artist:21llKqnS025UdaAMslJS4J	chicago soul	False	18.0	Reap What You Sow	138.226	spotify:track:7myTdRyhIv2sfdYxlBhlqi	http://www.billboard.com/charts/hot-100/1962-07-21	1962-07-21	99	Reap What You SowBilly Stewart	1		99	1	1962
226	Donna Fargo	36.0	Donna Fargo	spotify:artist:4tIQ6BeFRvYApoAyJmaeVC	classic country pop	False	48.0	The Happiest Girl In The Whole U.S.A.	151.306	spotify:track:60ut42dYikYXfCZQcvVXYV	http://www.billboard.com/charts/hot-100/1972-05-27	1972-05-27	82	The Happiest Girl In The Whole U.S.A.Donna Fargo	1		82	1	1972
231	Leon Russell	49.0	Leon Russell	spotify:artist:6r1Xmz7YUD4z0VRUoGm8XN	blues rock	False	50.0	Tight Rope	181.0	spotify:track:6f5bVwzW72D5M8lZzH8Csg	http://www.billboard.com/charts/hot-100/1972-08-26	1972-08-26	82	Tight RopeLeon Russell	1		82	1	1972
234	The Knack	57.0	The Knack	spotify:artist:0Nn9YwJzcaeuU1jJL06e3r	album rock	False	74.0	My Sharona	295.4	spotify:track:1HOMkjp0nHMaTnfAkslCQj	http://www.billboard.com/charts/hot-100/1979-06-23	1979-06-23	86	My SharonaThe Knack	1		86	1	1979
236	Michael Sembello	62.0	Michael Sembello	spotify:artist:771qBvjnXOH9Azr6lKy6FB	hi-nrg	False	78.0	Maniac	244.706	spotify:track:0QKfiqpEU4h9ycPSzIFwYe	http://www.billboard.com/charts/hot-100/1983-06-04	1983-06-04	89	ManiacMichael Sembello	1		89	1	1983
238	Rockwell	58.0	Rockwell	spotify:artist:3xs0LEzcPXtgNfMNcHzLIP		False	59.0	Somebody's Watching Me	293.933	spotify:track:2H2379xRxgQVvcOSoL8Ajr	http://www.billboard.com/charts/hot-100/1984-01-28	1984-01-28	73	Somebody's Watching MeRockwell	1		73	1	1984
240	Mr. Mister	57.0	Mr. Mister	spotify:artist:7Bah8E0kCETqEpAHI6CPzQ	album rock	False	71.0	Broken Wings	343.933	spotify:track:78FHUZRbFDCG6VkRAQdFLm	http://www.billboard.com/charts/hot-100/1985-09-21	1985-09-21	84	Broken WingsMr. Mister	1		84	1	1985
243	The Bangles	63.0	The Bangles	spotify:artist:51l0uqRxGaczYr4271pVIC	album rock	False	60.0	Manic Monday	184.16	spotify:track:00vYs0qZA40Z8AAaN7xmMO	http://www.billboard.com/charts/hot-100/1986-01-25	1986-01-25	86	Manic MondayThe Bangles	1		86	1	1986
248	Meat Loaf	65.0	Meat Loaf	spotify:artist:7dnB1wSxbYa8CejeVg98hz	album rock	False	29.0	Not A Dry Eye In The House	354.333	spotify:track:1t4DCqjSKQpCtO0CAW72XY	http://www.billboard.com/charts/hot-100/1996-02-17	1996-02-17	93	Not A Dry Eye In The HouseMeat Loaf	1		93	1	1996
249	Warren G	64.0	Warren G	spotify:artist:2B4ZHz4QDWJTXPFPgO5peE	g funk	True	69.0	This D.J.	203.026	spotify:track:2ImuQo1g14CTR9hZAZD3aQ	http://www.billboard.com/charts/hot-100/1994-07-23	1994-07-23	51	This D.J.Warren G	1		51	1	1994
252	3T	43.0	3TEETH	spotify:artist:4GHi4xklo0FT0l2CNuLFh2	industrial metal	False	54.0	Anything	321.0	spotify:track:2AtBXRPCZhtIqSGF5ap33B	http://www.billboard.com/charts/hot-100/1995-10-07	1995-10-07	73	Anything3T	1		73	1	1995
253	Rappin' 4-Tay	53.0	Rappin' 4-Tay	spotify:artist:4tzxCsdhR0IIUNyzwrag4C	g funk	True	56.0	Playaz Club	266.333	spotify:track:4ZYM6R5nOZywxACY90Bsla	http://www.billboard.com/charts/hot-100/1994-09-24	1994-09-24	84	Playaz ClubRappin' 4-Tay	1		84	1	1994
254	David Gray	61.0	David Gray	spotify:artist:7J2lZBANizgPNfUzux31PV	neo mellow	False	68.0	Babylon	265.666	spotify:track:1sEDn0QkcjWGVoti0Da4kA	http://www.billboard.com/charts/hot-100/2000-12-02	2000-12-02	73	BabylonDavid Gray	1		73	1	2000
255	Gorillaz	81.0	Gorillaz	spotify:artist:3AA28KZvwAUcZuOKwyblJQ	alternative hip hop	True	70.0	Clint Eastwood	340.92	spotify:track:7yMiX7n9SBvadzox8T5jzT	http://www.billboard.com/charts/hot-100/2001-08-25	2001-08-25	73	Clint EastwoodGorillaz	1		73	1	2001
256	Sheryl Crow	68.0	Sheryl Crow	spotify:artist:4TKTii6gnOnUXQHyuo9JaD	lilith	False	40.0	Leaving Las Vegas	309.2	spotify:track:6MWJy3DXI0Je49FW3gDpLp	http://www.billboard.com/charts/hot-100/1994-04-23	1994-04-23	95	Leaving Las VegasSheryl Crow	1		95	1	1994
267	Godsmack	69.0	Godsmack	spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF	alternative metal	False	50.0	Straight Out Of Line	259.133	spotify:track:0bKZa2zldftYPRrSRscmG2	http://www.billboard.com/charts/hot-100/2003-04-19	2003-04-19	73	Straight Out Of LineGodsmack	1		73	1	2003
268	Chris Cagle	53.0	Chris Cagle	spotify:artist:1zhIzONVRlTfD1VQRauHMl	contemporary country	False	21.0	My Love Goes On And On	185.333	spotify:track:76gLq1wvQSFxR0tP4rgVKS	http://www.billboard.com/charts/hot-100/2000-10-21	2000-10-21	99	My Love Goes On And OnChris Cagle	1		99	1	2000
272	James Blunt	71.0	James Blunt	spotify:artist:7KMqksf0UMdyA0UCf4R3ux	neo mellow	False	67.0	Goodbye My Lover	258.653	spotify:track:6gxycjJNMgmAyfzUXBN80P	http://www.billboard.com/charts/hot-100/2006-02-18	2006-02-18	100	Goodbye My LoverJames Blunt	1		100	1	2006
274	Brad Paisley	66.0	Brad Paisley	spotify:artist:13YmWQJFwgZrd4bf5IjMY4	contemporary country	False	32.0	Who Needs Pictures	224.266	spotify:track:2VseRo2PPYyf1DQBT6y7nE	http://www.billboard.com/charts/hot-100/1999-06-19	1999-06-19	85	Who Needs PicturesBrad Paisley	1		85	1	1999
289	Summer Walker	81.0	Summer Walker	spotify:artist:57LYzLEk2LcFghVwuWbcuS	pop	True	55.0	Over It	131.106	spotify:track:0csmcZqM3uTKfjxehw0Lw2	https://www.billboard.com/charts/hot-100/2019-10-19	2019-10-19	80	Over ItSummer Walker	1		80	1	2019
294	The Jamies	10.0	The Jamies	spotify:artist:2Ltwdhr24434z5cGEv2vvq		False	23.0	Summertime, Summertime	120.16	spotify:track:37Vct7oArn3tHN3XXCJJ7p	http://www.billboard.com/charts/hot-100/1958-08-16	1958-08-16	74	Summertime, SummertimeThe Jamies	1		74	1	1958
