Performer,Artist_Popularity_x,Performer2,uri_x,Genre,url,WeekID,Week Position,Song_x,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Explicit,Artist_Popularity_y,Song_y,Duration ms,uri_y,Year
Culture Club,64.0,Culture Club,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",http://www.billboard.com/charts/hot-100/1982-12-04,1982-12-04,80,Do You Really Want To Hurt Me,Do You Really Want To Hurt MeCulture Club,1,,80,1,False,48.0,Church Of The Poison Mind - Remastered 2002,212146.0,spotify:track:2DEEMhTiUMvkiHFdXkrKfI,1982
Saga,48.0,Saga Solheim,spotify:artist:7uy9xQDLs9vJXNotUs2eVQ,['instrumental lullaby'],http://www.billboard.com/charts/hot-100/1982-12-04,1982-12-04,86,On The Loose,On The LooseSaga,1,,86,1,False,32.0,Wind Him Up - Remastered,347506.0,spotify:track:68xRfw54BbbzHJPP243AQU,1982
Musical Youth,58.0,Musical Youth,spotify:artist:2CuzDPkRD6BJBvdWqCrt2I,['uk reggae'],http://www.billboard.com/charts/hot-100/1982-12-11,1982-12-11,80,Pass The Dutchie,Pass The DutchieMusical Youth,1,,80,1,False,72.0,Pass The Dutchie,205426.0,spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,1982
Janet Jackson,67.0,Janet Jackson,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",http://www.billboard.com/charts/hot-100/1982-12-18,1982-12-18,79,Young Love,Young LoveJanet Jackson,1,,79,1,False,48.0,What Have You Done For Me Lately,299493.0,spotify:track:2SFq0UIiBWkBgky0fkrHP0,1982
Hughes/Thrall,12.0,Hughes/Thrall,spotify:artist:75lXk5oKF5H1xFt8euZZpn,[],http://www.billboard.com/charts/hot-100/1982-12-18,1982-12-18,90,"Beg, Borrow Or Steal","Beg, Borrow Or StealHughes/Thrall",1,,90,1,False,10.0,"Beg, Borrow Or Steal",226506.0,spotify:track:3DrVmGBiGzNlRyffjZuTK6,1982
Duran Duran,69.0,Duran Duran,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'synthpop']",http://www.billboard.com/charts/hot-100/1982-12-25,1982-12-25,77,Hungry Like The Wolf,Hungry Like The WolfDuran Duran,1,,77,1,False,62.0,A View to a Kill,217693.0,spotify:track:6I4snLrVOrJsLdd43isc27,1982
Little Steven,34.0,Little Steven,spotify:artist:4Pmlf0hZYXcoDSuaNrw23E,[],http://www.billboard.com/charts/hot-100/1982-12-25,1982-12-25,81,Forever,ForeverLittle Steven,1,,81,1,False,30.0,Forever,235173.0,spotify:track:5se9d80Rf1cE4Ix8pnGBB2,1982
Night Ranger,53.0,Night Ranger,spotify:artist:1Ha0Fz4i0d4gu5fZbhBCtH,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",http://www.billboard.com/charts/hot-100/1983-01-15,1983-01-15,86,Don't Tell Me You Love Me,Don't Tell Me You Love MeNight Ranger,1,,86,1,False,43.0,Sing Me Away,250800.0,spotify:track:6Aav1GMR2dbFU7nIRrnwQa,1983
The Weather Girls,57.0,The Weather Girls,spotify:artist:19xz1vcuKNjniGEftTOSSH,"['disco', 'hi-nrg']",http://www.billboard.com/charts/hot-100/1983-01-22,1983-01-22,88,It's Raining Men,It's Raining MenThe Weather Girls,1,,88,1,False,60.0,It's Raining Men,325426.0,spotify:track:2IvetNzSZMH5gwjInoyr18,1983
Thompson Twins,52.0,Thompson Twins,spotify:artist:5jVeqi3PNaTOajfvBa4uFn,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-01-22,1983-01-22,80,Lies,LiesThompson Twins,1,,80,1,False,55.0,Hold Me Now,286666.0,spotify:track:0BJU4rYOfj43xHw6gvTIwE,1983
