Performer,Artist_Popularity_x,Performer2,uri_x,Genre,url,WeekID,Week Position,Song_x,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Explicit,Artist_Popularity_y,Song_y,Duration ms,uri_y,Year
Perry Como,72.0,Perry Como,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'easy listening']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,37,Moon Talk,Moon TalkPerry Como,1,,37,1,False,3.0,Mandolins In The Moonlight,164866.0,spotify:track:3XuWiQ11ih3fF4ICGTvKgb,1958
Dean Martin,78.0,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,68,Volare (Nel Blu Dipinto Di Blu),Volare (Nel Blu Dipinto Di Blu)Dean Martin,1,,68,1,False,29.0,In the Chapel in the Moonlight,152346.0,spotify:track:1RknXtekvGbn57eru2vXjd,1958
The Playmates,20.0,The Playmates,spotify:artist:1bpcq3dBWR6ykfx2Sod8Fy,['novelty'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,70,Don't Go Home,Don't Go HomeThe Playmates,1,,70,1,False,34.0,Beep Beep,150213.0,spotify:track:4kbV9t3FO8op15IrpQm5Mz,1958
Pat Boone,53.0,Pat Boone,spotify:artist:7fmKtIgmxqNEKjATioVNsu,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,39,That's How Much I Love You,That's How Much I Love YouPat Boone,1,,39,1,False,7.0,Johnny Will,145946.0,spotify:track:6F7dr44klyiVBzf2SM599j,1958
Sam Cooke,69.0,Sam Cooke,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,"['adult standards', 'classic soul', 'rock-and-roll', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,74,Win Your Love For Me,Win Your Love For MeSam Cooke,1,,74,1,False,32.0,Sugar Dumpling,136680.0,spotify:track:22lVNnkNGhMuC8MRPAF0YF,1958
Bobby Darin,64.0,Bobby Darin,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,3,Splish Splash,Splish SplashBobby Darin,1,,3,1,False,56.0,Dream Lover,150706.0,spotify:track:5XeUMqS6mpTEspPgd5TLtg,1958
Peggy Lee,64.0,Peggy Lee,spotify:artist:602DnpaSXJB4b9DZrvxbDc,"['adult standards', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,10,Fever,FeverPeggy Lee,1,,10,1,False,62.0,Fever,199600.0,spotify:track:3aPlQWU07jGgyHaBHVS5TS,1958
The Everly Brothers,61.0,The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,"['adult standards', 'bubblegum pop', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,92,Bird Dog,Bird DogThe Everly Brothers,1,,92,1,False,66.0,All I Have to Do Is Dream,143333.0,spotify:track:7dblNGnRXEBrVJunazs2U5,1958
The Platters,61.0,The Platters,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,"['adult standards', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,65,You're Making A Mistake,You're Making A MistakeThe Platters,1,,65,1,False,9.0,"Sweet, Sweet Lovin'",115586.0,spotify:track:0bcYOdXwV5McxEO7ICoh3S,1958
Fats Domino,57.0,Fats Domino,spotify:artist:09C0xjtosNAIXP36wTnWxd,"['adult standards', 'louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,95,Little Mary,Little MaryFats Domino,1,,95,1,False,20.0,Shu Rah,104733.0,spotify:track:1E1ivNaCO40o7mjdWgUC3G,1958
Frankie Avalon,45.0,Frankie Avalon,spotify:artist:5zNOI87gG4RttFmYAZWaxQ,"['adult standards', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,11,Ginger Bread,Ginger BreadFrankie Avalon,1,,11,1,False,2.0,The Puppet Song,138448.0,spotify:track:6RkvtUnLfSvHNlosDShSyL,1958
Chuck Willis,32.0,Chuck Willis,spotify:artist:21uawITknPcgjwdJuvpcGE,"['doo-wop', 'jazz blues', 'rhythm and blues', 'rock-and-roll']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,25,What Am I Living For,What Am I Living ForChuck Willis,1,,25,1,False,28.0,What Am I Living For,146800.0,spotify:track:6eIEXINZt8rtgqEtOxP9ur,1958
Jimmie Rodgers,41.0,Jimmie Rodgers,spotify:artist:7bKOOOKEkE918wKOQEhYnp,['yodeling'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,93,Are You Really Mine,Are You Really MineJimmie Rodgers,1,,93,1,False,16.0,The Wizard,142933.0,spotify:track:2ieO6C3dUH2LajM2wSOJfe,1958
Ricky Nelson,58.0,Ricky Nelson,spotify:artist:73sSFVlM6pkweLXE8qw1OS,"['adult standards', 'bubblegum pop', 'lounge', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,1,Poor Little Fool,Poor Little FoolRicky Nelson,1,,1,1,False,33.0,String Along,142200.0,spotify:track:4YbZRFi4GH3YEzNYyljd8p,1958
Marty Robbins,62.0,Marty Robbins,spotify:artist:0Xi59sEw38vRvwleSAVqoo,"['cowboy western', 'nashville sound']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,94,She Was Only Seventeen (He Was One Year More),She Was Only Seventeen (He Was One Year More)Marty Robbins,1,,94,1,False,21.0,Ruby Ann,119266.0,spotify:track:7H9mWUsWJR4tIpzvoSih1k,1958
Patti Page,49.0,Patti Page,spotify:artist:4nZN9kln8toEzOifhWG2uF,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)Patti Page,1,,13,1,False,3.0,Pretty Boy Lonely,139600.0,spotify:track:66aINzxJt4gG1gPl6ED3F2,1958
Jack Scott,38.0,Jackpot Scotty Wotty,spotify:artist:09XH5qagU5qcWhYXcQYsjX,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,56,Leroy,LeroyJack Scott,1,,56,1,False,17.0,Leroy,129106.0,spotify:track:6sRA34zt9Q66iaw7q5ydwl,1958
The Slades,23.0,The Slades,spotify:artist:0j0Z5OJJ0kKHcmy1zIujYA,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,42,You Cheated,You CheatedThe Slades,1,,42,1,False,38.0,You Cheated,151466.0,spotify:track:50CLZLkm59v42gLU6eXDQC,1958
Buddy Holly,60.0,Buddy Holly,spotify:artist:3wYyutjgII8LJVVOLrGI0D,"['adult standards', 'bubblegum pop', 'classic rock', 'folk rock', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,41,Early In The Morning,Early In The MorningBuddy Holly,1,,41,1,False,41.0,Heartbeat,129026.0,spotify:track:0noMw79nLyguA49zV6Gk3t,1958
Don Gibson,46.0,Don Gibson,spotify:artist:4xcYVPssil6vbG6tq3W43S,"['nashville sound', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,32,Blue Blue Day,Blue Blue DayDon Gibson,1,,32,1,False,3.0,What About Me,131560.0,spotify:track:1QdxAlq7M0dW9Kpu7LQbgx,1958
Jackie Wilson,61.0,Jackie Wilson,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,"['adult standards', 'chicago soul', 'classic soul', 'funk', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,86,To Be Loved,To Be LovedJackie Wilson,1,,86,1,False,8.0,My Empty Arms,172453.0,spotify:track:7CHmNiReghVLKbD032HHwz,1958
Billy Williams,19.0,Billy Paul Williams,spotify:artist:1zMqMU48f5ldQ9Y194M4HU,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,99,I'll Get By (As Long As I Have You),I'll Get By (As Long As I Have You)Billy Williams,1,,99,1,False,2.0,Nola,157520.0,spotify:track:5386J62YU82J0WfdNu1yaT,1958
Thurston Harris,46.0,Thurston Harris,spotify:artist:61VpPyyJn2bitby8tbafzT,"['doo-wop', 'rock-and-roll']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,96,Over And Over,Over And OverThurston Harris,1,,96,1,False,13.0,Over and Over,139480.0,spotify:track:2H1RZHoS7HueBZaaW7GHpp,1958
The Danleers,31.0,The Danleers,spotify:artist:1W0oUYvRe6jjI2SuaiigFv,['doo-wop'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,16,One Summer Night,One Summer NightThe Danleers,1,,16,1,False,45.0,One Summer Night,133226.0,spotify:track:5GEsOz5Pbln0j2RcmBGLa4,1958
Kitty Wells,46.0,Kitty Wells,spotify:artist:4fxdqujwhb2NIQyr7qnnPX,"['classic country pop', 'nashville sound', 'traditional country']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,87,Jealousy,JealousyKitty Wells,1,,87,1,False,1.0,Jealousy - 1958 Single Version,151853.0,spotify:track:5D94XZ4AA0oIdvOxaJEw3W,1958
Joe South,34.0,Joe South,spotify:artist:7s2L0cftC6UBVVxADuyfwS,"['bubblegum pop', 'merseybeat']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,91,The Purple People Eater Meets The Witch Doctor,The Purple People Eater Meets The Witch DoctorJoe South,1,,91,1,False,7.0,Birds Of A Feather,264040.0,spotify:track:5mroj4aX2YQQuB7gh66jYj,1958
Bobby Freeman,29.0,Bobby Freeman,spotify:artist:5oMWW19j0AXl7Sy4Xn9rmg,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,20,Do You Want To Dance,Do You Want To DanceBobby Freeman,1,,20,1,False,30.0,Do You Want To Dance,165693.0,spotify:track:4wXPZBafMKbTtdOB7BVGcp,1958
Nat King Cole,78.0,Nat King Cole,spotify:artist:7v4imS0moSyGdXyLgVTIV7,['adult standards'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,53,Come Closer To Me (Acercate Mas),Come Closer To Me (Acercate Mas)Nat King Cole,1,,53,1,False,5.0,All Over The World,144773.0,spotify:track:0IIGck0Gbykh0ogz1MjGeC,1958
Jimmy Clanton And His Rockets,0.0,Jimmy Clanton And His Rockets,spotify:artist:491cwVFgWVAdU7WLQRn3Hp,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,12,Just A Dream,Just A DreamJimmy Clanton And His Rockets,1,,12,1,False,2.0,Just a Dream,151346.0,spotify:track:1fDKsQrMYOTGHYgyIxycmM,1958
The Olympics,23.0,The Olympics,spotify:artist:3KtW4xANJkgfEnFgMxaj8h,"['doo-wop', 'rhythm and blues']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,23,Western Movies,Western MoviesThe Olympics,1,,23,1,False,6.0,Baby Hully Gully,218641.0,spotify:track:2CkbNJooPxUsHG4gFXKhxa,1958
Chuck Berry,70.0,Chuck Berry,spotify:artist:293zczrfYafIItmnmM3coR,"['classic rock', 'rock', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,80,Johnny B. Goode,Johnny B. GoodeChuck Berry,1,,80,1,False,5.0,Nadine (Is It You?),153693.0,spotify:track:1v8oUOlXSyCnu47G3kjILN,1958
Ed Townsend,21.0,Ed Townsend,spotify:artist:4fgbkjDCSGUHANHRope4Ox,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,62,For Your Love,For Your LoveEd Townsend,1,,62,1,False,31.0,For Your Love,173266.0,spotify:track:34hXWNZyKgsR7zmMOfXqOK,1958
The Diamonds,43.0,The Diamonds,spotify:artist:3s9kaLrpplvv4vIzZBYPga,"['adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,77,Happy Years,Happy YearsThe Diamonds,1,,77,1,False,31.0,One Summer Night,152240.0,spotify:track:2WL4moGPyxOA0W2p0zJZPc,1958
Connie Francis,55.0,Connie Francis,spotify:artist:3EY5DxGdy7x4GelivOjS2Q,"['adult standards', 'brill building pop', 'lounge', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,72,Stupid Cupid,Stupid CupidConnie Francis,1,,72,1,False,16.0,He's My Dreamboat,162106.0,spotify:track:3OvzW4ex4PCAkr25M85WCP,1958
Paul Anka,62.0,Paul Anka,spotify:artist:7ceUfdWq2t5nbatS6ollHh,"['adult standards', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,76,Midnight,MidnightPaul Anka,1,,76,1,False,0.0,Kissin' On The Phone,158840.0,spotify:track:731NBwQnMcaH3SwCGMYJWk,1958
The Coasters,52.0,The Coasters,spotify:artist:3QZKZBEmr54lAVI5XvmjnM,"['adult standards', 'bubblegum pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,7,Yakety Yak,Yakety YakThe Coasters,1,,7,1,False,49.0,Charlie Brown - 2007 Remaster Stereo Single Version; Remastered,141306.0,spotify:track:6t83zAQg9Efca1u1DPL930,1958
Dion & The Belmonts,49.0,Dion & The Belmonts,spotify:artist:2loYllWFfoWpoxC5YrJKc4,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,47,I Wonder Why,I Wonder WhyDion & The Belmonts,1,,47,1,False,21.0,When You Wish Upon A Star,148626.0,spotify:track:0gi8Gz1ginH6PjHOVyo5BT,1958
Kalin Twins,27.0,Kalin Twins,spotify:artist:6LXtFndRkOihPIa2dWY3FH,"['deep adult standards', 'doo-wop']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,5,When,WhenKalin Twins,1,,5,1,False,15.0,Forget Me Not,144173.0,spotify:track:49f1yPA6sXG9p893m0rgvp,1958
Frankie Vaughan,24.0,Frankie Vaughan,spotify:artist:1ihw8Evlq7gPuoHW520STD,"['deep adult standards', 'merseybeat', 'rock-and-roll']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,100,Judy,JudyFrankie Vaughan,1,,100,1,False,0.0,Judy,124017.0,spotify:track:2mCOoTvyuFPBCUEkrviJUu,1958
Johnny Mathis,66.0,Johnny Mathis,spotify:artist:21LGsW7bziR4Ledx7WZ1Wf,"['adult standards', 'easy listening', 'lounge']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,22,A Certain Smile,A Certain SmileJohnny Mathis,1,,22,1,False,27.0,Love Won't Let Me Wait (feat. Deniece Williams),256613.0,spotify:track:54ktCIlVLmCKmwbe1fNLkr,1958
Jody Reynolds,26.0,Jody Reynolds,spotify:artist:4j07I8NDDAMIy4BWc6aqOj,"['rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,17,Endless Sleep,Endless SleepJody Reynolds,1,,17,1,False,27.0,Fire of Love,115133.0,spotify:track:26VaTFK760o5VaDPcSyV5B,1958
Clyde McPhatter,48.0,Clyde McPhatter,spotify:artist:4WL6MC4jDW7w7K9hfc4MVS,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,43,Come What May,Come What MayClyde McPhatter,1,,43,1,False,2.0,You Went Back on Your Word Little Girl,149066.0,spotify:track:1sQSRfGtfFsjWZSPk0ehtt,1958
Doris Day,61.0,Doris Day,spotify:artist:3ESG6pj6a0LvUKklENalT6,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,19,Everybody Loves A Lover,Everybody Loves A LoverDoris Day,1,,19,1,False,12.0,Lover Come Back (with Frank DeVol & His Orchestra) - Mono,134893.0,spotify:track:67xTBZLMacOVnrMHSJlJWx,1958
The Elegants,29.0,The Elegants,spotify:artist:7bNoMfBqbaLJrfH3Vw1q6L,"['doo-wop', 'rhythm and blues']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,18,Little Star,Little StarThe Elegants,1,,18,1,False,39.0,Little Star,162773.0,spotify:track:3c7KT5CN8uYRaK3xThhdYt,1958
Bobby Day,47.0,Bobby Day,spotify:artist:4SLfKHcufUqU46DiTAHIsj,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,60,Over And Over,Over And OverBobby Day,1,,60,1,False,3.0,That's All I Want,133546.0,spotify:track:5rv81ideOCFyEk6YdEmcGm,1958
Eddie Cochran,53.0,Eddie Cochran,spotify:artist:1p0t3JtUTayV2wb1RGN9mO,"['adult standards', 'rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,84,Summertime Blues,Summertime BluesEddie Cochran,1,,84,1,False,33.0,Teenage Heaven,126827.0,spotify:track:5hulPzG1d7LCmf3EJSiEFG,1958
David Seville,54.0,David Seville,spotify:artist:4NI5R1DbX27ODY5JTqnv2l,['novelty'],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,79,The Bird On My Head,The Bird On My HeadDavid Seville,1,,79,1,False,10.0,Alvin's Harmonica,163333.0,spotify:track:6tifoZIFQ1wstAkGbyoTgJ,1958
Robert & Johnny,23.0,Robert & Johnny,spotify:artist:55owbkMYdl0SSTlyWuPpZ2,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,97,I Believe In You,I Believe In YouRobert & Johnny,1,,97,1,False,16.0,I Believe in You,164773.0,spotify:track:5jFKcm8kfuXDXmGFnK4wIr,1958
The Four Lads,34.0,The Four Lads,spotify:artist:3stlWzoChlEtbdZAz6CNC3,"['adult standards', 'deep adult standards', 'vocal harmony group']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,29,Enchanted Island,Enchanted IslandThe Four Lads,1,,29,1,False,20.0,The Mocking Bird,140226.0,spotify:track:3RPVk2uXTxAVwfxlWr7UBV,1958
The Johnny Otis Show,17.0,The Johnny Otis Show,spotify:artist:4pdM1TI8b1tZW3Jprzn5II,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,9,Willie And The Hand Jive,Willie And The Hand JiveThe Johnny Otis Show,1,,9,1,False,22.0,Willie And The Hand Jive,154733.0,spotify:track:4ToAe9XCKjFGin2Qfswwis,1958
Domenico Modugno,51.0,Domenico Modugno,spotify:artist:4llklDtTTyMYMY2LfFOkTI,"['classic italian pop', 'italian adult pop']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,54,Nel Blu Dipinto Di Blu (Volaré),Nel Blu Dipinto Di Blu (Volaré)Domenico Modugno,1,,54,1,False,53.0,Nel blu dipinto di blu,216373.0,spotify:track:006Ndmw2hHxvnLbJsBFnPx,1958
Jan & Arnie,2.0,Jan & Arnie,spotify:artist:3jGt6JSBLThjWeEiaLTjFg,[],http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,44,Jennie Lee,Jennie LeeJan & Arnie,1,,44,1,False,4.0,Gas Money,144466.0,spotify:track:2wh41h8XJWXIds4gPpfOzN,1958
Sheb Wooley,32.0,Sheb Wooley,spotify:artist:2dOTS74R4yPISc7AVU9QzD,"['comic', 'novelty']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,24,The Purple People Eater,The Purple People EaterSheb Wooley,1,,24,1,False,11.0,That's My Pa,157600.0,spotify:track:6KNoDDpaLMOCqD1yJ221Fj,1958
The Four Preps,30.0,The Four Preps,spotify:artist:5MsnoFODDc5nxWrjm99Zew,"['deep adult standards', 'doo-wop', 'vocal harmony group']",http://www.billboard.com/charts/hot-100/1958-08-02,1958-08-02,67,Big Man,Big ManThe Four Preps,1,,67,1,False,3.0,Got a Girl,153443.0,spotify:track:6e6B0cQW9FM5JqqIxqXgEm,1958
Faron Young,45.0,Faron Young,spotify:artist:6uvq6FeVsmhOWfJHxVNeBL,"['classic country pop', 'honky tonk', 'traditional country']",http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,51,Alone With You,Alone With YouFaron Young,1,,51,1,False,55.0,Hello Walls,146840.0,spotify:track:4dim8F8t01qimHOmr6S3Gd,1958
Little Willie John,48.0,Little Willie John,spotify:artist:3mOiEPe870jJrahcf2TPYZ,"['classic soul', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,84,You're A Sweetheart,You're A SweetheartLittle Willie John,1,,84,1,False,14.0,Sleep,175053.0,spotify:track:3EzoytHR3e7E47gJJurWf4,1958
The Champs,49.0,The Champs,spotify:artist:3yt4IVDHz0luREG9Uf9xrp,"['rock-and-roll', 'rockabilly']",http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,95,Chariot Rock,Chariot RockThe Champs,1,,95,1,False,17.0,Midnighter,128039.0,spotify:track:7pfbQyxjTRrzW5IjfL5ryA,1958
The Drifters,62.0,The Drifters,spotify:artist:1FqqOl9itIUpXr4jZPIVoT,"['adult standards', 'bubblegum pop', 'lounge', 'rock-and-roll', 'rockabilly', 'soul']",http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,86,Moonlight Bay,Moonlight BayThe Drifters,1,,86,1,False,15.0,Stranger on the Shore - Single Version,159813.0,spotify:track:7FxHSRanqyhPDuqiHYquGJ,1958
Tennessee Ernie Ford,50.0,Tennessee Ernie Ford,spotify:artist:7u6FSuqT3SWE2kO8rNVjfp,"['bluegrass gospel', 'comic', 'country boogie', 'country gospel', 'yodeling']",http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,97,Sunday Barbecue,Sunday BarbecueTennessee Ernie Ford,1,,97,1,False,0.0,Glad Rags,118226.0,spotify:track:5tZGCT6F8hsBXly2LONIXi,1958
Robin Luke,17.0,Robin Luke,spotify:artist:6BlIMhCsEbMvvrLhMcOHkn,[],http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,42,Susie Darlin',Susie Darlin'Robin Luke,1,,42,1,False,31.0,Susie Darlin',154680.0,spotify:track:1xjCGpAJVRAECqs5Pt6Gw1,1958
The Jamies,10.0,The Jamies,spotify:artist:2Ltwdhr24434z5cGEv2vvq,[],http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,74,"Summertime, Summertime","Summertime, SummertimeThe Jamies",1,,74,1,False,23.0,"Summertime, Summertime",120160.0,spotify:track:37Vct7oArn3tHN3XXCJJ7p,1958
Bobby Helms,73.0,Bobby Helms,spotify:artist:38EmEgXkgK51MT2tPY0EoC,['adult standards'],http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,60,Borrowed Dreams,Borrowed DreamsBobby Helms,1,,60,1,False,90.0,Jingle Bell Rock,130973.0,spotify:track:7vQbuQcyTflfCIOu3Uzzya,1958
The Gaylords,26.0,The Gaylords,spotify:artist:6meQXl5saAZt5MZnQcKCWF,"['deep adult standards', 'vocal harmony group']",http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,97,Ma Ma Ma Marie,Ma Ma Ma MarieThe Gaylords,1,,97,1,False,0.0,Flamingo L'amore,116662.0,spotify:track:3Wy87L4o1hmoTc2EeZpQG1,1958
The Quin-Tones,7.0,The Quin-Tones,spotify:artist:1LKeVNHnNqcwu3teGB3a3o,['classic girl group'],http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,91,Down The Aisle Of Love,Down The Aisle Of LoveThe Quin-Tones,1,,91,1,False,15.0,Down the Aisle of Love,170906.0,spotify:track:6vJmVHXKBsnLpEdLVym5Ot,1958
Jerry Wallace,29.0,Jerry Wallace,spotify:artist:3dE4AKlTQ3EW6yU6F9LuQT,['deep adult standards'],http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,52,How The Time Flies,How The Time FliesJerry Wallace,1,,52,1,False,1.0,Diamond Ring,146386.0,spotify:track:06uH1OuvJe7OQY62XAaOSm,1958
Tommy Edwards,44.0,Tommy Edwards,spotify:artist:1ObAu0tz0NlOI6FNHTXchD,"['adult standards', 'deep adult standards', 'doo-wop', 'rock-and-roll']",http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,96,It's All In The Game,It's All In The GameTommy Edwards,1,,96,1,False,19.0,I Really Don't Want To Know,138933.0,spotify:track:2IIWeMJGIrS0ld8tICXPWf,1958
Tommy Mara,0.0,Tommy Maranua,spotify:artist:4ijOCPy1n1uHQ1SzQJjZ1L,[],http://www.billboard.com/charts/hot-100/1958-08-16,1958-08-16,98,Where The Blue Of The Night,Where The Blue Of The NightTommy Mara,1,,98,1,False,0.0,Where the Blue of the Night,161106.0,spotify:track:5e6FKIm1YQ8qYyRb9jCXiD,1958
Gogi Grant,25.0,Gogi Grant,spotify:artist:2Ak3GNswCQfRKDs3P8uWaQ,['deep adult standards'],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,80,Strange Are The Ways Of Love,Strange Are The Ways Of LoveGogi Grant,1,,80,1,False,37.0,The Wayward Wind,157280.0,spotify:track:2VqsUEpRPvgiiBdsBuQrJz,1958
The Tune Rockers,0.0,The Tune Rockers,spotify:artist:13oRnp1gAqHi5rHvPH5Nqw,[],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,78,The Green Mosquito,The Green MosquitoThe Tune Rockers,1,,78,1,False,1.0,The Green Mosquito,139040.0,spotify:track:2n4jL9nv4CS7uwqmu4MHu8,1958
Eileen Rodgers,17.0,Eileen Rodgers,spotify:artist:5U6AFHwdlMoOHEPmRQxTsN,['deep adult standards'],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,100,Treasure Of Your Love,Treasure Of Your LoveEileen Rodgers,1,,100,1,False,10.0,Treasure of Your Love,171076.0,spotify:track:193VYSbs1du0k1leg5AXcw,1958
Cozy Cole,10.0,Cozy Cole,spotify:artist:6fkwnXeEKj729M5HSIaoMr,[],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,82,Topsy II,Topsy IICozy Cole,1,,82,1,False,1.0,Topsy II,216266.0,spotify:track:7wKOWJBWY9IVP04YB5L3Ms,1958
George Hamilton IV,33.0,George Hamilton IV,spotify:artist:6G39Gakqv1r26pZzijSWti,['traditional country'],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,65,When Will I Know,When Will I KnowGeorge Hamilton IV,1,,65,1,False,0.0,When Will I Know,162106.0,spotify:track:1h6Ih6Wndyk1WOEZw6pDhc,1958
The Shields,12.0,The Shields,spotify:artist:45OBxXLz8nWOcdHZG6jpG3,[],http://www.billboard.com/charts/hot-100/1958-08-23,1958-08-23,94,You Cheated,You CheatedThe Shields,1,,94,1,False,28.0,You Cheated,146733.0,spotify:track:2Hov4rAx6TJYl7tihS8WBl,1958
